% Generated on Thursday, 07. May 2015 12:06AM
% This ARFF file was generated with review data from the following game(s): ['Counter Strike']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"awsome game too old :d it have nice settings :d and more players who loved this game :d 10+",56.4
"play the original that started it all. complete with no skin no crates no keys and a whole lot of nostalgia!",0.6
"only skill important in this game. i liked this game :>",27.2
"i love this game since 2006 when i played it first time. im playing it still and its 2014! this game rocks!",906.2
"a very nice original game to come back to. id say the rise of fps games.",926.8
"best fps game ive ever played. highly addictive..",239.9
"i cant get the game to work it starts but i dont se the load screen i just see black",1.5
"legendary game but the sad thing is there are so much cheaters.. =/",2119.3
"arguably the best competitive fps so far, the skill ceiling is very high; however getting started is easy.",37.8
"do i need to say why do i recommend this? because this is freakin awesome! thats why...!",39.5
"first game i played competetive, enjoyed, good watching the professionals play",82.2
"i really recommend this for people who want to play an old school, simple shooter. a lot of user created modes automaticly downloading in server joining. really fun even though its old.",1366.6
"the only way to get subjected to terrorism that isnt the news. or living in the middle east,ukraine, and most of africa.",1.5
"if you liked one point six of counter-strike you might have enjoyed coldplay. also, youre a ing hipster who needs to get off the gameboy and ing play a game that isnt older then my mother. bbqhtc - my mother is a saint...",10.1
"possibly one of the greatest first person shooting games ever made. try it out and see how you like it. too bad that numerous number of hackers are around these days, but not a probem if server admins are present. you can try maps like dust/dust2, assault, or even fy maps like snow and iceworld. awp maps are also great if you like scoping and killing opponents with one shot. maybe even go for some of the fun surfing maps that are still around. lastly, fyi it does take some time to find the optimal sensitivity setting that you play the best with.",218.4
"classical game, all the people must play this game.",0.7
"with this new cs 1.6 you cant play.lag as f*ck.got an awesome pc but this cs dont mind that,just keep lagging. my internet con. its great too but this cs aint giving sh*t.just keep on lagging!",4.3
"steam, wtf... cd update screw my fps ... really? why? al least an answer...",935.0
"this game prove that graphic dosent matter!!! game play matter!!!!",142.4
"well, this is the one that basically started it all... an entertaining game that despite being old, its gold! cheap and a whole lot of fun.",15.5
"one of the best fps game that is recognized around the world. a must have.",77.4
"man, ive never been called a moth******** so many times, a p****, a h*m*, and stuff. after i started playing this game, i started wondering also, how do all those people know about me f******* their mother, in her p**** even though they thought i was h*m*. lel",7.4
"one of the best games, not to even mention first person shooter games, of all time. after 16 years or so since its release its still got an avid active following. speaks volumes for its addictiveness and replayability.",268.0
"amazing game, i dont care about the quality of the game, its still amazing.",64.5
"the best game ever!!! the freaking best game evaaaa brooo!!",939.7
"first fps game i have ever played since 2003 and still enjoy the game to this day.",24.8
"best tactical fps shooter in the world and the best game valve has ever released i think most people will agree with me and if u dont agree that means you havnt played it yet :) 11/10",307.9
"great classic. i prefer it over cs:s. ten out of ten easily no matter how dated it is.",26.0
"you can shoot people with guns and knifes and grenades and shields, but no flamethrowers.",7.2
"simply the best fps game ever! --- played since 2001 ---",251.4
"one of the best games of all time. a staple in competitive and casual gaming. it pretty much paved the way for competitive team esports.",1012.9
"this game was unusual of its kind. now its has its era gone, dont know why. its an awsum game, i am quite unhappy for it as its been officially removed from e-sports gaming. its a must play online game.",85.4
"i love playing this game it is the best fps ever.10/10 5 stars whatever it is amazing. counter strike is a team based objective game. without a team you can not win. this game is also realistic enough its not too realistic but its not nonrealistc. anyways just buy the game its $10 and you will not have any regrets.",1.3
"what is there left to say about this great game,its simply classics and part of any kid born past 1990 childhood :d i really love the fact it is so wide spread around the world,and just keep it up like this !",454.6
"one and only the best game ever played... those who agree please like this.... xd..... -get_right",167.4
"the original fps shooter game. you should also look into counter-strike: source if you like a more modern version.",2.3
"this is quite an enjoyable game and one of my fav ,,,",961.9
"for lose time, its a really nice and exciting game :d",168.2
"this a good game i like the maps and the community in the game",79.0
"this game really proves that graphic does not matter but gameplay does...cs 1.6 <3",1583.4
"where there is cs der are gamers i would blindly buy this game withoput any hesitation",130.6
"i can shoot people and jump while doing it 10/10 masterpiece",136.7
"most favorite game of all time , most played game , never gets old , at least for me :) ....",60.6
"counter-strike 1.6. not one of the best, nor one of the worst.  good gameplay   bad graphics, as it was launched in 1999  if youre going to buy this game at this time, i suggest buy counter-strike: global offensive. (7/10)",194.8
"counter strike 1.6 is a good game. it used to be sooooo much better, but now there are hardly any servers running, and even less vanilla counter strike servers(servers without mods). unless your a hardcore counter strike player, id reccomend you just get cs:go. the gameplay is better in the first place, there is workshop, and billions of hours of content. back in the day 9.8/10 now...6/10 dont be hatin",82.1
"playing all counter strike from the date it was released. still one of the best games ever made.",252.5
"i grow up on cs 1.6, but now it is unplayable. a lot of garbage on servers a lot of music and useless things. low download speed, and everybody hack everywhere. please make something with this game, just need some patch, for disable downloadable contetn, and useless things...",29.5
"the game is very fun and i recommend it to everyone",1665.7
"this game is the best shooter game and the game that i liked the most! but there is nothing for non steam players that hack in the servers!",351.9
"great game. a lot of people still playing, full/modded servers. its easy to get into, and its cheap",53.3
"the predecessor of all fps games! try it out today!",635.9
"the greatest multiplayer shooter experience ive had since quake 1. the e-sport scene also helped it alot, its the only computer game ive really followed when it comes to e-sports (back when i followed the cpl etc). the design of the game was simple but very effective and delivered a multiplayer experience that few other games can match. the call of duty and battlefield titles, although good in their own right, never drew me in like counter-strike.",477.4
"the only extremely good counter-strike game, unforunately they updated it and things got a bink wonky, but its still more impressive than cs:go.",0.2
"probably would be better if the playerbase was actually ing english",2.0
"best online gungame...no words to describe how gud it is ....i wil simply say do play it once in a life time...:)",860.7
"cool game make fun to play with friends you should try it !",546.2
"alongside unreal tournament 1999, quake 2/3 and natural selection as the greatest shooters of all time 10/10 i got one clicked through a wall",43.8
"i recommend this game because is the besssssst game evaaaaa|",277.4
"the start of it all if you dont already have it dont even try because you are not a pro like me :)",9.9
"awesome game, played for years, i recommend it for new players to improve their skills ;)",2493.2
"learnt russian because of this game 999999/10 -ign",3.4
"same old cs... good game, one of the best shooters of all time. nowadays its graphics seems a little outdated. but hl engine still works pretty nice. still better and less robotic than cs:go.",71.3
"classic & awesome. still too many cheaters but pay attention to play vac secured servers.",5.1
"this game is old as , but its better than cs:s but csgo.",1.2
"still the best cs out there... if valve would add matchmaking like cs:go got it i would pay for it again",742.6
"excellent game, thoroughly enjoyed it back in the day.",0.5
"best game of all time ! had my best years with this game",251.0
"stabbed in the back while jumping and trying to quickscope the police 10/10",193.1
"a very good game indeed..... proves that graphics dont matter, gameplay does",8.1
"probably my favorite to play . yes we get lots of hacks but... its too much fun to play . cs ftw.",2312.9
"i used to play this game with my friends when we had to do military service; it was a lot of fun pretending that we were fighting russians while putting to use what we would learn during training. however, it seems that the only people who play now are turkish children who hack and have bad ping so, i would not recommend this game any more.",131.9
"best ever shooting game played in my life i <3 with this game.....",1016.7
"its a great game first version of counterstrike and the best of them all, 1,6 ftw pro game",80.7
"why did i got vac ban for not having cs: go ? u baned me for cheating in cs: go + i dont haw cs:go!!! that lame steam ... just taking money from kids, and thats all .",38.9
"ah, the beauty of old gaming remains. this game is more than just alive and kicking, even though its old by now. its a nice game which focus more on skill and reflexes than cute graphics and advanced functions. if you like fast-paced shooter youll probably like this one too. theres lots of mods, addons and maps out there... since this is an older game which allow people to create their own through 3rd-party software. in my opinion, that alone make this game awesome.",273.9
"play the worlds number 1 online action game. engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. ally with teammates to complete strategic missions. take out enemy sites. rescue hostages. your role affects your teams success. your teams success affects your role.",93.4
"from my personal experience i think is the best multiplayer game ever created the one and only",13.3
"fy_iceworld, cs_bloodstrike, de_rats, fy_poolday, awp_map, wc3mod, surf, dodgeball, ahh the memories",24.3
"best game evaaahh! buut, cs:go can be the same enjoyable and fun! :d",129.8
"if you cant get counter-strike: global offensive, this is great replacement for it. its not as popular, but it still has a big amount of players. some servers may be in languages you cant understand, but the game is still very fun and requires a great amount of skill. one of the best first person shooters, that still holds to this day from 1999. although the games graphics...arent really the best. even then, you can get skins, map textures, etc. to spice the graphics up a little bit. though to me, graphics dont really matter. highly recommend this game. 9.5/10",11.3
"fellas i have long been playing this game and i would recommend to you to try it because it is very intresting game for those who like shooters :)",128.2
"it was my favorite game, but since steam tried so much to screw this game with all that useless updates that ruied it...and it dosent work on windows 8, plus they got out d3d the only option that you had if you have windows 8, now...its a piece of crap, if we are talking about cs 1.6 when steam gived a **** about it, then its a 10/10 but now its just a 5/10 or 4/10 rip cs 1.6 thanks a lot steam! :(",216.7
"they should make a counter strike remake of deleyed scenes and the old school one .",121.0
"this game is a huge reminder of why pc gaming is a beautiful thing.",112.7
"im really bad at it, but its an amazing classic game. yes. i definately do reccomend it.",226.8
"what can i say ? most played fps ever with a reason",41.5
"counter strike    first person shooter game(fps)   mods : public , deathrun , jailbreak , furien , zombie , hidenseek , hidenseek blocks.        .     .     steam      server gather         non steam      48.     gather(servers grnet)      mirc. all rights reserved.",1210.9
"its really a one of the fabulous game i have ever played",16.6
"there nothing but to say, its counter strike 1.6 best mlg game that ever lived! jk its not the most, but you know its really good! 8/8",7.8
"awesome game for years and years and still years to come.",2034.8
"the best game ever!!! the freaking best game evaaaa brooo!!",939.7
"1 of my favorite games and the first game i bought on steam.its worth buy u will never get bored of playing on the servers.",191.8
