% Generated on Thursday, 07. May 2015 12:06AM
% This ARFF file was generated with review data from the following game(s): ['Counter Strike Global Offensive']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"counter-strike: global offensive is just as fun as the previous iterations of counter-strike while including realistic settings and modern matchmaking tools.",494.6
"for all people who enjoy fps games with competitive gameplay, this game is for you. unlike the pervious installments of the counter-strike series, this one does not take hours on hours of gameplay to get a feel of the guns and different games modes. this game is all about learning, not unlocking different grips and sights for the guns to make them better. it also relays on your team trying to work together to complete the objective whether it be stopping terrorists from planting a bomb or you trying to plant the bomb yourself. once you get a handle on this game, i can promise that you will enjoy every minute of it.",125.1
"pew pew kill terrorist n stuffs......or be the terrorist. ets gud.",619.2
"why are you reading this you should be playing dota 2 instead.",198.3
"if this game was a potato, it would be a good potato.",916.8
"its counter-strike renaissance ! this game made me love fps again after every-year-cod- we got. the prize is not an excuse so get it and make esport grow !",594.0
"yeahhh, no further comment! , it always and will be an awesome game",339.6
"i am not a great fan of pfs online. cs: go is my total exception especially because its my money grabber that feeds my steam wallet with some euros, enough in time to buy games in special deals. still, you will find the community in this game to be erratic. youll find nice people in one side and complete  bags in the other, that think theyre the best players in the game just for you to find out theyre trolling you and cheating hard. if you dont have the stomach consider yourself warned! play this for fun and be nice to people, if you do that the matches tend to be a wonderful experience and better according to the teams mood, believe me!",1015.7
"stuffing morphine jabs into my  end would be more pleasurable than playing this game any more.",24.8
"amazing tactical shooter. steep learning curve, but its rewarding when you start hitting those clutch shots and being the hero. recommended to anyone who enjoys a high level competitive experience.",1165.3
"i very like this game. very good game every one should try it better then all cs",1053.2
"i dont need this gun skin but it looks cool so ill buy it for $150 the market system makes me feel like im merching at the ge in runescape and i love that feeling in a gunfight when the other player lags harder than me so i win. would rate 8/8, best sticker collecter simulator 2014 hands down. still a fun game with friends. never play alone, though. thats suicide.",92.3
"great game! really enjoy the teamwork aspect, when you and some buddies can work together and complete the mission! worth a buy for any cs fan or someone looking for a more challenging fps.",674.6
"its a really interesting game & very fun to play. i think im brave enough to recommend it to others.",230.1
"a balance of skill, speed, and tactics that has yet to be matched by any other fps. this is the perfect blend of traditional cs with modern game elements. steep learning curve for the uninitiated, but a great, great competitive game.",234.4
"this game is horrible. russians please uninstall this game. thx gaben <3<3",1583.5
"great multiplayer game worth the money. the trading is fun too!",503.4
"really really enjoyed this game when i played it. its very addictive and the economy was great so was the community but i think they need to sort out their anti-cheat. i kept going on about how bad it was, then one day, i am banned. so i feel it must be improved in some way. but to anyone buying it, there are lots of hackers lower in the ranks, but once you get higher its an amazing game. only buy it if you like playing with friends, teamwork and sometimes raging.",44.9
"an extremely exciting game, i am so passionate about, life of a silver for life!!!! everyone buy please!!!!!!",92.7
"i have played this game a ton, everyday 8 hours. this game has a huge skill gap, but once you fill some of it in by learning the maps, map awareness, aiming for the head, and everything else. this game is very addicting also, and almost never gets old!",676.6
"another addition to the counter strike franchise. been playing this game for 10 years plus, and still am finding new ways to do things each and every day. the community might be daunting and condescending at times but once you persevere through it and start working towards your end goal (whichever that might be), this game will bring hours of enjoyment.",760.7
"it`s an realy good tactical fps that i really recomend to everyone who both want a new rush of cs and/or want a satisfactory tactical shooter. really recomend this game to everyone!",1148.5
"this is so awesome game!!! <3 i recommend for fps gamers.... <3",364.8
"personaly i love this game and not just for the gameplay the selection of skins for your guns are just awesome i recommend it for anyone who likes 1st person shooter games.",751.2
"its amazing as its graphics are better than the othr versions of cs..",283.6
"the best frist person shooter, buy the game if you like fps.",3.9
"all my friends left my chats to play comp 10/10 would cry alone again",22.5
"i like the whole game! all of its features are well designed!",865.8
"a very nicely made counter strike, best version yet.",1750.9
"a counter-strike game that doesnt require hardcore skill to play it like 1.6 did, and that makes it more fun and more friendly for new players. graphics are very good, its easier to seperate ct from tt and radar is made much more helpful. this game makes you to come back to it again and again. even if you got bored from it, after few days you can play it like first you started it. there is a great value in it, so thumbs up!",500.2
"ing awesome game it gave me old memories of cs 1.6 back must play !",728.9
"99 aimbotting reports but being an asian aint one.",299.9
"very good game but the ruskis are annoying som times xd",606.1
"buy a couple of smurf accounts, get paid and get laid. at least, thats what the cover said.",1030.1
"this is game is awesome but if you are new to cs then you are going to practice allot",1080.3
"cs:go is one of the most played fpss around and theres a reason why: its great! yes, when the price drops there will be an hacker in almost every ranked. but, its still a great game to play either by yourself or with friends. youll die, youll learn, youll own. 9/10 would die from an awp again",449.2
"this game makes me go cs:whoa. so many purty guns to use, so little time.",279.1
"counter-strike global offensive is the second best after 1.6 its still better than cs: source and condition zero 15 euro is worth buying this game.. counter strike is still one of my favorite classic shooters",510.7
"hell of a game where it requires alot of skills and communication from your fellow allies (unlike most fps such cod).make sure you invest the time to learn its mechanics",985.2
"only for the kool kids. not for me in that case. (  w  )9",2.1
"my friend said this is a good game, havent got a chance to try it.",401.9
"csgo is a great game and i would recomend it to any fps players!",954.2
"the pinnacle of tactical first person shooters. nothing can recreate the feeling of a an actual team in videogames except for cs:go, and very hard not to recommend to everyone. even if the competitive mode doesnt interest, there are still very interesting modes to play other than it, and a lot of maps and mods to apply to it.",61.7
"the best counter-strike ever!!! i recommend it to enybody/ and everybody",196.6
"fantastic game! + great multiplayer + great team-based + great gunplay + great graphics + great game highly recommend 9/10",148.2
"what to write as a review for this game... well, i started playing cs:go just a few days ago with my bf and so far i have been called: fing idiot, r3tard and they even unsuccessfuly tried to kick me out of the server lol i never knew that only macho guys with tiny d!cks played this game >.< they all seem to think they are pros, even though, they know, for a fact, theyre playing with/against noobs who are trying to learn and improve. oh and did i mention they sure as hell cant play with girls?! what a bunch of cavemen m0rons. so yeah, i hope you find this helpful.",13.3
"its a good game. with good graphics. the maps looks very good and have a great texture. this game can almost be played on every pc cuz it dont ask a lot of the pc. and haves almost no lagg. the character models and weapons can maybe get improved a bit cuz they dont look really good in my opinion. if u have a weapon with a skin the weapon looks great. so maybe the character model can get improved a bit. for the rest its a great game. + points : no lagg. good graphics. nice weapon skins. great maps. - points : the character models",303.8
"its important to appreciate games like this for what they are, and this game is a callback to a past chapter of video game history thats been buffed and polished. and unfortunately as someone who never actually played the original counter-strike games, im not in much of a position to judge exactly how well they pulled this off. basically, it entirely boils down to the kind of person you are. if youre a die-hard counter-strike fan, then this is probably all you can ask for. if youre a more typical gamer who just finished playing crysis or battlefield and wants to pick up something to play over the weekend, then trust me when i say that this is not the game for you. its the online fps equivilent of dark souls, in a way.",69.8
"good game to play, except for getting spawn killed lol",90.8
"it needs func_vehicle. seriously it needs func_vehicle  func_vehicle now, func_vehicle forever! long live func_vehicle! func_vehicle func_vehicle func_vehicle func_vehicle",99.5
"nice, fun and competitive shooter. no fancy extras such as jetpacks or anything but the drop system is very fun and you have a lot of weapon skins you can get",105.1
"i love this game even if i havent played it that much yet.",928.1
"i never played counter-strike before. cs:go was the first cs i ever played and i love it! great gameplay, good graphics, simple tasks and lots of missions. the thing i love the most about this game is that you can actually earn cool skins. you should definitely buy it!",648.8
"just a cool counter strike game which is fun. enough said go buy it.",871.7
"as hard as it is to wrap my head around first-person shooters, counter-strike: global offensive was unexpectedly one of the easier games to pick up and wrap my head around. i was always afraid of competitive- id never played a multiplayer match until about a month or so ago- and i never expected much by way of nice attitudes from the community. boy, was i wrong. bout 90% of the matches we hit had fair, nice, understanding, and overall good-hearted players. theyd understand if you made a mistake- and would help you through it on occasion. this game has its fair share of exploiters, hackers, and general douches who will act like  to you, but theyre quite the minority from what ive seen.",160.6
"yes, you mays usckl buy u buy gunsz and u shot thing and if you suck you r nbad amd the comnuty would setroy u",805.9
"amazing game, sad thing, alot of trolls, or you get put in teams with people who dont have a single clue on what theyre doing",453.4
"i like this game becuz shurif scrappy is gud and mick is mean and so is simon seacucumber but that doesnt matter becuz i am kind of gud at the game wen it cums to killing jfj becuz jfj is bad and dereko is bad and reece is bad and timmipoo is bad and space is bad and erectin is bad!!!!!!!!!!!!!!!!!!!!!!!!!1",29.0
"this game is actually pretty good. it even inherits my epic gmod jumping skillz. 8.5/10 (some maps need pay/ theres no mods. but all together pretty good game.)",25.4
"best game ever if you like competive games this is for you",61.6
"this game is amazing im not even going to explain it.... just buy it :d",1272.4
"really fun game. it has some quality of shooting real weapons like recoil, which makes the guns somewhat balanced and unspammable. fun once you get to the point that you know what your doing.",227.5
"this is my first cs game i have played and owned. i am sad that i have not play them before! this is a great game, and i have and am going to put many hours into this game. hope i can go somewhere with it!",1335.0
"why not to make this game free-to-play? most of free-to-play shooters are oldschool games (cs logic) with microtransactions. this is valve another free-to-play",2.3
"i play offline alot, so i was excited to find that counter-strike: global offensive had an offline with bots feature. it is really fun to kill bots and defuse bombs as a counter-terrorist. its also kind of funny when you spectate a bot to find that they have horrible accuracy. i like using shotgun weapon, and testing out cs:go skins on an offline server without bots. i do recommend this game.",20.7
"0/10 did not strike counters that were globally offended. also i was face to face against a guy with an awp and ih ave novuh, i shoot first right in the face to him, he apparently is in the matrix and dodges every single pellet that comes out of my gun and in turn shoots me in the face. yay. also gun spray mechanics make no sense what so ever.",31.9
"this game is so fun and amazing to play if u dont have it now u should buy it",1213.2
"this is a great game, im really glad they re-revamped counter strike it looks great feels great :)",21.3
"good game bit diffrent from css moving closer to cod i guess but overall fun game long learning curve",116.3
"when im winning, this is the best game ever created. when im losing, i want to uninstall and remove it from my library forever. 5/5",788.5
"at first i was cynical and hesitant to accept this as the successor to cs:s, as it only appeared to be better graphically. but im very glad i gave it a chance. cs:go feels like more of a modern shooter; think battlefield or cod, but done purely in a cs-oriented way: an improvement of cs:s. the weapons feel more versatile and there are less worthless weapons like there were before, in source there were really only 5 or so acceptable guns but in go, i find myself picking up many different weapons for different situations. the new maps are a welcome, i always thought the original lineup was rather limited (note: there are a few maps from cs:s that did not make it into cs:go, however, they are not really missed). a great fps experience, especially with friends. killing each other brings us closer together, no?",122.0
"if you are looking to get addicted to betting, and trading you cant go wrong here. very fun",214.6
"i dont usually play shooters. i actually hate them! but this game... its a masterpiece. it never gets old, backwards playability, partial controller support, skins, and so much more! so go ahead, buy it!",68.6
"best rage simulator out there! 10/10 best game ever. shoot people with the weapons invented such as p90/autos. <- silvers love them <3",1249.6
"if youre into competive, try this game. live short enough to call a noob and long enough to be called a hacker! xd",455.3
"it has every basic element of original game with many more things. graphics are very nice with no effect on performance. new maps and modes are well designed and fun to play. overall forget old ones and play this.",24.8
"i have played a lot of call of duty (until bops 2) and battlefield fps shooters, but this one takes the cake. with all of the issues with bf4 at launch, i wanted to try cs as ive heard a lot of positive buzz about it. wow...the map designs are great, no netcode or lag issues (that ive seen), people are helpful in the game (as a newb i need a lot of advice), and the graphics are really good. i would definitely recommend this game - especially when you can get it on sale. its a lot of fun and very challenging.",190.2
"(latest review) what do you do in this game??? shoot sh*ts up bang bang bang booooooooooooooooooooooom kinna like mordern fps...just like cod but hey,its not the sameeee.it has kick  graphs,differnet modes to play,and fun as playing gta v as trevor.physics?...no dont talk about this okay?......nao i dont... overall:9/10,wouldve been better if its have more modes.i know theres a opreation bravo thingy but...not free?i guess.~not ign (extened) i got a field-tested p250 franklin on a random casual match. 10/10 best game. execpt i saw a chicken floating at midair",290.9
"insanely fun fps. recommended. crates will make you addicted.",471.1
"this is one of the hardest games in the world. do not play unless you are willing to go threw frusteration as you build your skill. there are a lot of great players, there are also some cheaters. when you come acrost someone who is blatently cheating, just report them and players that are trusted by valve will review the gameplay and take the proper actions.",253.2
"been playing for 12 years. i still cant get bored of it. best shooter ever made.",1383.6
"really enjoyable especially with the drop system and competitive matchmaking.",338.7
"i opened a case for $2.49 and got a skins worth 10 cents",788.7
"best fps ive played to date. i couldnt really complain this game requires all skill and cheaters are pretty much for the most part are non-existent. lacks some features that modern day shooters have but honestly the gameplay literally just beats any shooter ive ever played so i cant complain. if you are looking for a game that is based on strict skill than this game is for you. but be warned, its not for everyone. personally, ive had a few friends try the game but they rely on over-powered weapons and even cheats to play the game. also if you decide to pick up this game you will learn fluent russian in about a week. im not kidding. 5/5 : best shooter ive ever played to date.",618.9
"man this game is the greatest fps around nobody does it better than this!! the creators and all around leader in multiplayer team and tactics shooter there is.... period.",920.5
"this game is an amazing multiplayer game with bots and other awesome features. i really liked it how they added the gun game. but there is one down side...... when you get capsules and weapons cases you have to pay 1-3 dollars just to open one. 9/10 altogether a great game. thumbs up!",538.4
"amazing game but the community of players is one of the worst in any game .......",864.2
"get judged on your teams skills during competitive matchmaking; 0/10. dont even attempt competitive if you dont have a pre - organised team. great game if you do - 9/10",338.2
"i like moaning as loud as i can in the mic whenever i get a kill 10/10",138.2
"the game of a generation. travel the globe and gather the most wonderful objects created by man. put them in a magic bag with a pile of moondust. the contents of said bag would still suck in comparison to counter-strike: global offensive. 10/10.",3.4
"this game is ing . riddled with hackers and  heads named chow and kelkoo.",668.8
"great fps, with a more realistic feel compared to other fps such as call of duty. contains only a select number of guns, but sometimes new ones may be added. not the best of communities, but is still one of the best games on steam. 8.5/10",284.8
"you cant play unless you pinch ya mums credit card ya dirty silver.",1102.0
"elegantaro remember polish is not the same as russia",875.4
"so many hackers, dont buy this game if you dont want to play with potatos againts hackers, it is impossible to rank up in this game, just saying, only fun thing in this game is nothing.",507.2
"i have never played counter strike until now. best. game. ever.",822.5
"pretty one of the greateful and most popular valves games ever. cs:go its a new wave of oldschool cs 1.6, and it brings many nice mechanics, graphics and usability improvements. i recommend this game for all players, who play 1.6 may years ago and who would like to discover something new :)",357.6
"cs:go is really a great fps if you dont want to spend too much money on it. it is not as good as cod or battlefield but it is definitely an amazing fps.",24.6
"balanced and fair. if you lose its your own fault. how any shooter should aspire to be nowadays.",574.2
"awesome, but new engine not source would be perfect",374.0
"0/10 would no longer play this game. player base has went to hell, join any game and you get a cod  blocking you or doing anything to get in your way. was a gold nova 4 went into five games. got body blocked told to eat  ect ect. played 5 games lost 3. won 2. top chart or 2nd best each time. deranked to silver elilte. played more games. got deranked to silver 4 have won 19 games since. no rank up. teamfag blocks me when i have awp. kill him and enemy get 7 day. 10/10 would use uninstaller. oh and good luck trading anything of value. steam/valve. does jack s#it to stop scamers account hijackers and ect ect. this game is a de-railed train full of s#it head cod players.",493.2
"this game ing sucks holy  worst game ever on steam 10/10",357.2
"definitly the most enjoyable counter strike nowadays !",325.6
"expect togglers at top 3 highest mmr ranks. id suggest finding a mix/team to play with on 128 tick server on faceit, esea or other communities. great game though :) edit 2014-08-05: well, since everything is about skins these days and you can get votekicked from a match if you are playing with  polish/russian (other third world country) you will get banned for 1-4 hours due to getting kicked to much. this game will never be great, never again. ive gone from playing this 100% when i play on my pc, to about 2-4 matches per month. go figure :)",1301.9
"this game ruined my life :d , would highly recommend :d",577.5
"a great game to play with friends, some games can be great but others can be spoilt by cvheaters and smurf accounts. all in all a good game to get into. the create opening system is good as well even though it is quite expensive it makews it more fun and enjoyable.",928.4
"decides to go solo. 4russians appear in ur team. ur top fragging. 1v5. you die. you get kicked.",278.5
"pros: -ridculously fun fps -ridiculously cheap ($3.74 on sale) -one time purchase, no addons (not counting gun skins) -unforgiving realism makes it very challenging -insane replay value cons: -learning curve is extremely steep -game becomes literally infested with hackers during sales -a lot more foreign players than u.s. players (not an issue to foreign players, of course) -unforgiving realism makes it very challenging -community isnt particularly the best one out there, but its decent verdict: between this, call of duty, battlefield, and any other fps out there (well, minus tf2), id go with this. writing this review is kind of hard because being victorious in a 1v5 situation is something that cannot be described, only experienced. counter-strike as a franchise used to be one of the biggest out there, and hopefully it regains its turf someday.",244.0
"counter strike: global offensive is greatest mixture of strategy and first person shooting since its predecessor counter strike: source. starting out as just a mod, counter strike became the game which spread out branches making todays fps . put simply, the complete counter strike genre has always been the best fps/tactical shooter ever created.",1206.1
"very fun game, takes skill and hard effort and time to get anywhere but its great to play especially with friends. would recommend 10/10",431.5
