
% Generated on Wednesday, 29. April 2015 07:09PM
% This ARFF file for Football_Manager_2015 is for use with trying out machine learning algorithms
% on the bag-of-words representation of the reviews only.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"ive bought this game for many years and think this might be my last. firstly im not keen on spending 30 a year on something that could be released as an update. the lack of competition in the manager genre has made si very lazy, to the point where they make one or two small changes and market it as a new game. here are some of the points where my problems lie -ridiculous injurys, in my first season there was not one point where i didnt have at least six players injured -how many times in real football does a team make all its subs then a player gets injured and they finish the game with 10 men? well in fm about one in three games but amazingly never to the computer opponent -its almost impossible to generate any momentum anymore in fm, you will be playing well then suddenly lose for no reason -football has always been in the headlines for footballers astronomical wages, thank god its not like fm, youth players who have never made a first team appearance asking for 40k! agents of average players asking for 5mill in fees! -instead of improving things like the ability to see how your players have performed in training during the week to help your decisions on who to play si add tunnel interviews?!? i can imagine the meeting at si so what have the fans on the forums been asking for well their all desperate for more press interviews in the game, they just dont feel theres enough as fans of the series we should treat si like an alchoholic relative and not hand over money to them to continue their bad habits, in this case their bad habits being treating fans like cash-cows that they can just make sub-standard games for and rely on fan loyalty",237.9
"i have played every iteration of the football manager series, long before i even used steam and i have to say that football manager 2015 has some of the most glaring issues i have seen within the series. manager customization has been inserted and is a step in the right direction, but not entirely. so, you will get to customize the stats of your manager. are you more laid back or more technical? the option to customize and edit stats as such as adaptability and understand of things like attacking, defensive, etc are there. however, i dont entirely know what impact they have on the game as in my 9 hours of playing i havent really noticed it or came across them again. i also do not know if these stats improve or worsen over time, depending on what you do - as the game does not tell you, even in the very brief tutorials. the new user interface layout is amazing and is long overdue. i actually found that i stopped playing football manager 2014 because of the ui. it was clunky, it was a mess and i had no idea where anything was. it was all just text and drop down menus. now there is a nice sidebar which provides links that take you to the most important and most used parts of the game as such as tactics, scouting, team, etc. purchasing players is odd this year. sometimes it is extremely easy to buy a player and others extremely difficult, for no reason - even if you are trying to purchase an already transfer listed player or a reserve player getting no games at his current club. the old let me pay 100m on a 48 month deal still works. you can buy any player that wants to come to your club if you use this method and it totally breaks the entire game. my biggest gripe and the sole reason why i need to give a bad recommendation to this game: the ai and the match engine. the ai in football manager 2015 is the worst i have ever seen in the series. if you actually sit and watch the match unfold you will see some of the following: - players running for a ball and stopping for no reason - the goalkeeper saving the ball, standing back and staring at the ball, which is touching his feet - a player will chase the ball down the wing at full speed, slow down and allow a opposing team player to catch up and take the ball. - opposing team player has the ball and stands still. all of your players are polite enough to let him stand still. - outrages tackles: ball is moving out of your box, opposing striker is running out of your box. there is no threat. defender will slide tackle him as he is leaving the box and give away a penalty. - cbs that seem to play as strikers, leaving entire gaps in your defence. red cards, injuries and own goals - everywhere. i have not went through a game yet where there has not been at least one own goal either by my team or the opposing team. they are everywhere. red cards and injuries happen in abundance - i have had 10 players injured within the first month of a season even though i had average training and not too many games in quick succession. tactics do not work as they are intended. if you sit down and take the time to read and learn how to create tactics, you will be so frustrated. the game gives you descriptions of what each position and instruction does, in depth. this is great. however, they do not work as they say. short passing, retaining position and not punting the ball up the park? team constantly just fires the ball all over the park with next to no short passing. push higher up the park? team sits deep. because of these issues, scorelines can be ridiculous. in my first 5 games of the season there was a combined number of 30 goals between me and the other team. my first game finished 5-4 and my second was 6-3. this all leads to a very frustrating experience overall. every year si always say we are improving the match engine. where are these improvements? i have not seen any improvements, just more bugs and terrible ai. i love this series and i am a huge football fan, but i feel obliged to tell fellow consumers not to purchase this product until it vastly improves.",113.0
"ive been a huge fan of fm going way back before the big split that led to championship manager and football manager. since i started this game, ive won the league once and the treble in another season. im in my fourth season. so its not like im whinging because i cant win. but there is clearly something wrong with the matchday engine. the most succinct way i can put it is that its like theyve decided brazil vs germany from the last wc is commonplace. ill keep 8 straight clean sheets (or something like that) then get beaten by a promoted side 6-0, or 7-5! whats more, ive noticed other games in the league finishing 8-6, and stuff like that. since i started counting, in three seasons ive seen goalkeepers chipped from the touchline or from inside the defending half 27 times!!! the game needs a lot of work. its a winning franchise; so, all they need to do is fix it. but dont spend your money on it until they do. they have released a very dodgy product. ive never seen an fm release like it. just makes the game seem ridiculous, even when youre winning. and thats not why people play this game, right?",1138.7
"there are some good things about fm 2015 which might make it interesting for someone who has never played the series before. for me, as a pretty hardcore player, i feel like im in a vicious circle just feeding my malcontent about the game, but cannot break my addiction. and hell, ive had many spells of fm addiction throughout the last fifteen years, but they are only truly rewarding when i feel i can make a difference with my particular style of play. and my preferred scenario is the lower league model, excessive scouting, wheeler dealer kind of approach, which is worth very little in 2015. the thing that works the least, for me, is that i dont feel i can truly play the game the way i would want to play it. my expectation is that somehow getting a few amazing players in a league 2 or conference team should show. but whether it shows or not depends on chance, player ratings are very position dependent, with central midfielders taking the runt of bad ratings, however amazing they may seem. so i might spend hours searching for the coolest prospects i can find, fishing for work permits for my non-eu conquests, but getting phenomenal players on a mediocre squad matters very little. the general feeling is of a wooden game. bizarre things happen which seem to defy reason. some are buggy, like goalkeeper reactions, some are fixable via lengthy tactical tinkering, like defending corners, and others are the worst of all: monotonous. long distance goals? maybe on tv. a fast player outrunning a defender unless the latter fumbles it? keep dreaming. half competent goalkeepers seem harder to find than the proverbial needle. and then theres an aggressive randomness to how a team behaves and matches unfold. my concede within the first ten minutes syndrome seems unshakable. i am not saying it cannot be done, but the feeling is that it is something that needs to be fixed from the get go, rather than something that should be reasonably fine under normal conditions, like corners. and when theres a huge quality gap between your players and the opposition, it all gets hard to fathom. so why have i played hundreds of hours of this? on the one hand, the addiction. on the other, that elusive feeling when things actually do go right and you win an amzing match. but i am left frustrated because fm seems to be going nowhere, the development of the game fails to address key issues year after year. a balanced match engine. a bit of flair and a bit of the unexpected. some character and individuality to the players. unbiased ratings. consistency and logic in the transfer system. of course its not easy and theres a lot of back and forth in trying to get it all together, but considering the heritage of this series, i cannot avoid a distinct sensation of complacency, padded with the occasional ui revamp or a couple of shiny new features. bottom line: if you have not played this yet, maybe wait it out some more, like until si decide to take the bull by the horns and create another classic. there are many people who enjoy working on this game and its database is a treasure trove, an inimitable advantage for anyone interested in joining the fray. the risk with taking it up is that even if you get it for free, time costs incurred are not worth the experience and chances are your passion for football will be your downfall, in spite of this.",194.2
"too realistic. my arsenal team is getting too many injuries.",372.3
"ive played every single football manager game since the split from championship manager and every single championship manager before that and i have to say, this is the first time ive been massively disapointed in the series - it doesnt feel like fm, its a skewed imposter. some things around the game has improved in subtle ways - match day stadiums looks great, the scouting is more realistic than ever but the good ends there. the matchday engine has slowly become a joke over the years, tolerable but still worsening for the past 3 editions, this one being the worst. injuries are through the roof in this version (even after the hotfix tweaks) and its impossible to keep a players fitness up even with squad rotation. in addition to the injuries the goals are insane your team will score 100 goals a season with anichebe as your main attacking threat but youll also concede just as many with neuer as your keeper. tactics dont seem to matter all that much, after testing it seems the main factor is your familiarity with it. if its low youll drop easy wins without question as your defenders refuse to perform any type of tackle. in all i wouldnt recommend this game to anyone in its current state and i really hope si throw out some massive fixes/improvements and soon.",79.7
"pros: love the new layout and skin, communication with players is better than ever love the new options in transfer and contract negotiations cons: way too easy to sign top players, and the 48 month payment options are pretty broken. they should take more out of your budget for them since at the moment you can spend 100m on a 25m budget match engine is terrible. best way to win is by playing like big sam, hoof it up to the wingers and have a big man in the middle. keepers are also terrible, constantly fumbling into the path of oncoming strikers, getting caught in posession and passing to the opponent. defenders cant mark in the box and miss free headers constantly. i would say 3/4 of all goals come from a cross or a keeper / defender doing something shambolic. overall: great new features, coming at the expense of all the simple things. if they fix the match engine then this could be a very good installment. currently: 4/10 if patched: 9/10",1218.2
"apparently someone who makes the match engine died because the whole ing thing is a disaster. the most realistic football simulation game offers realistic scorelines such as 7-3, 6-2, and ive even seen an 8-8 draw. defending is non existent. goalkeepers take about 10 minuites to get up after they make a save and the whole thing is just broken. i lost 5-0 when my team had 15 shots 6 on target and they had around 5 shots 3 on target. 2 of them were own goals and the rest were rebounds from the keeper. if you call that realistic i have no idea what league you are looking at. i hate when people say its your tactics; ive tried every tactic possible just to get some results and nothing works. i started about 3 saves now. i like the new layout and the game mechanics. but the match engine is godawful and unfinished to the point where i question if its a football game. why the  is the match engine so bad when it was amazing on fm14? go back to 14 everybody where you can get realistic scorelines. tl;dr , nobody can score, nobody can defend, goalkeepers are apparently disabled. dont buy it until a patch comes out.",386.4
"won the league with liverpool. most unrealistic version yet. 1/10",236.2
"its another year and another football manager game. i will play it for countless hours again because i am addicted to this sort of game and i play fm because frankly, there is no alternative. does this mean i will either recommend it or give it a good review? once again, not this year. the lack of ability in si to actually listen to the reviews of its customers is just awful. this is a company that has been excellent in the past at implementing user ideas. in the past few season such bugs as far too many injuries (they argue there are fewer than real life, blah, blah) and goal keepers who just let the ball in after catching it have been glaring issues, just to name two examples but i could go on like this for hours with things they just choose to ignore or tell us are not issues at all. the new user interface is just trash, especially the tactics screen and this does not seem to be getting addressed despite cries from the user base, once again. i dont really need to write a long list of things wrong with this game, just quickly browsing the review section here will show you what is sorely missing and what is over looked. i want to love fm again, but it looks like they are just making too much money and only listening the fan boys on their main forums to care about the user base anymore.",526.4
"ridiculous match engine which sees many matches end 4-4, 6-4, 5-5 etc. you will go 3-0 up and use containing tactics to protect your lead, only to conceed 5 second half goals and lose 3-5. ive already had 3 goals scored from attacking teams own half i.e 60/70 yard strikes. most goals come from rebounds from the keeper or the woodwork. its all just a bit broken. i have been playing football manager since its amiga championship manager days and this has to be the worst effort yet. i usually wait for these titles to go on sale but bought this one at full price, eager to get hold of my teams (watford) potential promotion winning squad. never again will i pay full price for a football manager game. very disappointed. i am sure future patches will address some of these issues but they never should have released an unfinished, unbalanced game",153.1
"until we get a fix for injuries, this game is unplayable. no matter what i do, all the players get injured for many months, it is impossible to play. the devs say it is low compared to real life, but its a lie, in real life we dont see so much injuries lasting for so many months so often, this is bull****. btw, ive prepared my players with a lot of conditioning training in pre-season and everything, but it doesnt matter, they still get injured almost every game and in between one another.",143.2
"not saying this is a bad game not at all. i have played football manager since 2012 and know the game in and out. now this is the most fun football manager. but is the most fake as in a season only having one 0-0 game where i play defence with counter attack still does make for an interesting season. having 127 goals and 58 conceded is interesting to watch as well do not get me wrong. but this is the most unrealistic football manager they have put out. its a joke how many goals go in and how much is just plain unrealistic. example first game in the prem just got middlesbrough promoted playing against liverpool games ends 8-6 .... 8-6 !!! how does that happen? if you want an unreal intense football manager where it is all goals goals goals then this is for you if you want a football manager go and play the last year and just download a mod that updates teams for you because this is not a football manager. pros  - a lot of goals - never a dull game - more in-depth communication with player and staff - in match team talks - better transfer and overall balancing - always fun most game end with a min of 3 goals - more goals goals !!! goals for every one - being able to speak to a player who does not want to come instead of being blocked by agent gives more scope to get players out of your range cons  - very unrealistic - random injurie spells (not always but can end up having 9 players out for 3 weeks after 2 games and two weeks of training) so always save and quit when this starts as when it does the injuries will not stop until you cannot field a team - no matter strategy you will score a lot and concede a lot - could still have more depth, i still think it has got too streamlined from 2012 - players seems to get very unhappy fast and all seem to being a stubborn as a mule unless you use the talk ( x player is having good form) no matter the form they seem to agree with you - having a one 0-0 in a hole season and 3 strikers with more than 20 goals and top 6 goals scores in the league all having more the 30 goals kind of makes it seem very unrealistic - german league rights have gone and still no badges for most top flights teams ( mods do fix both mind) overall for people wanting fun 7/10 people wanting a football manager 3/10",76.4
