
% Generated on Wednesday, 15. April 2015 01:53AM
% This ARFF file for The_Elder_Scrolls_V is for use with trying out machine learning algorithms
% on the bag-of-words representation of the reviews only.
@relation reviewer_experience
@attribute review string
@attribute experience numeric

@data
"this is the game the never, ever ends. i picked this game up thinking i wouldnt like it having never played a previous tes game before. sat in my library untouched for about a month or two, and finally took the plunge. i was wrong. i was so very, very wrong. this is probably the best purchase ive ever made on steam. add in the unlimited potential of modding, and its an adventure that continues forever. ive probably restarted over a hundred times by now with a new character, and still only have beaten alduin once. once. theres still so much more do to and explore that im still discovering quests and areas and little hidden things. i still cant believe how much there is to do and im still finding more. at it stands ill probably wake up one day having lost all touch with reality and actually start seeing the world as skyrim with how much ive played. and im totally ok with that.",4652.9
"ruined my life. five stars.",3210.9
"if i had to choose between this game, and my girlfriend. id pick this game. edit: im single now on a more serious note: this game is the best in its genre. in previous bethesda games they made a sad balance in between questing, and exploration. some having more quests and less places to go, and others having very few quests and more places to explore. but in skyrim, there is no shortage of quests, and if you are like myself and just wander around aimlessly, you will stumble into places that just blow your mind. every time i have replayed this game, i stumbled into something new. for more info id very much recommend mods, with mods such as texture packs, difficulty, quests, armor, and weapons, this games replay value is endless. go through the game once with plain skyrim, then mod the hell out of it. overall id rate this game an easy 10/10. if you havent already. please buy it, give it a little, and i swear you will be hooked.",1164.7
">murdered nazeem in the middle of town >carried him up to the cloud district >threw his corpse down into some nearby water >retrieved his corpse >carried him back to the middle of town >guards see me, dont care >left nazeems corpse bent over a well >guard hard staring me whole time >decide to leave market place >accidentally hit e while looking at tomato >get sent to jail for stealing tomato 10/10",150.9
"an epic game made all the more epic by the fact that it is so easy to mod and so well supported by the modding community. the elder scrolls series has a large following and often you will hear people argue over each new tes game comparing it to the last, but for me each tes game stands on its own merits, and skyrim is no exception. the story is pretty good and there are plenty of side quests, but what makes skyrim so great even when not modded is its large and open nature. this is a land you can just pick a direction and with no quest in mind and just explore. you will find danger and excitement on your journey ... and loot. lots and lots of loot. but once you start modding this game, that is when you unlock the true value that is skyrim. potentially thousands more hours content (for free) in a game that can be improved ten thousand different ways from graphics, textures and sounds all the way to game mechanics and user interface changes. you can make the game exactly what you need it to be, and play it for so long you may still be playing when the next game in this series comes out.... and sometimes longer than even that. if you are interested in modding the pc version of the game, be sure to check out my guide for beginners:",247.4
"a game where trying to interact with giants holding clubs turns into the funding of nasas space program.",148.5
"play it, mod it, play it again, mod it some more... its a dangerous cycle: your pets will die of neglect and your friends will leave you. you wont care, youll just install more mods.",12816.1
"i was stacking books on a shelf in my house in whiterun, one of skyrims major cities, when i noticed a weapon rack right beside it. i set a sacrificial dagger in one slot, an orcish mace in the other. they were on display for nobody but me and my computer-controlled housecarl, lydia, who sat at a table patiently waiting for me to ask her to go questing. the chest upstairs was reserved for excess weapons and armor, the bedside table for smithing ingots and ores, the one next to the alchemy table for ingredients. id meticulously organized my owned virtual property not because i had to, but because tending to the minutia of domestic life is a comforting break from dealing with screaming frost trolls, dragons, a civil war, and job assignments that never seem to go as planned. its even a sensible thing to do; a seemingly natural component of every day existence in skyrim, one of the most fully-realized, easily enjoyable, and utterly engrossing role-playing games ever made. part of what makes it so enjoyable has to do with how legacy elder scrolls clutter has been condensed and in some cases eliminated. in skyrim, theres no more moon-hopping between hilltops with a maxed out acrobatics skill. thats gone, so is athletics. the elder scrolls v pares down the amount of skills and cuts out attributes like endurance and intelligence altogether. theres no time wasted on the character creation screen agonizing over which skills to assign as major. you dont assign major and minor skills at all, but instead pick one of ten races, each with a specific bonus. high elves can once a day regenerate magicka quickly, orcs can enter a berserk rage for more effective close-range combat. these abilities are best paired with certain character builds  the high elf regeneration is useful for a magic user  but dont represent a rigid class choice. major decisions dont need to be made until youre already out in the world and can try out magic, sneaking and weapon combat, emphasizing first-hand experience over instruction manual study, letting you specialize only when youre ready. it contributes to the thrilling sense of freedom associated with life in skyrim. do a quest, kill a dragon, snatch torchbugs from the air, munch on butterfly wings or simply wander while listening to one of the best game soundtracks in recent memory. despite the enormity of the world and the colossal amount of content contained within, little feels random and useless. even chewing on a butterfly wing has purpose, as it reveals one of several alchemical parameters later useful in potion making at an alchemy table. mined ore and scraps of metal from dwemer ruins can be smelted into ingots and fashioned into armor sets, pelts lifted from slain wildlife can be turned into leather armor sets, and random books plucked from ancient ruins can trigger hidden quest lines that lead to valuable rewards. skyrims land mass is absolutely stuffed with content and curiosities, making every step you take, even if its through what seems like total wilderness, an exciting one, as something unexpected often lies just over the next ridge. many times the unexpected takes the form of a dragon. sometimes theyre purposefully placed to guard relics, sometimes they swoop over cities and attack at seemingly random times. in the middle of a fight against a camp of bandits a dragon might strike, screaming through the sky and searing foe and friendly alike with frost or flame. momentarily all on the battlefield unite, directing arrows and magic blasts upward to knock down the creature, creating impromptu moments of camaraderie -- a surprising change from what may have been yet another by-the-numbers bandit camp sweep. dragons show up often, their presence announced by an ominous flap of broad wings or an otherworldly scream from high above. the scale and startling detail built into each creatures appearance and animations as it circles, stops to attack, circles again and slams to the ground makes encounters thrilling, though their predictable attack patterns lessen the excitement after a few battles. in the long run theyre far less irritating than the oblivion gate equivalent from the elder scrolls iv, can be completed in a few minutes, and always offer a useful reward. killing a dragon yields a soul, which powers skyrims new shout system. these are magical abilities any character can use, you dont have to specialize in spell casting to slow time, throw your voice, change the weather, call in allies, blast out ice and fire, or knock back enemies with a rolling wave of pure force. even if you favor sword, shield and heavy armor and ignore magic entirely, youll still be able to take full advantage of these abilities provided you find the proper words  each shout has three  hidden on skyrims high snowy peaks and in the depths of forgotten dungeons, serving as another reason to continue exploring long after youve exhausted the main quest story, joined with the thieves guild, fought alongside the dark brotherhood, or thrown your support behind one of the factions vying for control of skyrim. not only is this land under assault by dragons, long thought to be dead, its also ripped in two by civil war. you can choose one side or the other, but so much of the allure of skyrim is how, even outside of the confines of quest lines, the embattled state of the world is evident, and steeped in a rich fictional legacy. lord of the rings this is not, but with the release of every elder scrolls game, the fiction becomes denser, and the cross-referencing for long-time fans all the more rewarding. skyrims residents are all aware of current events. theyll comment on the civil war, some sympathizing with the rebels, others thinking the establishment sold its soul. the peasants complain about the jarls who control each settlement, the jarls complain about the rebels or foreign policy, the overprotective college librarian complains when i drop dragon scales all over his floor; many characters feel like whole, distinct personalities instead of vacuous nothings that hand out quests like a downtown greeter hands out flyers for discount jeans. characters stereotype based on race, they double-cross at even the slightest hint it might be profitable, and they react to your evolving stature within the world. it makes a ridiculous realm, filled with computer-controlled cat people and humanoid reptiles, demon gods and dragons, feel authentic, like a world that existed long before you showed up and will continue to exist long after you leave.",92.1
"killed an old woman. stole a plate. got arrested. (because of the plate). fought a dragon. stole a crown. got drunk. became a werewolf. killed bees with fire. followed a talking dog. visited the old dwarven cities. killed robots. became an assassin. killed the emperor. got beaten to death by a whole town for stealing a cabbage. became a respected general. fought bandits. poisoned mead. stole cabbage again. 10/10 would skyrim again.",68.4
"at first you are like this games fun, then you are like woah there are mods and then you dont stop the mods and then the next thing you know you are playing as a giant with a strap-on fighting thomas the tank engine",477.1
