% Generated on Wednesday, 06. May 2015 09:52PM
% This ARFF file was generated with review data from the following game(s):
%     sample
% It is useful only for trying out machine learning algorithms on the
% bag-of-words representation of the reviews only.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"ive bought this game for many years and think this might be my last. firstly im not keen on spending 30 a year on something that could be released as an update. the lack of competition in the manager genre has made si very lazy, to the point where they make one or two small changes and market it as a new game. here are some of the points where my problems lie -ridiculous injurys, in my first season there was not one point where i didnt have at least six players injured -how many times in real football does a team make all its subs then a player gets injured and they finish the game with 10 men? well in fm about one in three games but amazingly never to the computer opponent -its almost impossible to generate any momentum anymore in fm, you will be playing well then suddenly lose for no reason -football has always been in the headlines for footballers astronomical wages, thank god its not like fm, youth players who have never made a first team appearance asking for 40k! agents of average players asking for 5mill in fees! -instead of improving things like the ability to see how your players have performed in training during the week to help your decisions on who to play si add tunnel interviews?!? i can imagine the meeting at si so what have the fans on the forums been asking for well their all desperate for more press interviews in the game, they just dont feel theres enough as fans of the series we should treat si like an alchoholic relative and not hand over money to them to continue their bad habits, in this case their bad habits being treating fans like cash-cows that they can just make sub-standard games for and rely on fan loyalty",237.9
"too realistic. my arsenal team is getting too many injuries.",372.3
"ive played every single football manager game since the split from championship manager and every single championship manager before that and i have to say, this is the first time ive been massively disapointed in the series - it doesnt feel like fm, its a skewed imposter. some things around the game has improved in subtle ways - match day stadiums looks great, the scouting is more realistic than ever but the good ends there. the matchday engine has slowly become a joke over the years, tolerable but still worsening for the past 3 editions, this one being the worst. injuries are through the roof in this version (even after the hotfix tweaks) and its impossible to keep a players fitness up even with squad rotation. in addition to the injuries the goals are insane your team will score 100 goals a season with anichebe as your main attacking threat but youll also concede just as many with neuer as your keeper. tactics dont seem to matter all that much, after testing it seems the main factor is your familiarity with it. if its low youll drop easy wins without question as your defenders refuse to perform any type of tackle. in all i wouldnt recommend this game to anyone in its current state and i really hope si throw out some massive fixes/improvements and soon.",79.7
"apparently someone who makes the match engine died because the whole ing thing is a disaster. the most realistic football simulation game offers realistic scorelines such as 7-3, 6-2, and ive even seen an 8-8 draw. defending is non existent. goalkeepers take about 10 minuites to get up after they make a save and the whole thing is just broken. i lost 5-0 when my team had 15 shots 6 on target and they had around 5 shots 3 on target. 2 of them were own goals and the rest were rebounds from the keeper. if you call that realistic i have no idea what league you are looking at. i hate when people say its your tactics; ive tried every tactic possible just to get some results and nothing works. i started about 3 saves now. i like the new layout and the game mechanics. but the match engine is godawful and unfinished to the point where i question if its a football game. why the  is the match engine so bad when it was amazing on fm14? go back to 14 everybody where you can get realistic scorelines. tl;dr , nobody can score, nobody can defend, goalkeepers are apparently disabled. dont buy it until a patch comes out.",386.4
"won the league with liverpool. most unrealistic version yet. 1/10",236.2
"its another year and another football manager game. i will play it for countless hours again because i am addicted to this sort of game and i play fm because frankly, there is no alternative. does this mean i will either recommend it or give it a good review? once again, not this year. the lack of ability in si to actually listen to the reviews of its customers is just awful. this is a company that has been excellent in the past at implementing user ideas. in the past few season such bugs as far too many injuries (they argue there are fewer than real life, blah, blah) and goal keepers who just let the ball in after catching it have been glaring issues, just to name two examples but i could go on like this for hours with things they just choose to ignore or tell us are not issues at all. the new user interface is just trash, especially the tactics screen and this does not seem to be getting addressed despite cries from the user base, once again. i dont really need to write a long list of things wrong with this game, just quickly browsing the review section here will show you what is sorely missing and what is over looked. i want to love fm again, but it looks like they are just making too much money and only listening the fan boys on their main forums to care about the user base anymore.",526.4
"ridiculous match engine which sees many matches end 4-4, 6-4, 5-5 etc. you will go 3-0 up and use containing tactics to protect your lead, only to conceed 5 second half goals and lose 3-5. ive already had 3 goals scored from attacking teams own half i.e 60/70 yard strikes. most goals come from rebounds from the keeper or the woodwork. its all just a bit broken. i have been playing football manager since its amiga championship manager days and this has to be the worst effort yet. i usually wait for these titles to go on sale but bought this one at full price, eager to get hold of my teams (watford) potential promotion winning squad. never again will i pay full price for a football manager game. very disappointed. i am sure future patches will address some of these issues but they never should have released an unfinished, unbalanced game",153.1
"until we get a fix for injuries, this game is unplayable. no matter what i do, all the players get injured for many months, it is impossible to play. the devs say it is low compared to real life, but its a lie, in real life we dont see so much injuries lasting for so many months so often, this is bull****. btw, ive prepared my players with a lot of conditioning training in pre-season and everything, but it doesnt matter, they still get injured almost every game and in between one another.",143.2
"not saying this is a bad game not at all. i have played football manager since 2012 and know the game in and out. now this is the most fun football manager. but is the most fake as in a season only having one 0-0 game where i play defence with counter attack still does make for an interesting season. having 127 goals and 58 conceded is interesting to watch as well do not get me wrong. but this is the most unrealistic football manager they have put out. its a joke how many goals go in and how much is just plain unrealistic. example first game in the prem just got middlesbrough promoted playing against liverpool games ends 8-6 .... 8-6 !!! how does that happen? if you want an unreal intense football manager where it is all goals goals goals then this is for you if you want a football manager go and play the last year and just download a mod that updates teams for you because this is not a football manager. pros  - a lot of goals - never a dull game - more in-depth communication with player and staff - in match team talks - better transfer and overall balancing - always fun most game end with a min of 3 goals - more goals goals !!! goals for every one - being able to speak to a player who does not want to come instead of being blocked by agent gives more scope to get players out of your range cons  - very unrealistic - random injurie spells (not always but can end up having 9 players out for 3 weeks after 2 games and two weeks of training) so always save and quit when this starts as when it does the injuries will not stop until you cannot field a team - no matter strategy you will score a lot and concede a lot - could still have more depth, i still think it has got too streamlined from 2012 - players seems to get very unhappy fast and all seem to being a stubborn as a mule unless you use the talk ( x player is having good form) no matter the form they seem to agree with you - having a one 0-0 in a hole season and 3 strikers with more than 20 goals and top 6 goals scores in the league all having more the 30 goals kind of makes it seem very unrealistic - german league rights have gone and still no badges for most top flights teams ( mods do fix both mind) overall for people wanting fun 7/10 people wanting a football manager 3/10",76.4
"i love the football manager series ,this game has potential but it has some serious teething issues and needs updated. the high score lines and players getting injured every game is very unrealistic and not up to usual standard. ive been playing fm since the start and was put off by the mix reviews on here but decided to try it for myself . i dont understand how people can honestly enjoy or reccommend this game in its current state? pros- looks good and performance is fast. new interface is good and easy to use once you get used to it. scouting has been improved. cons- far too many injuries ,at least one per game leading to a selection crisis. no matter what team or league i pick. far too many high score lines, 4-4, 6-4, 7-5 , 4-3 , even against lower league teams. goal keepers are slow to get up after a save. defending is poor/non existent no matter what team or tactics you deploy , i have yet to keep a clean sheet. far too many goals from long range against you. far too many goals conceded from crosses. one game with everton vs new england revelation i had 30 shots on target and scored 2 goals. they had 6 and they beat me 6-2! its not very realistic and what i expect from a football manager game . i can put up with the high scorelines, but the constant injuries is infuriating. no matter what team or league or the set up in training etc , even the reserves seem to pick up injuries . you shouldnt have a selection headache due to injury a few games into the season. it has potential but im only a few hours in and these issues have put me off. i expected to be lost in the game and have 20 plus hours gameplay by now! i simply cannot reccomend this until they address the issues.",38.8
"magically manifest yourself as a footballing god then slam yourself into an unsuspecting team as their ruler and master. force players to bend to your whim as you capture, train and then send them into battle against other teams. spend many seasons working through the football ladder, competing for trophies and the souls of your fallen enemies, all the while waiting for a chance to stab your greedy, greedy board in the back and leap lovingly into the arms of a mexican sugar daddy; his promises of blood money enough to sway your morals. who needs them when you can buy messi and ronaldo for shrewsbury town? muchas gracias amigo!",378.1
"an important public service announcement: do not, i repeat do not, buy this ing piece of utter horse , under any, i repeat any, circumstances. the match engine is ed beyond all recognition. it will drive you insane thinking that the game is scripted, but it honestly is not. it is just so ineptly designed that even now, after years of releasing these games, defenders will still trap the ball, then run away from it, allowing the opposition free goals. why is this happening? laziness and complacency on the part of the developers. do not spend your money on this ing shithouse unless you feel justified in feeding their evil empire. i found out the hard way. you have been warned.",37.4
"time for yet another fm, and instead of the usual praise to the sky; i find myself struggling for words. i played as fc copenhagen, within a month i had 8(!) first/key team members out with injuries - and not just the common cold, mind you - no, oh no. one with a broken ankel, two with damaged tendrons, a broken foot etc. the shortest injury was 3(!!!!) months - i feel like im running a community hospital rather than a football club. anyways, we recover and start winning some matches - except... we dont. for some odd reason it seems like you can dominate a match, to the point where even the opponents fans are rooting for you, and yet they still pull a comeback at the end. draws galore. 1 shot, 1 kill, so to speak. but heck, lets review some of the positives as well... great, realistic scouting system. good layout. aaaaand. yup. id recommend you wait purchasing this game until another update has come out. do it for you own sake, and for ours - the unfortunate souls that purchased this game in good faith that it would be the high standard the game usually is. let them feel the heat, so they can fix this asap.",513.0
"please release a game that works; you spend each year just updating - then charge us for it; stop taking our money for v. minor changes! other games would be laughed at. a few shocking points. - gks fly like reflexes? its insane! - no ones ever fit? - goal shy stirkers? - refs that never give fouls, ever! one of my players was hacked 4 times in the box in the same move. even the most free willing ref would crumble to that! not that we can see anyway because the graphic are so rubbish! - man utd never lose? - players just standing there with the ball turning in the spot? a year and you give us this, wow?? - wing backs that run past someone (overlap) then slow down to be overtaken again by defenders!? - the whole game runs v.slow. general animation is wack for the where were at in the world. - one (more) year and you offer us graphics and animation this bad? there not even an animation for shielding the ball! build a game on tactics, not buying a bunch of star players. and after all these years youve still not sorted training out lol, this is where teams build there style of play!! wow its good game but it very bad too!",287.2
"as much as i love the franchise and the previous releases, this one just doesnt do it for me. its a horrible game atm.. realism; non existing. its basically fm14 with a sidebar, more time wasted on annoying interviews and an, if you can belive it, even worse match engine (the worst one so far in any fm game imo). it has the potential to become a great game, but it needs so, so, so much work that i dont think si will be able to pull it off before the release of fm16. im not going to recommend this game right now, but if there is a god then it might be worth it to check back in 2 or 3 months to see if anything has improved. cheers..",141.2
"playing fm since 2000/2001. the series is my favourite of all time across all genres. the last 3 years however the game has been getting gradually more of an exercise in ambigious tedium than the magical gaming experience it used to be. i appreciate the people at si need to change the game to justify the price tag, i just dont know why they insist on breaking the game to do so. i can only hope the truly awful new features (im looking at you tactics screen) will be patched. they wont though, way too much pride. god what ive give for the return of slide bars. id also love some explanation, no matter how vague, for how the 10 million different variables that can affect the outcome of a match actually work. im certain si changed the way things like tempo work in game for different tactics without mentioning it or eve updating the tips bar. poor form. moreover, having touchline shouts, pressers, player interaction, 3 teamtalks its too much, and its for the most part very very boring. as for the me just like with fm14 and 13 at release, its broken. you would think after 2 poor mes at release si would have the integrity and self respect to deliver this year... i remember when si used to release games that didnt need a single patch. i think the monopoly si have over the genre has made them complacent, its only natural i suppose. do not purchase until they have fixed the game. maybe in mid march 2 months before the season ends :d",299.5
"i love football manager, but they really messed up with this version. the transfer screen is a mess and it is hard to find new players. everything has been hiden in strange menues and wen you finally find the thing you want to do, you cant remember where you found it. the live game is like watching a game with kids! it is not uncommen to see 8-9 players in a small area and noone can hit the ball. the keeper has two settings: catch every ball or drop everything. it is not uncommen to see your keeper jumping high and it takes forever to hit the ground again. that makes it so easy for the attackers to score. (it is not a bug its a feature)..... dont get me started with the freekicks! if your player has a higher rating then 1 i freeking you will score if it is nearer then 90 meters from the goal! oh i forgot about the demands from the players. i played my first season as brndby and 8... eight ing players demanden to be sold. that was devestating for the morale of the team, but come on! i cannot sell 8 players in one transfer period! at the end of every season do some different players demand to get sold, and they get angry, and so do the rest of the guys, if you do not let them accept an offer. not just any offer ooooh no, but a offer from the last transfer period. that is just plain stupid. you cannot sell a player in a closed marked! the game sucks bigtime. it is harder then ever, so even if you plays manchester united against bradford, you still are up for a huge chalenge! dont buy this game! its a mess and not worth the money! stay with fm14 i know i will undtil most of the bugs are fixed!",401.8
"i have played every version of this game since it came out. like any crack addict, i was compelled to buy knowing the risks. hell, i even upgraded my pc just so i could play the game properly because the last two incarnations just wouldnt work on my battered old machine. there are always problems when it first comes out. ive found that the problems persist until a patch comes out in december/january. now for the breakdown: good - the user interface is so much better; there is more interaction with players; you can force moves out with a gentle discussion - a great innovation. bad - whats going on with the tactics? i was scoring plenty of goals, but i noticed that i was conceding far too many. maybe it was my tactical setup? so, when i went into a 3-0 lead, i decided to shore up my defence. i dropped my defenders back and even my wingers. yet, once again, i was conceding the same sort of goals - a cross into the box and finished because my full back was somewhere else or (more usually), the goalie making a save and the rebound always falling to their striker. the end result was 4-3. my stats showed i had the tallest team in the league and thus scored most from corners. however, i also conceded the most from corners. wtf?! i developed one tactic where i gave up trying to win away and just park a bus. still a 5-2 thrashing. i won the league scoring over 100 goals. i conceded more than the relegated teams (70). despite brilliant fitness coaches, i was losing to loads of last minute goals. why, god, why?! i love this game and always will, but to get most enjoyment, ill wait until the patch.",317.2
"just up-graded from 2013 (i only do it every 2 years to avoid disapointment lol) and this is the buggiest version to date graphics glitches left, right and centre and very few new exiting features, plust the engine needs sorting out its even worse than the original unpatched version of 2013 and that was poor enough with at least 1 owngoal a match. as it stands with out some heavy patching from si this game is almost unplayable! as for a recommendation all i have to say is dont buy this game yet, wait for some updates to be released.",131.6
"such a disappointment. a step back, poor game engine, stupid scorelines, too many injuries, beta same as the main game? needs a major patch, all getting worse since fm2012. they need to get back to basics!",274.8
"played football manager since its inception in 84 on the zx spectrum, this is one of the worst in the series for multiple reasons. the devs seem to have the notion of more is constantly better whilst getting the fundamentals of the game which always stood it above the rest completely wrong. i have thousands of hours in football manager games and never been compelled to write a negative review. although playable is not great, the series has gone downhill the last few years in my opinion.",117.7
"i have 24 players on the professional team, half of them are injured it is irritating, go back to fm14 for now is better",446.5
"tl;dr - worst game in the series, bar none. what an fing disgrace. actual review - many game companies fall into the habit of getting caught up in the new features each iteration of their game come out with, while neglecting the problems inherent in the core game itself. we get it, its hard to sell a game to new customers if the biggest thing you can advertise is we toyed with the balancing all year! or we sorted out all the issues with the code!. fm unfortunatly has fallen into just that trap. anyone who has played the past several years of fm can tell you that while many new features have been added, they have by and large slapped onto a  foundation of code that struggled under the weight of a match engine it could not adequately support. watching your 30 million pound striker send a suicide mans backpass to the keeper from an attacking postion, wingers shooting at impossible angles on goals, keepers booting the ball off their own players and into the goal... and so on. any person with a shred of computer programming literacy could tell you that what si needed to do was go back to square one. instead, si made the mind numbingly awful decission to slap a brand new, considerably more complicated match engine, on top of their  code, and had the gall to advertise it as a completely new product. low and behold, you have one of the worst footy simulators to have graced this earth. it colapses under it own weight with comical regularity (just watch your players freeze on the pitch for no reason, like someone turned the power off.). no patch is gonna be able to polish this turd. id suggest buying an older, more stable version if you have to have your fix, but then youd be supporting these crooks.",486.7
