% Generated on Thursday, 07. May 2015 12:06AM
% This ARFF file was generated with review data from the following game(s): ['sample']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"please release a game that works; you spend each year just updating - then charge us for it; stop taking our money for v. minor changes! other games would be laughed at. a few shocking points. - gks fly like reflexes? its insane! - no ones ever fit? - goal shy stirkers? - refs that never give fouls, ever! one of my players was hacked 4 times in the box in the same move. even the most free willing ref would crumble to that! not that we can see anyway because the graphic are so rubbish! - man utd never lose? - players just standing there with the ball turning in the spot? a year and you give us this, wow?? - wing backs that run past someone (overlap) then slow down to be overtaken again by defenders!? - the whole game runs v.slow. general animation is wack for the where were at in the world. - one (more) year and you offer us graphics and animation this bad? there not even an animation for shielding the ball! build a game on tactics, not buying a bunch of star players. and after all these years youve still not sorted training out lol, this is where teams build there style of play!! wow its good game but it very bad too!",287.2
"tl;dr - worst game in the series, bar none. what an fing disgrace. actual review - many game companies fall into the habit of getting caught up in the new features each iteration of their game come out with, while neglecting the problems inherent in the core game itself. we get it, its hard to sell a game to new customers if the biggest thing you can advertise is we toyed with the balancing all year! or we sorted out all the issues with the code!. fm unfortunatly has fallen into just that trap. anyone who has played the past several years of fm can tell you that while many new features have been added, they have by and large slapped onto a  foundation of code that struggled under the weight of a match engine it could not adequately support. watching your 30 million pound striker send a suicide mans backpass to the keeper from an attacking postion, wingers shooting at impossible angles on goals, keepers booting the ball off their own players and into the goal... and so on. any person with a shred of computer programming literacy could tell you that what si needed to do was go back to square one. instead, si made the mind numbingly awful decission to slap a brand new, considerably more complicated match engine, on top of their  code, and had the gall to advertise it as a completely new product. low and behold, you have one of the worst footy simulators to have graced this earth. it colapses under it own weight with comical regularity (just watch your players freeze on the pitch for no reason, like someone turned the power off.). no patch is gonna be able to polish this turd. id suggest buying an older, more stable version if you have to have your fix, but then youd be supporting these crooks.",486.7
"applies only for the linux port of fm2015 -------------------------------- i really loved football manager series. i am not going to expalin what they are or how to play them. i am really happy they tried to bring it to linux. but they have failed. the game freezes constantly. sometimes when you click continue, sometimes when you try to offer a contract to someone. when it freezes, there is no solution - you have to kill the process. crashing/freezing like this 3 or more times per game week is simply unacceptable and completely ruined gameplay for me. the freezing issue is quite common on their forums, but there is no constructive response whatsoever. i am disappointed with the linux port of the game and dont recommend anyone buying into frustrations like this. --------------- ubuntu 14.04, most popular distribution, with a good radeon driver on which everything seems to run just fine.",171.5
"its another year and another football manager game. i will play it for countless hours again because i am addicted to this sort of game and i play fm because frankly, there is no alternative. does this mean i will either recommend it or give it a good review? once again, not this year. the lack of ability in si to actually listen to the reviews of its customers is just awful. this is a company that has been excellent in the past at implementing user ideas. in the past few season such bugs as far too many injuries (they argue there are fewer than real life, blah, blah) and goal keepers who just let the ball in after catching it have been glaring issues, just to name two examples but i could go on like this for hours with things they just choose to ignore or tell us are not issues at all. the new user interface is just trash, especially the tactics screen and this does not seem to be getting addressed despite cries from the user base, once again. i dont really need to write a long list of things wrong with this game, just quickly browsing the review section here will show you what is sorely missing and what is over looked. i want to love fm again, but it looks like they are just making too much money and only listening the fan boys on their main forums to care about the user base anymore.",526.4
"do not buy this game!! check my games list, you will see that i once loved fm games, not anymore and never again will i buy one. this is the type of unfinished game that steam need to ban from being sold. certain key components dont even work at all, a small example is that there are no penalties from handballs right now. the game fails in every way it could, the me is a poor imitation of a crossing and set pieces simulator not a football simulator. it is worse than the last three years versions upon release and i can assure you that they all had bugs and issues, not this many or this bad. if you really need more just go to the forums and read, not many that will claim this game is anywhere near in a playable state, maybe in 7-8 months from the time i write this si will have released a patch that makes it something like a game. oh if that wasnt enough beware, si and sega are not co-operating and are in fact sending customers with issues back and forth between them. (not me, but check forum if you care) also be aware that si are deleting the vast majority of negative posts, claiming it will affect the way our customers play the game. which is of course true, they wouldnt play it because they would know whats wrong with it.",36.5
"time for yet another fm, and instead of the usual praise to the sky; i find myself struggling for words. i played as fc copenhagen, within a month i had 8(!) first/key team members out with injuries - and not just the common cold, mind you - no, oh no. one with a broken ankel, two with damaged tendrons, a broken foot etc. the shortest injury was 3(!!!!) months - i feel like im running a community hospital rather than a football club. anyways, we recover and start winning some matches - except... we dont. for some odd reason it seems like you can dominate a match, to the point where even the opponents fans are rooting for you, and yet they still pull a comeback at the end. draws galore. 1 shot, 1 kill, so to speak. but heck, lets review some of the positives as well... great, realistic scouting system. good layout. aaaaand. yup. id recommend you wait purchasing this game until another update has come out. do it for you own sake, and for ours - the unfortunate souls that purchased this game in good faith that it would be the high standard the game usually is. let them feel the heat, so they can fix this asap.",513.0
"instead of getting the core of the game right: tactics, match engine, we get yet another load of new press interactions that nobody cares about and even more dumb talks with players and teams. sure you can get your assistants to do it but some players actually likes talkes to press and staff as long as its not repetitive and actually has an impact? nevertheless the real problem is with the match engine: results like 3 to 5 or 4 to 4 are common, the goalkeeper stays on his line for every cross and the movements the players make in the engine are laughable. the crowd looks like a bunch of inflatable dolls in the stand and just like previous x versions there is hardly any atmosphere in terms of sound from the crowds (where have the good old sack the boss chants gone, or why cant the crowd whistle or boo at the ref?) for that crippled engine we get the amazing gift of hot dog stands outside the stadium? wow, thanks for getting your priorities straight, si. last time i bought the game (since 98/99). time for a decent competitor.",192.8
"playing fm since 2000/2001. the series is my favourite of all time across all genres. the last 3 years however the game has been getting gradually more of an exercise in ambigious tedium than the magical gaming experience it used to be. i appreciate the people at si need to change the game to justify the price tag, i just dont know why they insist on breaking the game to do so. i can only hope the truly awful new features (im looking at you tactics screen) will be patched. they wont though, way too much pride. god what ive give for the return of slide bars. id also love some explanation, no matter how vague, for how the 10 million different variables that can affect the outcome of a match actually work. im certain si changed the way things like tempo work in game for different tactics without mentioning it or eve updating the tips bar. poor form. moreover, having touchline shouts, pressers, player interaction, 3 teamtalks its too much, and its for the most part very very boring. as for the me just like with fm14 and 13 at release, its broken. you would think after 2 poor mes at release si would have the integrity and self respect to deliver this year... i remember when si used to release games that didnt need a single patch. i think the monopoly si have over the genre has made them complacent, its only natural i suppose. do not purchase until they have fixed the game. maybe in mid march 2 months before the season ends :d",299.5
"just up-graded from 2013 (i only do it every 2 years to avoid disapointment lol) and this is the buggiest version to date graphics glitches left, right and centre and very few new exiting features, plust the engine needs sorting out its even worse than the original unpatched version of 2013 and that was poor enough with at least 1 owngoal a match. as it stands with out some heavy patching from si this game is almost unplayable! as for a recommendation all i have to say is dont buy this game yet, wait for some updates to be released.",131.6
"match engine is very poor. spend so much time working to build a decent squad and to develop tactics that work only for it to be entirely spoiled by the way this game treats me. too many injuries, too many goals, morale crumbles at the slightest thing, players do not follow instructions, goalkeepers are pitiful, poor animations, players are overly stroppy, long saving times. this is a video game - game being the operative word. i dont really care if this is as realistic as it gets. id sacrifice realism if the game was fun, but its not. fm 2014 was poor too. im still hoping a patch will deal with some if not all of these issues, but part of me knows it wont. goodbye 20 years of loyalty to si. these things are too expensive for me to spend money on if theyre not enjoyable.",404.7
