% Generated on Thursday, 14. May 2015 05:04PM
% This ARFF file was generated with review data from the following game(s): ['Arma 3']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"arma 3 is an improvement over the previous ones, but the game still suffers from clunky interface and lackluster ai. for an arma fan like myself, though, it is the best arma so far.",1
"bought it in alpha for wasteland after enjoying it so much in arma 2. not too much was added when it went through beta and final release. now with zeus, battle royale and a lot of other addons and mods coming it, there is too many reasons to list to buy and play this game. ive easily sunken another good day off from work just playing zeus with my clan.",4
"im not into the futuristic crap they brought into this franchise. luckily the arma community have some awesome mods - check out armaholic",5
"arma 3 is a big fail.not in alpha state but definitely not completed. game changes from update to update,also addons stop working with new version.you might say its normal because new version has fixed the bugs.wrong again.new version go on conflict with addons that worked very well from day 1,as for bugs...stil not solved,very often fps drops and connection issues between client and server. gameplay...lame...for 2015 arma 2 was a big hit. arma 3 is another version on arma 2 with new tweaks. annoying dlc screen while flying in vehicles from dlc.",9
"kerry: lieutenant, do you read me over? james: go ahead corporal kerry: i could really use, some help i got nothing here james: thought you yanks coulndt get enough freedom? kerry: we respect lieutenant, f*ck you! 69/10",1
"what more to say? coming back to this from a few years away and its great to see how its developed. being a fan from arma, arma 2 and even vbs 2, you cant go wrong with checking this out. but there are conditions: you have to love the milsim side of life, you can do anything. you have to persevere also. you will die. again and again... this game will suck you in. big time....",3
"ok first off holy crap this game is sweet. if you cant pay the normal 60 bucks wait till it goes for les( i got mine for 30 i think) i would call it a military simulation with a shooter twist. a great game thats lots of fun. you can be seriouse and treat it like its real life or just  around like i do most of the time and blow stuff up. if you liked dayz in arma 2 there is breaking point wich i play and that is pretty good but can get a little frustrating. but over all 10/10 would buy again. seriously if your pc can handle it get it.",4
"watch the showcases, (theyre old but you should be able to find them) theyre about 14 minutes long and show off lots of cool features, including disguises and much more. this game is not finished and needs to be updated still.",4
"kind of glitchy but a load of fun and an insane amount of depth. if you are a fan of games with a good amount of tacticality, this is a must buy even at its pricepoint.",1
"joined a match, jumped out of an airplane to darude - sandstorm. 10/10",1
"the teamwork is great if you get the right people. a little sad how it performs with the amd cpus. +",2
"this game is one of the best simulators i have ever played. it contains many improvements to the engine, graphics, and controls since arma 2. this game has been made better by the steam workshop to host a ton of downloadable senarios. i would recommend you play this game with friends, or some sort of community. some negatives of this game, is its performance, i requires a powerful computer to play, even then there is some sort of performace drop. also there was a lack of single player content, but there is now some being released. im looking forward to the future of this game as it gains popularity, and plus with all the cool expansions arma 2 had, there will probably be new content in the future. one more thing is that there is a huge difficulty spike because its a simulator. this is no call of duty or battle field, and requires alot of time to get used to. if you never had any experience with arma games and you are not shure if you should get arma 3, buy arma 2 + oa, it has been on sale recently for really cheap.",1
"i have always been a fan of the arma series because its really different than the other shooters. there are so many different ways to play this game, i spend hours scripting and fooling around in the editor for my own enjoyment. i dont play multiplayer that much but its still a great experience when i get to it. this game is very heavily gpu and cpu dependant so i wouldnt reccomend this to people who have a low-mid range gaming pc. mid ranges might still be able to run it but you will get lots of fps drops below 30 fps. this game is really fun and easy to get into. i am proud of the work that bohemia interactive is doing and continue to be a fan of their titles. i rate this game a 9.5/10.",2
"its not a good game for newbies. no, its not... i use to sit at a place and watch the sunset. i have no idea how to actually shoot, drive and complete missions. its like my personal sunset simulator. and its damn beautiful. 10/10",10
"arma 3 is a really good game. if you feel like a real army game, go and play arma, good tactics etc makes your team win. for the roleplayers out here, they are also at the right addres, arma has an rp mod called altis life this is fantastic for people who love rp with good graphics. i really recommend this game for actually every player who loves an army game and for people who seek real roleplay",4
"arma 3 is an amzing game. if you owned arma 2 and experienced terrible fps, then this is the game for you. they amazingly increased the fps in the game, and it has amazing graphics.",1
"sorry to say that but the game is running on a low frames and i just cant play the game normally ,its lagging and i cant kill anyone . ill not recommend this game from a minimum specs pc cause it will lag as ...",1
"absolute crap in recent updates have always been a loyal arma player but optimization in the last few updates have made the game unplayable on mid-high range systems you need a beast of a rig to run this game now i stronlgy reccommend for the averge player dont waste your money on this anymore",2
"awesome game!!! i play this after a hard day at work. recommended",2
"worst game ive ever played. bare bones in terms of content. the campaign is utterly stupid. super marksman enemy ai from the first arma game is back. perfoms like crap. campaign missions are awful. worst game in the entire series not worth the price of 59.99 not even worth the price of the early alpha that i paid for if i could get a refund for this garbage i would. this is the last arma game and the last game from bis i will ever purchase.",1
"i bouth this game in alpha for 20 euro, now its for 45 euro. enjoy",1
"this game is great but i expect more thoe, but anyways its a great game. i havent tried the other mods yet and this game is still great. so this game has a lot of content. also its sad that it the dlcs are a bit overpriced for the content it offers. also one of the things i dont like about arma 3 is that they didnt use real names of weapons and vehicles. even has fake guys like the mx rifles. considering this to be a military sim, i expect real weapons and vehicles.",4
"its an ok game best part of the game is obviously its multiplayer but with the constant connection problems it can be a drag and its not realy worth a buy considering other games do mp better!",1
"great game id pay $100 for this! its a must buy if you like real life type shooters.",5
"great game! i always loved the arma series it begon with ofp first arma and the graphics of this game are stunning! but i dont like the future vehicles ect but its awsome with mods :d",4
"sandbox multiplayer is awesome. dont even bother going to in-game gun stores. grab whatever rifle and equipment you can and make use. i found a submachine pistol and a silencer, a smoke grenade and some glow sticks. left my car running on a busy road at night with the lights on and watched it. surrounded it with glow sticks. killed three people and came away with a decent back pack, rifle and grenade launcher and a ghillie suit. with space to pack my handy little pdw. dont get angry when you get shot after hunting down the perfect kit and have to hike for miles and miles again. downside @ 29/11/14 is there are a lot of hackers at present and its ruining the fun. this game still gets 5 out of 5 stars",2
"if you like long awkward clunky yet somehow amazingly fun combat and keybinding that makes you want to shove a potato in your grandmas windpipe then yes this is a good game...... i guess 10/10 would play again",1
"this game can appeal to every type of player due to its verstility and ability to be changed. if someone wants action they can make a map restricting players ar a.i. to that town for close quarter engagements. if someone wants to play a realsim server and wait for hq to get a mission, and assign it to squads after the recon team has gone to a nearby hill and marked enemy locations, you can. arma 3 is the most versatile game where anyone can find what they want to play. armas engine can handle a lot of people per server and still runs the game really well despite there being 40+ people shooting at each other.",1
"got it just for altis life and found there was much more to it!",3
"i do reccomend this game, as far as military sims go there is none finer. the mod support is wonderfull essentially turning one game into several possabilities.( altis life, breaking point, epoch, and the regular wasteland) not to mention the hundreds upon hundreds of single player mods. the graphics are stunning when compared to arma 2 as the improvemts to the ui and over all controll of character and game elements make it much smoother than its predicessor. on the negative side are bohemias ugly dlc content. the karts are cool and for the now price of 1.99$ sure why not. however the newest installment of arma3 choppers is a cash grab ripoff, allow me to explain. this dlc offers 2 choppers that were already in game, that just couldnt be piloted. essentially they added a little scripting tweak to allow players to use them some other supportive bells and whistles to go along with them and stuck it with a 16$ price tag....i cringe to see what the upcoming marksman dlc offers compared to the price. buy the game, well worth the money...however i would hold off on purchasing dlc untill the price drops, which it will inevitably do.",3
