% Generated on Sunday, 10. May 2015 03:49AM
% This ARFF file was generated with review data from the following game(s): ['Counter Strike']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"basically my childhood. i spent hours and hours late into the night playing this. very fun competitive fps with great maps and great gameplay. 10/10 ps. hit me up if you want to play this.",1
"its like cs:go....but losing isnt even that bad in this one. which makes it better. no ranks which is also nice",1
"i must have put 200 hours in this game, oh man those were the days. i miss you 1.3, lmao.",1
"i play this game for fun. my 1st favorite game on steam! oldschool fun boy :) ^^",1
"even though it has the worst graphics, its still very strategic and fun!",1
"old. dont play it unless you want to get stuck in a door and let it sing the song of its ing people!!!!",1
"just buy this  masterpiece and love every second of it.",1
"upgraded to mac os x 10.9 and it broke it.. the mouse dsnt work anymore. ive tried uninstalling and reinstalling :(",1
"the original hard core multiplayer shooter, still played to this day, steep learning curve but nothin can replace the classics, simple, quick paced and unforgiving, just what youd expect from the cs series. 9/10",1
"hey steam community... this is pawan, im facing some problem to play cs, could u help me out ? when i go to start playing cs online, the vac anti cheat is not leaving me to play, and do no why, the vac anti cheat has bean banned me, now i couldnt enter into cs. plz help me out of this... w8ing fr yr replay.!!",1
"nice game, most enjoyed with all friends and barbique :d",2
"i love this game.....this game having best performence in online.....cant stop playing when i start it........:)",2
"the good old shooter that was one of the biggest things that started nowadays fps ..... great game if you know how to play it",1
"counter strike    first person shooter game(fps)   mods : public , deathrun , jailbreak , furien , zombie , hidenseek , hidenseek blocks.        .     .     steam      server gather         non steam      48.     gather(servers grnet)      mirc. all rights reserved.",3
"what is there to say.. its counter strike, the best shooter ive ever played, forged cod, cs forever.",1
"wow.. its amazing.. i quit this game year a go.. but now im again addicted o that!!",3
"by far the best fps i played. to many hours lost to this game as a kid.",1
"this game , is the best you can get. lets us to make friends , and makes brotherhood between us <3 but the recent  hackers which have joined has made it hard and annoying. but this game will live forever. <3",1
"the original game that started it all. innovative, challenging, and teambased multiplayer. it takes years to master, but once you do, its an amazing feeling. 9/10",1
"well, this game is kinda old school, but still gold, like this, im playing it like from 2009, but im still likeing it.",2
"best fps ever.the best counter strike game(following go on 2nd place).the hardest tactical fps out there where the guns have actual recoil and you need real teamplay and cooperation to win",1
"spent many years playing this game and it was amazing. console commands and the simplistic gameplay makes it a great game. mods such as wc3, uwc3, shero make the game half fps half rpg which i loved :). however, like most fps, hackers ruin the game and is probably the main reason for the low population aside from the repetitiveness.",1
"still addictive to play and very fun! with lots of servers to still play in.",2
"my first game ever purchased, it will be in my life forever :)))))",1
"if you join the army or some special force, you have to buy your own gear. the heck?",1
"absolutely speechless, is what i am when i think of the counter-strike series. look at this game, it was one of the most detailed fpss for its time and it still has it. no game series has been able to remake css addictiveness or its smooth gameplay. this game is one of the few titles that still requires skill, every weapon is earned and every weapon requires its own type of mastery. a truly great title that me and many others will return to play for a very long time.",1
"i have a lot hours on non-steam version. counter strike forever!",1
"i wish i could give a comprehensive review on this classic shooter, but im not allowed to play it anymore. i have 1.6 hours played.",1
"why did i got vac ban for not having cs: go ? u baned me for cheating in cs: go + i dont haw cs:go!!! that lame steam ... just taking money from kids, and thats all .",1
"one of the best fps games ever. still play it till this day never gets old.",2
"i just cant stop playing that game it controls my mind",1
"this game teaches people why graphics dont matter.",2
"yep its the original countre strike, be a terrorist or a counter terrorist and shoot points to score, beautiful smooth gameplay, much better than that crappy source engine updates, come up with a good spraypaint logo to reach the bonnus round, i like the surf levels as well, valve when will you finally listen to the community and make surfing an actual game mode? it is a very respectful game for its age and i give it a good score in the end.",1
"its the most ultimate game a person can ever play !!! love everything about it !!!",1
"best oldschool game ever, and still playable... but only one think is frustrating me is cheaters...",2
"i recommend this game because the great gift pile asked me to. also because its still the best ing shooter out there. thats right,  call of duty,  battlefied,  halo. 1.6 peoples.",1
"cs 1.5 or 1.6 was the birth place for me, to be a pc gamer - 10/10 !!",1
"most fun ive ever had playing an fps game on pc. so much better than call of duty, and probably has better graphics too.",1
"best call of duty community simulator with old outdated graphics so far.",1
"the game may be old, but it still gives hours of fun.",2
"nothing like the good old days with the classic of the classics, counter strike has been such a huge game for me, and also for the world as one of the most played multiplayer games on the internet, i remember like if it was yesterday the old days when i was a children playing lan games on the computer class with my classmates, and not forgetting when i learned to play it with the help of my older brother, it is such a nostalgic game and one of the best ive owned in my life. totally recommended to get back to the old days",1
"oh counter-strike... if you dont have this game then where have you been the last 15 years -_- (also its my personal favorite fps)",1
"nu imi mai merge counter strike cs 1.6 intru in joc si imi apare half live ma poate ajuta cineva?",5
"15 years on and this is still the best first person shooter (fps) game in the history of gaming which formed the base for all the new fps games developed so far!",2
"its a very good game for relaxation and even for joy... the best part of it is defending others!",1
"cannot emphasise on how great this game is. its ridiculously fun with friends, mods and such. a tad old, but its still functional. 9/10.",1
"best game ever. counter strike of all counter strikes.",1
"ive played this game since i was around 6 years old back in 2002 and it still makes me laugh and have fun whenever i launch it to this very day. over 12 years of endless entertainment. no other game on this planet has given me more entertainment and enjoyment than counter-strike 1.6 has and i doubt no game ever will. reason ive only got 38 hours here is because i no longer use the account i originally played cs 1.6 on. func_vehicle is what makes this counter strike game the best out of all the others in the franchise.",3
"pew pew hip fire headshot best competitive fps ever made bar none 11/10",1
"after you play counter-strike:global offensive you cannot play this game any more.is garbage beside counter-strike:global offensive.dont buy this game.it was great game at is time but now is too old.buy counter-strike:global offensive.",1
"awesome game. if you have a lot of free time cs:go is definetly the best fps to try. i recommend this game!",1
"hellio guys plz help me when i am run counter strike it works fine i see ct then the black screen shows up and half life ahs stopped working :/ plz help me",1
"great game!! nice graphics!! online servers are good... sometimes non-steam cheaters appears but if the server has admin, should be fine... nice game for people who got low graphics in the computer",1
"my first game ever......:`( good memories.... it helps you to play csgo! 100000/100",3
"best game of all times. hope it will have match making system like cs:go with a bit better graphics.",1
"the world will never forget this game! i am really proud of it!",1
"the best fps games i have ever played. it has over 15 years old but even that it still keeps the level of gameplay. a lot of modes and free dlcs made by players makes this game even more amazing. i dont regret hours spend on playing this one.",4
"this game is a classic and will never die in my mind. i have not purchased the new global offensive yet because i am still stuck reliving my glory days on this wonderfully made fps. happy hunting!",1
"the best fps created. it is because of this game that the fps was revolutionized, be it in the competitive scene and the casual scene. nothing can compare to the greatness of this game.",1
"best game you can get on steam, but it was better on won.",1
"i recommend this game if you play with your friends or at least on only steam servers.",1
"every counter-strike is a must buy. not only are they all really fun, but it is really interesting to see the progression of them. 1.6 is the start of the series, and i thoroughly recommend looking up and downloading the original beta maps from 1999 like docks as they were originally part of the game (although most of them removed due to unfair map design [except docks]). cs 1.6 is a fun game, but if you arent interested in playing older games then i wouldnt bother, source and global offensive are newer and more replay-friendly games.",1
"one of the best fps in the early 2000s. this game just brings back nostalgia and memories. a must have game for all players.",1
"cs 1.6 one of the best and addictive fps games ever made",1
"its like cs:go....but losing isnt even that bad in this one. which makes it better. no ranks which is also nice",1
"i am not a pro but yea 10 years ago i bought it and i <3 d it so much , i still do",1
"this game sucks so much it makes cod look beast. screw you gaben you fat piece of sh*t",1
"this is the best counter-strike ever, ruined my life. 5 stars <3",4
"one of the most played steam games, even now it still is. great game to pick up if you own csgo, to see where it all started.",1
"the game is very fun for its age and i have had a lot of fun playing this. this game means a lot to me and to some of my friends. this game was my first ever multiplayer game when i started playing it in 2007, when i didnt have steam and had to pirate it, sadly. im fairly sad that it is dying, but it had a good run. 10/10",1
"probably would be better if the playerbase was actually ing english",1
"this game as its released a long time ago, but it still carries the compitive sense, unlike the new versions of counter strike (source and go), playing this game is fun and i think it would remain as a favourite game as much as i play anymore games.",1
"great game, old but gold. i dont get bored at all",1
"ive spend bajilion hours on this one. best game from the series imo. remember its not all about the graphics - gameplay is what matters. 8/10",1
"this is still the ultimate fps in terms of skill and balance. i have yet to find another game that has come close to the level of skill required to become a professional.",1
"best game i ever played in my life! recommend this game!!!",2
"a still alive first-person shooter, since 2000. the game that changed everything, along with half-life. still, the best first-person for thousands. and you know why? because this games focus isnt on graphics. its for having fun with your friends, or, even aim for world turnaments. all proffesional teams, such as fnatic, navi, sk, still play counter-strike, doesnt matter if it is 1.6, source or global offensive. highly recommend this game.",4
"this is my fav game and i like it so much .. its so good .. u should try it",3
"15 year old game @ $9.99 really how gready can you get valve.",1
"launched the game, joined a random server , laughed about 43 minutes because of the graphics and animations, got rekt by some fgts , insulted them and their families , closed the game and laughed again because i acted ridiclous , opened the game again, rejoined the server, insulted them again , closed the game another time and laughed enough to cry a bit. one of the best gaming experiences i ever had. 9.9999999999999999999999999999999999999999999999/10 would get eye cancer because of the graphics again. its not a full 10 because there are no 499 knifes.",1
"i recommend this game because is the besssssst game evaaaaa|",1
"a friend of mine just gave me his xbox, with a copy of this game. i was happy!",1
"old but gold.... one of my favorite games! love it..",2
"very old game, but is still one of the best fps games ever. this is accepted as the best counter strike ever and i can agree. the mechanics feel great and the weapons are all very fun to use. rating 10/10 chris",1
"my fav. game. i havent got bored playing this game and also became a skilled player :).",1
"all-time classic game. will always be my number one counter strike version.",1
"revolutionary new game for 2012, better graphics than cod",1
"theres nothing about counter-strike 1.6 that hasnt be said already, the game will always remain flawless in many gamers eyes throughout the world. tactiacl shooter at its finest, cs 1.6 offers not only perfectly balanced matches and good maps but intense sneaking, real quick scoping, amazing weaponry, strategies and so much more! it is the easiest game to just pick up and play, and it would totaly fit in things any human beings should try atleast once. list.",3
"amazing game . totaly adictive and loads of fun . have been playing from quite long now. never did i get bored of playing counter strike 1.6. :)",5
"counterstrike is one of the best first person shooter games that came out and is still going strong after all these years",1
"it truly was one of the best first person shooter games at the time. i still play it to me graphics dont matter, the playing of the game matters.",1
"play the worlds number 1 online action game. engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. ally with teammates to complete strategic missions. take out enemy sites. rescue hostages. your role affects your teams success. your teams success affects your role.",2
"this brings me back to the old days !! love it. 10/10",1
"this game would be great, if hit registration wasnt that bad.",1
"i could find more honour in fighting an enraged bear whilst simultaneously eating the  of my cheating ex. buying bullets was a good idea 15 years ago, why are you still playing this game? go get shot in real life and die if you enjoy thinking youre that hardcore. - my review in the style of the baiting you will learn to love when you play this game.",1
"after 14 years of existence, this legendary game is still in the steam top 10 most played multiplayers in the world. its probably the best fps shooter ever made. cs 1.6 4ever",2
"this game is awesome!!!!!! just got it last night and brings back soo many good memories, i recommend it to everyone!!!!!! =p",1
"it was my favorite game, but since steam tried so much to screw this game with all that useless updates that ruied it...and it dosent work on windows 8, plus they got out d3d the only option that you had if you have windows 8, now...its a piece of crap, if we are talking about cs 1.6 when steam gived a **** about it, then its a 10/10 but now its just a 5/10 or 4/10 rip cs 1.6 thanks a lot steam! :(",1
"one of the alltime classics. the only reason we have steam. still a damn fine game. looks like  nowadays but still hella fun. recommended.",1
"sweet game, i only play oe x box, pc way better, recommened by me",1
"doesnt need no intro.. i mean come on, this is cs1.6. the godfather of all competetive tactical shooters! best fps to date. _o_",1
"screen problems.. it is sucking up.. cant put back the screen in original way after it gotten wider.. no opption at all.",1
"if you want to learn spanish,russian,swedish language play this game.",1
"almost 15 years old, 11th most played steam game in 2015. should already tell something.",1
"i cannot play because this  the game waas actived with a product code that is vailid only in a specifig geographic region. since you are not currently in that region, counter strike is not avaible to play :( pls help meeee i already was disable beta updates but nothing :(",1
"excellent game, thoroughly enjoyed it back in the day.",1
"started playing this game when i was 8 years old ( 2002 ). bravo counter-strike!",4
"dont buy this game .... download .... anyway this game is ok . :d",1
"awsomest and the most successful game created by valve....got addicted to it never mind...dont read dis ...dis was jst to complete steam task :3",1
"instead of writing a long, drawn out, tl;dr review, ill just give a summary of what that review would be: best game ever.",2
"excellent game one never gets bored of it addicted xd b|",1
"shoots at guy 1 health i die cs unistalled installs farming simulator lives life as a farmer the end",1
"cs is awesome, its a game that only requieres skill and not ranks and that crap.",2
"played this game since i was in hight school till now (cs 1.3). 1.6 is by far one of the best online fps competitive game of all time and wont disappoint.",3
"awesome game! never had so much fun with any other game!",1
"counter strike: source is better... but i like the cover for this one better.....",1
"counter strike is game where i can learn only one thing that if u have a good aim on the head of ur enemy than u can kill them whatever u have latency but not more than 150 :d",1
"if you havent played it yet your not really a gamer!",1
"an old classic. always enjoyed playing this for no other reason than its fun.",1
"it used to be a superb game. now its just too old to stand, simple as that. when i was young i had tons of fun with it though. 8/10",1
"one of the best cs games, brings so many good memories :)",1
"of course, very good game, only writing this to increase amount of positive reviews.",2
"that is an awsome game, i have played it for five years and i enjoyed every moment!!! highly recommended.",5
"best game of all times. hope it will have match making system like cs:go with a bit better graphics.",1
"really good game.. its old but it is still good and funny.. mostly i enjoy playing modes like jailbreak/furien mode. i recomend this game.",3
"buy valve complete pack 71.99euro i buy or counter strike global offenzive",1
"the stripped-down fps that delivers raw competition and insane replayability. my childhood wouldnt be the same without this game. too bad im old now. i should have kept up.",1
"epic and old-school shooter , the best in my opinion.",1
"im a player fps games i cant find anouther game fps like counter-strike 1.6 or globale offansive i think this is my best game i play it in my life i wish can find anouther game bcz the cheaters are stuped when he use that  stop using cheat plz and thank you",1
"just classic, for me it is better than other cs games.",2
"better than cs:s but the community is much more spread out through servers so its rare to see a full server. in cs:s theres a lot of dead servers but also a lot of full servers. pretty kick  game.",2
"probably this game doesnt need any introduction, old and good, still played by a large number of gamers, on of the best online shooter that was created. still remember my first days finding a good version of the game and playing with bots.",1
"what can i say about it ? it was my first love, we spent countless together... this game is for sure the best game of all the time!!!! its been 13 years since the first headshot, and still got the same excitation!!!!!",1
"badass game of the year 1999. 9/10 + weapons + mods (ctf, dm...) - community (cheaters, cheaters everywhere)",1
"ive been playing the original cs for years, and its still one of my favorite multiplayergames.",1
"it seems i am now a legend after playing this game...",1
"best game ever created! i may not play anymore, but this game will always have a place in my heart...",1
"dont buy this game .... download .... anyway this game is ok . :d",1
"a classic from the heyday of quake, warcraft 3, and brood wars. the game that gave e-sports a face and a true legend in its own right. still rocking 13 years later with one of the biggest communities on steam. the one, the only, counnnnnnterrr-strikkkkkkkeeeeee!",1
"best game i ever played in my life! recommend this game!!!",2
"was good... now... now its full of hackers, non steam players with toaster computers that cant speak basic english, and bot servers.",1
"the game that started it all! cs 1.6 will always be my favourite multiplayer game. this game has been played by millions of gamers and it still holds a special place in our hearts!",1
"the one, the original: call of duty. do you suffer from irregularity? borderlands will fix that for you. this game, called garrys mode, will blow your  through your mouth and make you suck it. if youre already not good, itll turn you into a in dinosaur. the possibilities are limitless. now youre thinking with portals, jerk.",1
"the grandfather of all modern first person shooters! this is the game where i learned the fundamentals to being a good team player.",1
"cant beat a classic... unless you just kill it with a bunch of bot servers. still the king of the online fps. for the record cs1.4 on the won id system (way before steamids) was the best version.",1
"its the original cs. what could be wrong with it?",1
"obviously the best game ever made. was, is, and will be the best.",1
"it is a game that has been played before, is still played now and it will be played in the future !",1
"play the worlds number 1 online action game. engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. ally with teammates to complete strategic missions. take out enemy sites. rescue hostages. your role affects your teams success. your teams success affects your role.",3
"its a great game, thats all i can say. but honestly, how much you actually enjoy this game depends on where you live. good servers are very scarce on where i live..",1
"epic game better than all other fps games exept csgo but if you dont care about graphics and love the competitive scene then play this game :)",1
"counter strike one of the best multiplayer first person shooters out there even though it came out 14 years ago it still has outstanding graphics a good level design and alright player models i would recomend this game to anyone with a spirit to play oldschool shooters",1
"the sniper scope looks exactly what it looks like in real life",1
"counter-strike- ,        .    ,    free2play c   .  , ,  ,    *   counter-strike",1
"doesnt matter how old it is .. still a very good n entertaining game...",1
"great game. a lot of people still playing, full/modded servers. its easy to get into, and its cheap",1
"counter strike is one of the best first person shooter in the whole world, its so funny to play hns and other gamemodes! yes i recommend this awesome game! 10/10 little cats!",1
"umm i guess this game is good? what to expect is trolls tryhards and bads and umm..nope that sums up all the people who play this 11 + year old game.",5
"this is the game that started a genre, every shooter since cs has copied its competitive team-based style of play. its the original to a legacy, and many people still play it to this day. it has older graphics for people who might not have an expensive computer, plenty of dedicated servers, and the core gameplay that is known worldwide is right here where it belongs. but obviously you know this already unless youve been spending your life playing on xbox and playstation. right?",1
"this game is very old,but it is still one of the most enjoyable and played games.i red in a comment that,for gamers,the graphics arent important,but the gameplay is.when we talk about counter-strike 1.6,it is very true.",1
"this game is simply great and skill based the problem though is that most people who still play it are super experts litterly shooting through walls and kiling you when you spawn also the population is not to high but still there for the price i think its worth a buy",1
"a verry good and old game . actually is verry populated , considering the age .",2
"worst game ever rip off of call of duty and has really crappy graphics and weres batman in the game like seriously screw all yall people who played this game 0/10 will not recommend",1
"the mother of all fpss around. definitely recommended.",3
"the game that i love the most no matter how old it gets....",1
"its a classic, simple is that. highly recommened for people who like fps",1
"awsome game too old :d it have nice settings :d and more players who loved this game :d 10+",1
"you should know this... it is the game to change all games of its type. it will be a part of my gaming forever!",1
"this game really proves that graphic does not matter but gameplay does...cs 1.6 <3",3
"oh yes this is the best game to play with friends!!",1
"oh! the classic counter-strike... the first and best fps ive played. it just brings sooo many memories playing with friends, so many laughs, etc.. if youve never played cs, please, just quit life!",1
"best online played game no one can beat this game :d",1
"after not playing this game for almost a decade, honestly can say it is just as fun!",1
"i played this for 2 hours back when i was 15 or something. i sucked at it and people yelled at me. i think if i had spoke on the in-game vent thing they would have treated me differently, but im no .",1
"great game, tho graphics are not nowadays quality because its been made in 1999.",1
"you know buddy i played the game, it was so confusing i dident have a clue what to do, i had a gun in my hand for some reason and others too. i just ran for some minutes and was too afraid my pc was gonna die of overheat of how hard it had to work for those graphics so i quit the game. this was a 15 min of playtime with half of the time loading. 0/10 would never play again. it all was a joke sorry. xd",1
"tactical and strategic game and a lot of team work :) nice game...... i love to play cs 1.6 every time i open steam. n1 :d",1
"one of the best shooters ever made. no levels, no accessories for your guns, no cheat guns... just you and your skill. lots of hours spent in this game and so much fun i have had with it. 8.5/10 ----------------------------------------------------------------------------------------------------- uno de los mejores shooters de la historia. no hay niveles, ni accesorios, ni armas chetadas... solo t y tu habilidad. muchas horas jugadas en este juego y me he divertido mucho con l. 8.5/10",1
"this game is a proof that games do not need to have good graphics for it to be fun & addictive. its one of the games which gives you the oppurtunity to go online & have fun with your friends :d",5
"it truly was one of the best first person shooter games at the time. i still play it to me graphics dont matter, the playing of the game matters.",1
"ahh cs...for many of us born in the 90s, this game took our fps virginity...writing a negative review about this game is like writing a negative review about sex...im sorry if you had such a tragic experience...",1
"this is my favourite game and also from my point of view the moust interesting shooter game ever made. is best to play it with friends or with other people to test your skills.",1
"great game! this game shows you how fps has evolved into one of the most popular game genres. this game is old, has not many multiplayer servers and has graphics that arent the best, but i assure you that you will have some fun with it. if yoiu are getting this game because yiu are looking for a good fps, buy counter strike: global offensive or even better counter strike: complete.",1
"its old and the graphics are outdated... but screw that! this is really fun to play, even though there are tons of pros",1
"as of 2015 i get a resolution problem loading any goldsource games i cant see any of the menu buttons. i have tried every fix i could find nothing works.",1
"arguably the best competitive fps so far, the skill ceiling is very high; however getting started is easy.",1
"very fun game, graphics are disappointing and just not nice, i personally live in israel, israel has a lot of multiplayer servers and their sons loads admit most enjoyable so it makes up for the graphics ... also has the option to fight against bots you can practice with it or simply pass the time, i wish there was such a nice single player. so in short, if you are looking for a game with many indians, multiplayer servers, easy and fun then this is the game for you!",1
"this game i got from my brother its fun to play and it has plenty of lag free servers.i recommend it!",1
"although i dont have nearly as many hours on this as go, its my favorite cs (besides 1.5 and below). the game is more tap-based. i feel like its more strategic than go. i wish the pro scene had not died out for this game.",1
"best game on the pc, game 13 years ! the audience of players still be numbered in the millions. the perfect game engine provides unlimited possibilities, a large number of modes (zombi, biohazard, surf, gungame, jump etc) make the game varied and exciting. only here you can with one clip to put entire opposing team, then plays the role of your skills playing shooters. the only game in which you can play for years and still have fun.",1
"this is my very first game that i played on steam, counter-strike. this game brings back good memories. very addicting. its probably the only game that people are playing today on that isnt running off from a source engine. if you never played counter-strike 1.6 before, try it out. its one of the best fps game of all time. if you dont like it, well, you didnt paid alot of money for it.......or did you?",1
"this game fun when i stuck in russian internet cafe in forest but now i live in glorious european i can play csgo!!!! ( only poor chinese and russia play this, sometimes a german))",1
"fun fps but there is a high learning curve. suprisingly fun after 15 years.",1
"the best online fps game. not as good as v1.5 though. but since 1.5 is no longer available, this will have to do.",1
"i think it`s the best of the counter-strike. graphics aren`t good but it`s not most important part of this game.",3
"it is one of the best fps games ever made. graphics does not matter, it is all about the gameplay :)",1
"a hell of a game :d (y) .. this game proves that graphics does not matter . 10/10",1
"this game just changed my life :) playing since 2002.",2
"probably my favorite to play . yes we get lots of hacks but... its too much fun to play . cs ftw.",5
"this is a must if you want to get better at cs go! cs series has improved so much over the years now :)",1
"i really like the game, but i couldnt find the stupid cake.",2
