% Generated on Thursday, 14. May 2015 05:04PM
% This ARFF file was generated with review data from the following game(s): ['Counter Strike Global Offensive']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"i love the new counter strike they update it so much good wok.",5
"cool game, best fps game of all time, latest version of counter strike.",1
"cs: go stands as a glowing reminder that quality game design is rewarded in longvity and variety. valve has not only updated the eshooter but has completely outclassed its contemporaries. this is counter-strike, whatever the format you choose to play it on, and there isnt a higher recommendation than that.",2
"great game, super fun and even better with friends",2
"so glad i purchased this game. 1.6 was my first fps game. this by far surpassed my next love for fps.",1
"yeah.... ive been trying to get this game from some time. when i got it i realised that there were skins released in this and discovered that there are knifes and the most expensive knife can go to 500$ so i finally thought to sell my kidney and get a cool knife so that i can show off and the time is not far when my 2nd kidney will also be missing. thats why i give it 5/5 . this game is 2 gud for a kidney , its worth to sell one for knife and skins.it is so interesting that all kind of people will add you up to trade and they are quite interesting",5
"this is a great game to pass time with. i personally am not great or even good but do have alot of fun. i think mechanics could be better, im sure anyone familiar with counter strike knows that the hit system may be alittle off. all in all, i greatly enjoy playing this game and do recommend it to anyone that likes a technical fps like cod2",6
"personaly i love this game and not just for the gameplay the selection of skins for your guns are just awesome i recommend it for anyone who likes 1st person shooter games.",5
"this game is a really nice first shooter game. i preffer it instead of call of duty and shooters like that as it is more skill based.",7
"great game, great camos good community. definitly recommended!",5
"if youre a better than average player or if get a lucky shot then be prepared to be called a hacker. 10/10.",5
"very nice game if you ever played the old school cs 1,5/1,6 its better than source but still has a lot of annoying elements. however, its very nice to be able to find matches using an ingame search function. be careful since a lot of the times you will be playing with russians who will ruin the game 90% of the time.",8
"this game doesnt need a recommendation. best format of cs yet.",1
"i swear im not bad at this game, its just everyone else is is a hacker...",2
"its like roulette; fun until it turns into russian.",2
"its counter strike, what review do you want? get it",1
"awsome game!really fun and time consuming :d.but a game that needs time to get better at.",5
"community not as great as 1.6 but still not too bad",4
"its difficult to put my finger on it, but i cant stop playing this game, its well made, i honestly think its that simple!",2
"very interesting and quite challenging game, i recommend this game for people with good accuracy in fps games.",3
"hands down the best competitive fps on the market right now. the community is great and while it takes a while to get the aiming down, i guarantee it will help you in every fps you play. 10/10",4
"one of the best competitive shooters out there.go and buy it,now.",3
"this game has more bugs than your mother does under her pingabell if you want a dirty game to lag like your mothers bugs this is the game for you!",4
"this game is a very fast paced fps. very fun although it takes awhile to get used to",2
"this game taught me to wash my hands. when i wash my hands, i get a better grip on my mouse! better performance. 10/10",5
"its like a point and click adventure but the adventure is a bullet going through someones head. 10/10 ign",4
"i dont like a lot of counter-strike game but this game is nice. it has some cool games. it is very funny :d if you like counter-strike you should buy it. it is a must for all cs-fans if you liked this review please say yes with a thumb up (like) . thanks 10/10",1
"dont buy this game on sale an expect good gameplay for a month at least afterwards. putting this game on sale just allows users to troll lower ranked players. otherwise its a fast paced addicting game. worth the money as long as you dont play during or dirrectly after the sales.",3
"i absoloutely love this game. its a great fps team strategie game. buy it.",4
"the mother of the ego-shooter genre is cs 1.6 . but csgo is the perfect incest kid of it. play it , it is worth it!",4
"ive spent too much time playing this game and im going to spend more in the future -- its decent game lol",8
"it was buggy, bland and unbalanced when launched, but after valves hard work and dedication with the updates its must have now!",1
"this is the wurst game evur i recuumend it right nauuuu",7
"ive put over 350 hours in. extremely competitive game.",3
"takes a lot of practice. i like how they moved on from source. good flow of the game and very competitive. for anyone that has a lot of time practicing their aim on bots, recommended. 4/5",1
"if you are thinking about transitioning from 1.6 to cs:go, trust me, do so. i did the same thing, after playing 1.6 for 7 long years, at first, it was a huge transition, but after a few matches i deserted cs 1.6 for good, never turned back.",4
"has anyone threatoned to rip/eat your  off before for being bad in a video-game? well now i have.",2
"played cs for years already and still not tired of the gameplay, best allday game !",2
"i like the game its really good fps and a lot of players but there is one thing when you play compe. you get ban 1st for 24 hours 2nd for 7 days and this is really what i dont like, 7 days ? come on too much time to wait ban for: 1)if you shoot your teammate too many times 2)if you disconect from match 3)if you get kicked by your own team and there is valve really fuc*d up",3
"you dont need a better aim, you just need more bullets.",4
"i got a 7 day competetive ban becuase csgo.exe has stopped working goben kniv pls ty 20/10",3
"one of the best and most populat fps multiplayer games. i really like the style of game because its really tactical. game is also good for playing clan wars. game mods are really nice and fun to play. game wont become boring at all. i only dont like spawn system of players in team deathmatch because its really bad. the good thing is that you can get some items in game which you can sell for real money on steam and if you are lucky you can get pretty big amount of money. i really reccommend this game to everyone who like fps multiplayer and action shooter games. game is worth of money. 9/10",2
"boom click headshot all day every day. thats how you instant win.",9
"best game on steam for me packed with action rage friendships desrtoyed and pwning noobs skins fun to get hackers suck mess up fun games a game when you win 16 - 0 makes you call people noobs and when you hemwin with bots everyone cries when you get an ace they call you a hacker or when your beating them all in all its a great game try it",3
"in the beginning i didnt like this game (csgo), but as soon as you tweak around the settings and the new gun aiming (thank goodness they updated the aim on deagles). its a pretty good game, i almost dont miss cs 1.6 except csgo is still a raw game, and still needs a lot of updates. even though its out since 5years (i didnt even know its been that long since csgo beta launched). all in all its growing on me, and i hope some of my other friends finally will switch to csgo as well. the ranking system can be hard on you for competitive mode, because with my six digit account i am stuck at master guardian 1, since i had to relearn how to shoot in this game/ settings as mentioned before. but this account instantly gets up to master guardian elite and hopefully soon to destinguashed master guardian. because i hated to play a competitive mode in my original account because of all the lower ranks. thats my review.",1
"dont get me f*cking starterd about this game it is one of my favourite games ever it is so adicting and fun just go csgo if you dont like well you can suck my balls",3
"id rate this game about 10/10. i know it could have done better but yknow.",1
"awesome game! can be co-op and a solo shooter! realistic graphics and friendly players! nice stuff and lots of weapons to choose! p.s also ruined my life.",6
"this game is for everyone, great for meeting new people and calling people hackers because they kill you xd. if you buy this game you will get hours of endless fun with friends and other people.",2
"good game until competitive matches where you might have over 300 ping and might have to play 90mins with that. lagging like a ! leaving will get you cooldowns. lol this huge company and they cant ing put ping cap xddd",1
"great classic game with awesome new maps every now and then. getting missions to play, unlocking really unique skins, its a very cool game. remains classic because of counter-strike series itself, but with these new additions, it really is an addicting game.",4
"a very fun realistic multiplayer game. i enjoy playing it.",1
"kinda battlefield 4, without bugs, lag, bad netcode, ea and tanks",2
"very fun and interesting game, love the thourough graphics.",2
"awesome game, wich is funny to play with a team. gain items by playing competitives, and trade them with your friends. :) i recommend this game for everyone who been in to the cs scene, and also people who just heard of counter strike, this is awesome. go on guys! you wont regret!",6
"this game is awesome. its counter-strike, but more cool. more community things, and... happines :d",3
"awesome continuation of the series. definite recommendation. getting into matchmaking is a bit daunting but thats where all the fun is at.",6
"if you want to spend $400 on a red knife that gives you no advantage in the game, heres the game for you!",2
"dis game vedy good. much grafic much fun, much wow. grandkidz and me play vedy good, play long time. vedy loud good booom booom basss. make house fall down, wife hate me, i play so much. dis game ruin my life, 10/10 would play again.",1
"just as fun as the original, great lobby system and fast pased gameplay. 8.5/10",1
"i had so many plans for this summer. i wanted to learn to play dota 2. i wanted to learn css. i wanted to get myself hard at work saving for a car and some more parts i need. then my friends asked me to play a couple rounds of cs:go with them. told them i was rusty, having not played since the year before, but id try. ive played 75 hours in the past two weeks. ive gained 15 pounds. i smell horrible. ive slept a total of 2 hours in the past two days. 10/10 do recommend.",4
"taken into account that its only 11 (or less than 4 during a good sale), counter strike is already worth buying. but you cant forget the tight controls and superb levels, that make for some intense online combats. truly, one of the most intense games to play online.",2
"cs:go for me personaly is the best cs so far, you have skins etc. recoil is different, makes it fun to learn again, but when you learn its really fun to play. im impresed..",5
"this game made me grow a ginger left nipple. i never had a left nipple before, i have found it an intresting exspierience and hope that nicolas cage will get a morbidly obease tiger and make it wear a bair costume. this game creates dreams it is worth 19.99 but wait just now if u order right now well chuck in boxes which u can sell for money and buy more games",4
"this is the best game around of the world. i never seen better fps game :)",5
"fast paced shooter with high skill curve. fun and exciting.",6
"spent too much on cases. earned 2.50 in return. ggwp gaben 10/10 would do again.",2
"much like its predicessor, cs:go is a groundbreaking addition to the fps genre, the realistic simulation of weapon physics and military sop such as, but not limited to, rank;units;chain of command; team and leadership skills. like most autistic children, i have a deep, almost sexual love for stickers and colorful patterns so when i see a game with both for guns, i had a light heart attack. as for suggestions and complaints, i dont really have any... other than it hasnt really changed since condition zero... the awp needs to be nerfed, people keep getting rekt... the matchmaking was made by the antichrist...perhaps make it with prerendered loadouts like a cod game... overall, id say i was globally offended 10/10",1
"this game is a great time consuming fps, dont be fooled though, this is not your everyday cod game.",2
"obviously one of the best games ever created. so much more life-like than any other fps shooter ive ever played. 5/5 great game.",3
"a nice game with the traditional counter-strike feeling, im not much of a reviewer, the aiming feels alot different compared to 1.6, cz or css. i really like the graphical design of the game and its really fun to play with friends, i like the addition of skins in this game purely for the reason of seeing the same guns all the time can get quite boring, and for some people that likes to collect items for games but never gotten into the more heavier item games such as tf2 or other things, it can be quite nice, though of course there are the fair share of fools who believe that skins makes you imediately better, it really doesnt. but id recommend the game, its kinda fun, but you can get banned if youre too good in a low skillbracket. just saying.",4
"this is a very fun game with a great community where you can make great friends and have fun: i know i have!",6
">see a guy >shoot him >miss every shot >he turns around >kills me in one shot >exit cs:go 10/10",2
"you shoot people and blow stuff up. you cant go wrong. 420/420",1
"this game is lots of fun. its not your typical run and gun cod clone, however. cs:go requires tactics, teamwork and lots of skill. i would recommend this game to anybody who likes to play first person shooters. its worth every cent of the $15 price tag.",2
"very fun game, with a lot of teamwork required. skill cap is very high and is fun to play casual or competetive. =d best first person shooter on steam for sure!",7
"u need free cs: go skin? heres the link for epic free skins: {link removed}",1
"a really fun game. when i was new it was hard for me to pick up at first but then it became really addicting. now i have improved so much and love this game. you have not played an fps like ever before!",2
"counter strike global offensive or cs:go is the new game of valve . this game giving you to play some kind of mods : 1# arms race 2#domination 3#defuse mission 4#hostage mission 5#team death match thats not all ! theres a lot of casual and private servers that people building to play their mods and maps . valve dont stop update the game by adding skins for the weapons and changing sights , dots . fire rate and more abilities . at all , valve giving to editors to create their weapon/map style by adding their works to workshop . the most popular mod is -match making (mm) / competitive . in this mod you can rank up and play with players in your rank or friends rank . the highest rank in game is - the global elite and lowest rank is - silver 1 counterstrike global offensive is the first counter strike that giving you get you own rank by building your skill . this is my review about the game hope its helps . yours minionrush",6
"fun,strategic,good gprahics, addictive, and competitive",4
"i dont always get flash banged, but when i do, its because i threw it.... 11/10",2
"this game is awesome and i recommend getting it when its on sale ! (dont get it if youre bad at fps gaming)",1
"got killed right after a spawned. 10/10 would play again",1
"99% of the time youll meet some mic talking people they are gonna be russian",1
"immedietly died at the beginning of the round. 10/10",1
"i love this game so freaking much. but i have some ideas for other names negev simulator awp simulator auto sniper simulator blame people of hacking simulator. but counter-strike is good i guess. buy this game now",2
"really good game one of my favorites. all around really fun. competitive gets really addicting.",4
"bullets dont land on the bullet holes on my screen, 10/10 not bad rng simulator -ign",1
"this game brings back some good memories of cs 1.6. i highly reccomend buying this game.!",8
"the best fps-game in history, now improved and even better. counter-strike is more alive than ever!",7
"this game is amazing!!!!!!! for everyone looking for a good first person shooter and doesnt have an amazing computer. : )",1
"you ether die a scrub or live long enough to get bored and play jail break, then get called a hacker.",2
"painfully addicting game. buy if you have a lot of spare time to learn how to control your guns.",2
"this is a very fun game especially when you have a friend to play with you.",5
"too many cheaters in mm, fix your god damn anti cheat valve..",1
"brings many changes but still having its originality on its newest series. new weapons, new graphical changes, new modes, new system, and also brings new experiences. highly recommended for those who has fallen in love with counter-strike series. for me, its 9/10 for counter-strike: global offensive.",1
"only promblem with this game is valve should add more guns and maps from previous counter-strike games and leave them in.",1
