% Generated on Thursday, 14. May 2015 05:04PM
% This ARFF file was generated with review data from the following game(s): ['Dota 2']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"this game is mind blowing + awesome + unstopable + beyond stoable = dota 2",5
"learn to speak other languages, break you mouse and hate other people for no reason. 10/10",4
"the world most awesome game thanks valve for this dota2",4
"dota 2 1 of the most my favorite game so addicted to this game 5 star :d",4
"i never played moba games before, but i got addicted to this :d",1
"not bad, everything is great scept the jungler, kinda boring, and the fact that you need to spend almost half of your live playing just to be an ok player. worth every cent i paid for it.",1
"since im on australian servers, we dont get much russians. russian simulator 2014? pffft more like pinoy simulator 2014 i hate this game, but id still play it 24/7 19/20",6
"i havent seen my family or friends in 2 years. 10/10",2
"i wish i had more time for dota. stupid life getting in the way.",3
"the worst thing to happen to me was getting this game. would recommend.",5
"for the ppl that like to annoy other ppl online xd",1
"great game bad sport players. i love everything about dota 2 except the people who boss you around and say suck a  every game. wouldnt reccomend because so many bad sports everywhere. the person said that because i coudnt protect ancient because creeps everywhere i did my best and what i get is suck a  how about you duck a .",1
"there is no game that can get you depressed and madder than adolf hitler in 1945, and still have you keep playing it. good game, especially with friends.",8
"a great pvp game that offers some of the most intriguing and nuanced team combat around.",1
"dota is, and most likely will be for a good while, the best competitive game out there.",3
"its a free internet cafe game for peruvians. recommended if youre a peruvian in an internet cafe in peru.",6
"other players who keeps on saying gg in an early game and those players whos throwing and spoiling the game and think theyre pro. put tank in a mall  sohai but overall its the best game yet.",3
"dota 2... a game that makes you want to throw your keyboard across your room half of the time and makes you jump for joy the other half.",8
"spending a year learning to shuffle a gaggle of fantasy heroes up dotas teetering stack of rules and game mechanics will do that to you: weve developed a secret language of our own, one that runs parallel to the talk of creeps and lanes and farm and rax common to everyone who plays the game. whack a ward on the donkletron im going to stick one up their jungle is a sentence i can say out loud and be completely understood by at least those three people. for some reason, theres also a lot of singing involved. its a lot like being a sailor.",1
"amazing game please play. no more league of lesbians",5
