% Generated on Thursday, 14. May 2015 05:04PM
% This ARFF file was generated with review data from the following game(s): ['Grand Theft Auto V']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"cannot get it to start up, social club has stopped working at any and every attempt,",1
"set graphix to high , went to a strip club. didnt see daylight up to now. 10/10 still no daylight up to now",5
"thanks rockstar for taking your time while developing this game, it runs incredibly smooth, and i cannot wait to spend another 100h in the game.",1
"ive purchased this game day one, twice in my life, sof ar. its that good",5
"i dont like it because it is too expensive for my country. our average salary is about 180 euro where some money are for food , clothes and bills. that means we cannot afford this even if we wait months . i hope that one day lord gabe newell will read this review.",1
"1.5 million for purchasing early is a lie..allow me to clarify: if you want the full amount.it is a lie..you cannot get 1 million of it unless you pvp!!!!!...pvers were only given 500k!!!!!....this is a total misrepresentation of what was to be when sold ...if developers/reps will lie this early then game isnt worth it",7
"service pack 1 update simulator. nvidia driver update simulator. gpu disabling/enabling simulator. 11/10 would lose my time trying to make this game work again.",4
"dont buy this, wait for the next few sales, it doesnt launch and it takes literal days to download.",1
"the quality is good, this was worth the wait. the only problem is that i have no idea what to do online",2
"so far great game! 10/10! at first i wasnt really into the whole 3 character story mode thing, but it eventually grew on me, and now i really like how the story is unveiled through different perspectives. it can also be a little confusing at first as to how to advance the story since theres sooo much to do in the game. driving is fun in this game too! each car handles a little differently and the first person mode makes it feel like another game in and of itself. online mode is also really fun. it goes without saying, but of course heists go much better when you have friends to coordinate with, instead of random people doing their own thing. not anyones nor the games fault, just something that is what it is, ya know de facto and all that jazz. so yeah, make your friends buy it too!!",5
"this game is graphically outstanding, gameplay wise is just fine. grand theft auto 5 runs very smoothly with my beastly computer and all i can say is that first person with the best graphics on, is like playing a game of life",3
"i had this game on the ps3 and ps4. i have to say i thought the ps4 was a huge change from the ps3 version. now i have the pc version and it looks absolutly beautiful. i really recommend this game to anyone who is a fan of the gta series.",1
"this game is so good in graphics and gameplay that it can hardly (normal gameplay) or compleatly not (online) run on my computer on the lowest graphics 10/10 would watch my computer explode again",1
