% Generated on Thursday, 14. May 2015 05:04PM
% This ARFF file was generated with review data from the following game(s): ['Sid Meiers Civilization 5']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"just as addictive as all the previous civilizations. a wide variety of civilizations to pick from with different units and benefits that give you a slight edge in certain playstyles. a worthy successor.",1
"civilization 5 is a fantastic turn-based strategy game that keeps you playing for hours. its addictive and a must have game.",1
"if u love turn-based games then this is a must buy.",1
"i love everything about this game except how to long it takes to get achievements.",3
"i could easily play this game for the rest of my life. 10/10",1
"just one more turn i promise just one more and i am done. honestly.",2
"i strongly recommend this game for avid strategists. your objective is to nurture a civilisation and become victorious over all others. there are numerous victory possibilities thanks to a large range of ingame concepts from tourism to science. each civilisation has its unique units/buildings as well as an ability through their leader. moreover, the dedicated mod workshop enhances the game further still, bestowing upon it astronomical replay value. give it a try, you wont regret it !",3
"this is probably one of my favorite games. in my youth, i played axis & allies the board game. when i got older, i played the pc versions of a&a. civilization v, while different, brings back that nostalgia. i enjoy playing civilization v for hours on end.",3
"great game you start playing at four look at your clock a little later and its alreadt ten",1
"perhaps one of my all time favorite games. whether it be peacefully gliding your way to victory or crumbling everyone in your path to global domination, its always a blast!",2
"this is so addicting and fun if your good at point and click games",2
"wow. so stratergy. many culture. much fun. wow wow 5 doge out of 5 doge",2
"this is a good sim if you wannt to play and control a civ! i actually havnt played a whole lot of it and its been very far and in between but i enjoy it when i do play it.",2
"started saturday morning now its monday and im not sure ive slept... eh i can afford one more turn.",1
"worst game to play if you want to lose hours upon hours out of your life! in other words, i like it! now to go conquer some continents.",1
"buy this game if you like to imagine ruling the world... enough said.",6
"truly a classic, normally a series would have shown signs of slowing down or stagnating in terms of content or quality but the civ series is still going strong.",4
"it is one of my favorite games cant wait to get it.",2
"only one thing about this game that i can say. it is amazing!!! the graphics are awesome and let me tell you my graphics card and processor are horrible but this still runs very well, even on higher graphic settings. each game can will take you a good amount of time to complete and if you want all the achievments youll be at this a long time. each game is different so youll need to work out a different strategy each time. all the different dlc adds so much to the game (in my opinion they are a little overpriced so i reccommend buying the game of the year edition off of amazon) and wait for a sale to get brave new world and gods & kings.",1
"the ultimate time suck. caution! may result in death due to self-neglect. at this point, get the complete version for the best deal on expansions.",2
"a very fun turn based strategy game, civ 5 is one of the best pc games i have ever played. no two games will be exactly alike, and you can play with 8+ friends in one game in the multiplayer. this is one of the games that got me into pc gaming, and it was my first steam game ever.",3
"this game is amazing! i love the strategy and the many different ways to play the game. you arent just limited to doing just a few things to win, there are so many! i would reccomend this game to anyone, even if they arent a fan of these types of games.",2
">start new game >you play as time passes >wake up and see civ v running >2 weeks have passed basically what happens when you play this game.",1
"its like crack. you keep telling yourself just one more turn. but then you realize youve been sitting in your underwear for for 36 hours and youve forgotten to check on your wife who gave birth to your baby last night.",3
"this game will ruin your social life, but will leave you very satisfied afterwards",2
"this is a horrible game! you start playing and just cant stop. i played the original, many many years ago when it came on one 1.4mb floppy. it was already a good game then, where i wasted a lot of time on. i bought this when it came available on steamos and look and behold, the game is still as great as it ever was, still wasting my time like i have nothing better to do. man, i hate this game for being so good and not letting me go. whats more, the game creators know this, when you complete a game and win, it leaves you an option of just one more turn ... but it never is just one more turn is it? as with any addictive drug you think you can quit, but you cant. buyers be warned!",1
"sid meiers civilization v is a brilliant game with improves the franchise with a good tutorial for new players. there is information avalibal for everything throughout the entire game. there is mods as well like game of thrones or other that improves gameplay. it is a clear must-buy for any one who is a fan of stratgy genrer.",1
"never have i played a game in which just one more move... means 3 hours worth of gameplay (and waking up horribly late for work the next day). its a good strategy game, just dont let gandhi get nukes....never let that skinny freak have nukes.... gandhi. buy this game and kill gandhi today :d",1
"one more turn addiction, check. lots of nations and emergent storylines, check. send people to thier deaths in the name of religon, just like in real life, check. annoying advisors, check. unlimited replay value, check. should purchase, check.",2
"this game ruined my life, its the only thing i ever do. i have no friends now. 10/10",7
"amazing and fun in evrey way the only down side is it takes so long to loud",2
"its a great game, if youre not familiar with the series check out youtube first. its a real time sink.",2
"games take forever, but even if you stop after 5-8 hours its still fun to do. great for everyone who likes to be able to fine tune forever.",2
"say i will only play for an hour at 12. the next time i look at the clock its 4 the next day and i despise numerous historical figures especially ghandi.",1
"really enjoyed all the play time this game gives. i havent even touch online yet and im still having fun! some games take time but if you have time to speare then this is defently worth the buy. i run on a laptop and cant run alot of games but this has no problem providing a fun experence.",2
"the temptation that is a steam sale is too much for one with a will as weak as mine. at first you remember the strategy games you used to play, cnc, starcraft, lotr b4me. you then run the game to get serenaded by its wonderfully, eloquent intro. you then play the tutorial, as this game is more in depth than justin biebers social life. never did i think this game would suck up so many hours of my time. a tutorial, which took me a good 12 hours as i went and read what things do, and think of what i should do depending on the situation. you will learn to hate barbarians, you will learn to hate them, and then you will destroy them. the satisfaction of getting the barbarians away from your capital, and saving your first workers is just too much. if you play this game you will forget what day of the week it is, and realize that you got fired from your job for playing civ 5 for 3 days.",1
"have you heard your friends talk about strategy? have you wanted to play it but never found an introductory game? then this game is for you! be any civilization you like, go through different eras, create various cities and get nuked by ghandi! all the fun in one game! (gods & kings and/or brave new world make it so much more fun!)",1
"great game, spent many hours on it. its most fun when doing multiplayer,",3
"this game involves destruction and death! the graphics are amazing. i love this game and i recommend it to all of you hardcore (and patient) gamers! oh, and i think i forgot to mention that this game has destruction and death!!!!!!!!! lol xd",1
"one of the best turn-based strategy game...one more turn",2
"i7 quad core, 16gb ram, crossfire dual grpahics card. no performance, freeze, kernel freeze. this is garbage",1
"civilization v is one of the best strategy games i have played in a long time. i played civilization revolution on the xbox-360, so when i bought this game, i was not expecting what i recieved. i love the gameplay. the civilizations are well balanced, because one you learn how to manipulate a certain civilization, you can dominate any civilization after. all the dlcs are worth paying for. they add more funcions that caused the gameplay to change drasticaly. brave new world added trade routes and that alone can change the outcome of the game. you can have a city in the middle of the desert, but have all your other cities sending it food and production, making this city able to grow and eventually be stable on its own. love the game and if anyone wants to play with me, add me! if you have any questions about the game, ask away. 10/10 in all aspects",3
"at first i was like:yeah this building is nice. but right now i am just starting to discover the game and its ways. strategic thinking is a must, just as patience is. but the game is worth it. the expansions gods and kings & brave new world do make the game a little bit more difficult, but theyre also worth it if youre really into it.",3
"i thought this would have been a boring game to be honest. but i liked the choices you can make and the replayability this game has. now i just gotta get the dlcs and get started on a whole new level of just one more turn",1
"fun turn-based strategy game, a lot like settlers of catan or risk.",8
"civilization v is my favorite installment in the civ series! especially with the two expansion packs. buy them, play them! you will not regret it!",7
"omg dis game is soooo gd but 2 be honest u need a bunch of friends for it to be as fun as possible",1
"just dont think about it, it is a steam must have!!!!",1
"a really dang good strategy game that can be really addicting. reaching end-game and trying to kill all of the opposing civilizations was always one of my favorite parts. just dont get too into the game, or youre gonna realize that youve been playing the game for a whole year.",1
"the game is really good. i have spent about a good bit of time playing. its not a total waste of money. the game feels more like a simulator than strategy. all the cpus can have different personalitys and actually have a think more. even on easy the cpus are making good descisions. the game also lets you choose a historical figure such as alexander the great, washington, ramses, elizabeth, and augustus caesar. multiplaye is pretty good to. with a special chat syste, you not really need any voice speaking. all the mechanics make the game intresting and fun. i would say sid did a good job on this game. my rating is 9/10 (this game is one of the best i have seen)",2
"having been a civ addict since the original civilization release over 20 years ago i was initially disappointed with this release as the game did not appear to have the depth of other civ games, particularly civ 4. however the more i played this it became apparent that the game dynamics were far more intricate than i first percieved, offering challenges for both beginners and civ veterans. with 2 well planned expansions adding a level of depth that rivals, if not superceeding civ 4, i now rate this game as the best in the series. with nearly a 1000 hours of gameplay, ive probably invested more time in this game than any other game in my collection and it still offers exceptional replay value on the higher difficulty levels. i cant recommend this game highly enough, quite simply it is astounding!",10
"great turn based strategy game. its relatively user driven, in that you can make one game last for 10 hours or 100 hours, whatever your preference. you can fly through the game using auto productions and other ease features, but there are great opportunites for micromanaging galore if that is your suit. loads of dlc make the game a lot more fun, especially the addition of religion, as well as the reworked global political system, cultural victory, and diplomatic victory, as seen in the brave new world expansion. i would suggest playing on prince difficulty or above however. aside from learning the game, anything lower then that is rather broken in terms of ease of victory. watch out for ghangis khan.",2
"i am totalu hooked to this game! i recomend this to everbody who likes controling large empires!",3
"even after 850+ hours i still love this game! if i want a simple time sink or a super stressful tactical slug fest i can find it here. i would suggest this for all ages by the way.",9
"hours apon hours of clicking and dicision making. will i ever have a computer that can load the map in under a min durring late game? i dont think so.",1
"this is an amazing games, got it on special. i wouldnt say its worth the 80 odd dollars but id gladly pay 30.",1
"i hope you dont have plans for the next 12 hours.",2
"a highly interlectual game with many qualites love the many victorys and the gameplay just a brilliant game and i certanly recomend anyone to play it",3
"amazing, i love it! always fresh and calming. playing single or multi player give different feels for the game, so i suggest trying both!",2
"civ v is without a doubt one of the best games on steam. everyone i know who played this game enjoyed it thoroughly. the replay value is amazing! both expansions add some real new dimensions and do a great job to alter the game mechanics in a way that no other expansion has before. stop reading... you should be playing civ v",3
"dont worry, you can always eat/sleep/socialize right after you finish this turn... or after this turn.... okay, after... well, you get the idea. its addicting and time consuming...",1
"bit expensive with all the dlc but, is still plenty of fun if your into a turn based take-over the world game.",8
"my rampaging aztecs and i have found this game to offer countless hours of quality world-conquering entertainment.",9
"just look at the hours ive spent on this...... and im about to play again right now.",6
"look how many hours everyone who reviewed this has wasted. run away now before it gets you.",6
"this game is pretty good, ya know? ive played it quite a bit and i continue to have fun playing it. games. games. review.",1
"it was geuodas i promise soooo gfooodlsa; suck civvs  noooow",1
"by far one of the best turn based strategy games ever.",6
"ive never played any other strategy games likes this before, but that didnt stop me from getting addicted to this. my first night, i played something like seven hours.",1
"the best civilization so far. a must have for all sid meier and/or civilization fans!",1
"extremely addicting game, and is the sole reason that i have an adequete history background knowledge",1
"slow and meticulous but draws you in. fun like risk with friends on a late saturday night.",1
"i joke its the best game ever made , and better than rome total war 2 ! must buy it",1
"up to 399 hours of gameplay. ill finish this game any day now...",5
"awesome game i could spend days playing this game. just leave me my laptop with civ 5 some food and soda and i am set for a long time",4
"free from gmg / golden joysticks, but this little gem has seen more playtime than anything else the last few weeks...",2
"i was going through a heartbreak when i bought this game. now civ 5 is the only woman i need. 10/10",2
"in my opinion, civ v is a great game. personally i have never played any previous civ games, and this one only a bit over 30 hours. but for some reason, even though its great, i lost intrest in playing it a few months ago. i have the brave new world expansion, and without it (or gods and kings) the game isnt nearly as much fun. i beat the game once, with venice, wich is an interesting faction to play as. it was the diplomatic victory introduced in brave new world (i think so). i think civ v is worth your money, but i dont know why i lost interest. hopefully you dont do the same.",2
"-first leader i meet: alexander the great -best buddies, trading and stuff -meet china -befriend china -alexander wants to kill china and asks me, i decline -2 turns later china denounce me, say ive got pitiful army and hates me -alexander, asks me for 3000 gold, i accept -2 turns later, alexander and china declare war on me -i die...",3
"addictive and can be as complex or simple as you want, with help from the plethora of mods out there.",4
"dont trust anyone !! and dont play this before going to bed or u will be panda !!",1
"games take 20 hours, where did my 20 hours go....give them back",3
"very good turn based strategy with very complex elements.",1
"great game, the lead designer was really into board games and the balance in movement is evident in this game. the hex moving system of panzar leader from the 1970s works perfectly like a complex and beautiful chess game.",3
