% Generated on Thursday, 14. May 2015 05:34PM
% This ARFF file was generated with review data from the following game(s): ['Counter Strike']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"every server is spanish or french. i can now fluently swear in both languages 9/10",86.8
"i never played a better first person shooter. graphics doesnt matter for gamer, gameplay only.",1371.7
"when you crouch, you lift your feet in the air and fall to the ground. 10/10",59.4
"warning : do not buy this game, if you do, youll never see the sunlight again !",915.2
"best shooter for 10 years. steam evolved because of this game.",2.7
"this is an example that the graphics not always matter! awesome game since 2000! rating 9/10 because of losers cheaters.",68.5
"this game is unlike the other counter strike games. this game requires a different type of skill. you have to become used to the recoil each weapon has. you also have to become familiar with the different advantage points of each map. i personally think this is the best counter-strike game.",65.7
"i dont like because steam blocked redirections from server to server. i know that people using it to slowhack, but now... servers with redirection are unusefull.. also, vac not working good for counter-strike 1.6. maybe it could be good for some update, or something... i can give you anything you need for it. contact me. kinds and regards, drag1c.",650.1
"the 1st and best game i ever played in my entire life! <3 i ing love cs! <3 :d",2114.3
"play better than admin and you will be banned because you are hacking. 10/10 will rekt admin again.",6.6
"a still alive first-person shooter, since 2000. the game that changed everything, along with half-life. still, the best first-person for thousands. and you know why? because this games focus isnt on graphics. its for having fun with your friends, or, even aim for world turnaments. all proffesional teams, such as fnatic, navi, sk, still play counter-strike, doesnt matter if it is 1.6, source or global offensive. highly recommend this game.",1959.1
"arguably the best competitive fps so far, the skill ceiling is very high; however getting started is easy.",37.8
"this game is very unique, but after february 2013 updates this game no longer fun to play because of new bugs that valve added.",2190.5
"old good game never dies. i remember first time playing this game when i was in elementary school. hiding teacher to play this game with friends is very fun, you should let your kid have experiences like this.",14.2
"ive never have met so many brazilians in my life! 10/10",16.9
"omg this cases skol shotings b& it plz nvm it cool game play it dont shot ppl in the irl tho guns r bad mkay",1.6
"how to end your life step 1 - download this game done .",1494.2
"my first game on steam, and after all these years since 2004, cs is still my favorite game. its interesting, fun and nice fps game. 10/10",1523.8
"where it all started :) a true classic to the counter-strike series that will never get old.",132.2
"addictive multiplayer game for me from years. till date the only game i like to play online with friends. love it!",1122.0
"i have 800 hours of gameplay on this (since i got steam!). i played it for 6 years before then. its wonderful. the best game i have ever played.",754.2
"best game in series till date. none can beat this. 15 years. still more players than cs:go. friendly community. fun mods. no fancy and unnecessary graphics.",1826.1
"play the worlds number 1 online action game. engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. ally with teammates to complete strategic missions. take out enemy sites. rescue hostages. your role affects your teams success. your teams success affects your role.",720.5
"2nd best game from valve games after half-life 1, even with new valve games but this one is still amazing, played it for ages and still!",182.4
"this game is awsume ,graphics dosent matter for a gamer ;)",310.5
"the biggest game changer of all time in the online fps genre. respect it.",1.1
"ive been playing this game since 2004, this game is mind blowing awesome. if youre not looking deeply into graphics, but just want to have fun playing, then this game is for you. multiple gamemodes, will keep anyone amused. if you dont have it, then what are you waiting for? get it now!",796.4
"this game is the game of the millenium...its the only game that is played from 2000 to today. every pc is capable to play this game, even the one that didnt got their driver updated on 2003(probably). so yeah, if you are a fan of old-school, this game is for ya.",31.5
"one of the first games i played, brings back so much memories. and its ing fun.",14.3
"it was one the best fps games back in a days.. would go back in time when this game was still popular 10/10",24.7
"death is a great teacher. failure in counter-strike is, as it always has been for this series, the greatest way to learn where you should have gone, what you shouldnt have done, and how you could have done better. counter-strike players spend a lot of time learning -- consequently, they are always getting better.",258.4
"<3 best games ever seen <3 cs is love , cs is life #cs4ever :d",147.3
"i really like the game, but i couldnt find the stupid cake.",691.6
"thanks valve for ing up the game. still awesome though.",1258.5
