% Generated on Sunday, 10. May 2015 03:49AM
% This ARFF file was generated with review data from the following game(s): ['Counter Strike Global Offensive']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"a must if you love fps games! been playing this one since i was a kid and i was surprised to see new weapons added to the game. nice work valve!",62.5
"this game is great but the rank up system needs some work but still really great game",456.6
"ruined my taste for other games. f#ck this game/10",1422.2
"missing every single bullet with a p90 simulator 2015 4/20",14.5
"quality game well worth the money. be aware it will destroy your social life ;)",1720.2
"best game i ever played! :) best fps game. -go pro ezpz",1274.9
"i love this game its one of the best i have ever played. the market of buying skins to the online to the bots everything about this game i enjoy <3",1072.9
"great game! have been playing it for about 20 hours these past 2-3 weeks. my k/d ratio is roughly 2/136. one of those kills came from a spray and pray headshot with my ak47. it made me feel very accomplished. 10/10 would buy again.",295.1
"love the game .. every addictive :d also spend so much money on crates wheres my knife!. try it out",154.4
"csgo is the best fps game for me . csgo>battlefield>cod>etc. csgo for lyf :)",295.2
"pretty fun at times, good graphics and just like the good ole counter strike source :)",370.6
"could be the only fps that is truley skill based, if you want to win, you have to play smart, know the maps, and have wicked good aim and reflexes. every kill feels like an achievement :) every now and then youll play with people that will irritate the **** out of you, and play against people that you are convinced are hacking. if you lose a match, blame your team or the lag, or the hackers on the other team ;) if you win a match, the other team will blame their team or the lag. they may call someone in your team a hacker! oh, and the virtual knives in this game cost more than real knives. (o_o)/ 10/10 ~cola",567.5
"if you want too meet friendly people.. this is your game -.-",884.2
"if you want people to tell you that theyve ed your mom on something other than xbox live, this is your game. 10/10",215.8
"truly a great fps for hardcore gamers and casuals to be immersed in a very tactical, skill-based game where communication is crucial.",1575.3
"really good game. worthwhile and entertaining. it can be addictive at times, but if you can control yourself, it can be a rewarding experience.",68.0
"i find it funny how the new cs is still cheaper than the old one.",358.6
"perhaps your friends have been playing counter-strike since you were young and your buddies tell you, hey why dont we get the new counter-strike?. well, dont. cause you are complete : you are junk. while your friends get to ak, you just twiddle your thumbs with your gold nova. keep it real and play a shooting game you can win at: goldeneye 64.",151.5
"every since its beginnings as a humble half-life mod, cs has been one of my favorite (if not my favorite) fps games of all time. at the time of counter-strikes creation there was no other fps game like it. it truly gave a sense of skill & accomplishment no other fps game could reward you with. there is a huge learning curve in this game where its somewat easy to learn, but very hard to master. fast forward to this day to counter-strike: global offensive and you will see that in this case it is no different. the weapons however have changed with a few additions and tweaks. if you decide to play this game, ill warn you now... prepare to die... alot!",106.9
"so i get into a game right, everyone agreed on knife round so we did and you know that one person starts shooting, so next round we didnt agree on knife round and people are knifing so i shoot and get kicked for it plus a lot of the poeple on here take the game way to serious its fun but it can get bull  to. i recommend it and at the same time i dont recommend it. score wise maybe 6/10.",84.7
