% Generated on Thursday, 07. May 2015 12:06AM
% This ARFF file was generated with review data from the following game(s): ['Dota 2']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"19:38 - me - fancy a game of dota guys? we could stomp some pubs and have a good time. 19:40 - everyone - yeah that will be great, well enjoy ourselves 21:05 - me - get out the ing jungle friel, there is a fight going on in our base! 21:05 - friel - if you all didnt feed i wouldnt need to farm! 21:06 - me -  you friel! 22:06 - everyone - i ing hate all of you!",801.9
"yayy :d (community points ^^) but this really is a great game - especially with friends!",637.3
"dota 2 is better than most of games and it is free.",1684.5
"great for casual gamers. my favorite dota 2 hero is soraka who s2 games should nerf because hes so powerful. with enough micro sniper is immensely powerful but he is countered by early blink stalkers. rook is a really cool character because ashe can get bonus range from his towers. much better than the riot games trash game demigod. the maps in dota 2 are really cool, especially the aram map howling abyss because baron nashor and kongor can destroy people. however soraka still goats the coolest hoof and his eclipse ultimate has a lot of power.",546.4
"what more can be said about this game that havent already been said?",454.1
"best game ever! i pee and drink arizona iced out tea as i lean lean lean and i yung it with my team. ima do me, ima do me, because dota 2 is s a d b o y s",2299.6
"for anyone wanting to play this game, prepare for it to suck your soul away!(in a good sense.) the gameplay is addictive and no two matches are the same. however, the gameplay is diffrent from most games in the sense of the stratagy and the skills of your hero. essentially, theres two teams of 5 heros in the game, and the battle out in 3 lanes, im not going to explain these terms, as thats something you should see for yourself, or reasearch for yourself if you want to know more. 10/10: game of the year all day everyday.",483.1
"i dont really like these kind of games mostly because i suck at them. i think if i were better at it i might like it. ive been told its alot like league of legends so if you like that youll probably like this. rating: 4/10",46.5
"other people say dota will ruin your life... i say they look like pudge.",1516.4
"you constantly learn new stuff about this game. infuriating at times, but rewarding in the end. amazing depth and many different ways to be successful, teamplay and playing with thought are very important though. extremely few games have as much depth as this game has.",2257.6
"dota 2 is an awesome game, there is just a few bugs to sort out. the ar and sd modes are a bit un-balanced.",3321.4
"this games good do stuff with it have kids, no one cares",454.0
"great game and has helped me make a lot of friends on steam!",1326.8
"one of the best games! very addictive! but with  hard disk like mine with 40 gb space this game is overload with updates! but never mind! this game is addictive as hell!",116.3
"if you have basic from dota 1, you should explore here.. quite different from dota 1.. atleast you have more friend to play with..",1368.0
"this is a good game. it has a lot of meta and its hard to play. i love it.",1035.7
"a fine moba with absolutely gorgeous art style. not as aproachable as league, but equally as good- depending on your tastes.",43.7
"i think this game just simply awesome, if you were fun of map dota in warcraft you defenitely must play this game :) it will change your life forever :d",2259.8
