% Generated on Thursday, 14. May 2015 05:06PM
% This ARFF file was generated with review data from the following game(s): ['Football Manager 2015']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"i only recently got this as a prerelease before it comes out on november 7th. i never played any previous fms and this is certainly very addictive. if you like football you will love this game. i didnt even go with a top dollar team :o",33.9
"watching the matches definately ranks up there in some of the most frustrating things youve ever seen. and the defensive tactics are seriously flawed, was 8th in the prem with newcastle and needed some points on the board. so after going 3-0 to west ham(16th) up i hit up my 4-1-4-1 contain tactic, just to not conceed and see the game out with 3 points(35mins remaining), not in football manager 2015, after making my last 2 subs to suit the new formation i pick up 2 injuries and down to effectivley 9men, then draw 3-3. and that is barely the tip of the iceburg.",128.7
"tip: if you are unable to win what seems like a winnable game, vacation for one day.",214.8
"lots of injuries its true (one each game is almost assured), but i managed to stay alive (at least for now, march of my 1st season) cause they were all small injuries save for a couple of players out for months players dont really follow your instructions (short passes and pass to cb for the keeper, and he still always goes with the long ball). youll also concede thousands of goals from corner kicks: usually its corner kick- goal or corner kick-corner kick again-goal or even 3 times in a row and then you concede, and im having this crap more than once every 2 games. the scouting system is the thing that improved the most, and reports are now really useful (even if the final judgement sometimes contradicts the report itself). hope they will fix something in the next patch, but i cant reccomend it as it is now. (player of fm since 2005)",196.9
"only negative i can say is in my 3rd season with man utd i hit some sort of glitch that meant i couldnt win away from home! seriously, my home record was; played 19 won 18 drew 1... away record; played 19, won 3, drew, 6, lost 10. i had scores like loosing 2-1 to brentford (whom had been promoted) leading arsenal 4-1 with 10 mins to go, to drawing 4-4. beat city at old trafford 5-0 and lost at the etihad 5-3. the scores throughout that season just seemed very random, no matter what i did. other than that its very much same old fm (which there is nothing wrong with) already played 71 hours. trying to catch up on the 600+ hours i played of the last edition haha",194.1
"good game , its real i playing using manchester united team and half team is injury .................. thanks for the update , now this game so perfect.......... 10/10",163.5
"been playing fm now for nearly 20 years (way back when it was cm), but this is by far the worsrt version ive evef played( even worse than the version a few years back when everyone got injured) , the ai is terrible, nobody buys your players, you get quoted 25 mil for a player who is then sold for 5 mil to a rival!! match itself has taken a step backwards, players running over the ball in your own box, or gk passing straight to a striker or how about players who simply can not score!!!! worst of all ive give up 2 5-0 half time leads over team talks!! wont be buying fm2016.",362.6
"a must for true football passionees ( passionate people )",246.3
"i cant recommend this game despite it improving in many ways from previous versions. the reason for this is the focus on player interaction this year. players have always got unhappy for not getting enough game time, too much competition etc. this year not only does this happen more frequently but often without any justification. you then get to try to talk them round which almost always ends in half the squad becoming unhappy. at this point team morale is very low (meaning you lose a lot) and the only way to turn this around is to try and sell most of the team before you get sacked. hopefully si will fix this in the next patch.",647.6
"not the best version of this game, but still as adictive as it always has been. the main issue is the amount of injuries players get, even for the slightest of knocks theyre out for months. apart from that, the rest of the game is fine.",117.9
