% Generated on Thursday, 14. May 2015 05:05PM
% This ARFF file was generated with review data from the following game(s): ['Garrys Mod']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"i joined a server and told a 12 year old to stop screaming and got banned. goty.",424.1
"there will never be a better sand box game ever (exept for minecraft)",446.4
"garrys mod is a sandbox game in wich you can create new items, build houses out of random junk, drive cars download weapons, npcs,maps,gamemodes and much more. there are many fun gamemodes in wich you can try out while playing garrys mod such as : zombie survival,cinema, trouble in terrorist town (ttt) sled build, dark rp. as for my opinion i would give this game a rating of 9/10 because you need to (maybe) download some cs:s textures for some of the maps and also some giant error signs pop up if you dont have the right add-ons",320.5
"garrys mod... well what can i say but pure genius! you can litterally do anything you can think of on this sandbox style game. if you want to make an rpg or strategy or fps you can do it. if you just want a simple game of hide n seek or tag go do it! i havent come across anything i cant do on this game. again pure genius!! 5/5 5* a++",12.6
"definetely one of my favourite steam games. garrys mod has endless creativity and there is always something to do. with steam workshop adding various new content and gamemodes in the game only makes the game more fun and endless. not only is gmod fun but it has also helped make careers with various animators. an awesome game that will hopefully become a cold hard classic. 10/10",424.5
"really fun game, you should definitely buy this game. it is so amazing how much fun you can have for only $10!!!! i highly recommend this game!!",126.0
"millions of hours of play at your finger tips for ing ten dollars.",1288.7
"great game, i like that it is a sandbox game, there arent many sandbox games out there",143.9
"made my dream come true, becoming a watermellon 13/10",2527.1
"played for 800+ hours... whatelse do i have to say?",1212.6
"its good but my stuff that i got from workshop wont work properly but its a good game to spend yr money on",223.7
"amazing game, never gets boring as there is unlimited posibilities of what to make build and play. there is also loads or community made mods and addons created by skilled creaters with the goal of making you enjoy the game. you can also upload your creations for the whole garrys mod community to see. lots of gamemode and even more being created.",205.1
"this game is really bad, like really really bad, you dont do anything. its so nothing. why do i spend time with it? cause i can quickscope thats why. 11/10 one of the best/worst games ever made.",141.5
"must buy if you want to waste thousands of hours of your life!",1647.0
"i like this game so much. its like the only game i play now. so many different game modes to try out. definetly recommend it to anyone.",1235.6
"vin diesel drove a bus off of a skyscraper into a herd of f03 mr handy robots 10/10",56.0
"getting banned by 8-12 year old admins simulator 10/10 would always get yelled by a squirrel again.",148.9
"this is the best game i have ever played by far. there are varieties of things to do, you can play with friends laugh your  off. you can basically do anything you want. i reccomend this game! 10/10",141.9
"this game is one/the best game i have ever played you have to get it!",742.6
"i like it! i recommend this game for everyone who has a small bit of money to buy it, and few friends to play it with. it is a really nice game to play with friends and you can have really much fun on it. there is plenty of diffrent mods and many diffrent building systems. it is really nice and runs almost on every computer. it is really special game i dont think there is or going to be anything like this! (you just need to try it)",1175.1
"brilliant game with huge potential, this game has lots to offer to forfill your needs!",48.5
"killed my friend mlg_frost with a tf2 ragdoll 11/10",475.6
"most fun game ever! wished dayz-gmod was more like... dayz. didnt found loot at all , didnt found players , only zombies. but other modes are really fun. buy this game , it is worth it!",26.7
"really cool game, many cool gamemodes and stuff. love the sandbox!!",694.9
"garrys mod is an experience no doubt, an amazing experience. there are no goals in garrys mod other than have fun. whether that be through the antics of ttt or the hilarity of prophunt, i guarantee this game will have something that appeals to you. absolutley everything is player driven, game modes, weapons, maps, props, and just about anything else you will ever want will be in this game. 11/10 would play again. p.s. do yourself a favour and buy the damn game already, you will not be dissapointed.",671.2
"great game for having fun with your friends! i really like this game and all the content it gives. happy gaming :d",113.0
"its awesome!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",129.6
"i think it is literally impossible to run out of things to do in this game. you can play a bunch of multiplayer games with other people, such as prop hunt and ttt, or you can play workshop alone, and so much more. my friend also made me load a bunch of addons, which is cool. *cough* zach you crashed my computer *cough cough*",6.7
"i tried to make a rocket, it blew up i tried to make a scene, it blew up i tried to join a game, it blew up i tried to make a car, it blew up i tried to make this a real review, i suck",19.2
"you can literally do anything in this game. 10/10 would kill friends with melons again. but in all seriousness, its an amazing game - get it, whether its on sale or not.",431.4
"an amazing game! fun with friends and gets better with addons! i would highly recommend it!",68.0
"gmod isnt like most games, theres no goal to achieve or a quest to follow, it consist of complete fun, if you and your good friends get together on a server, then you could spend hours playing non-stop and have fun the whole time, it is completly mod-friendly and you can do just about anything. youd expect a game like this to cost atleast $20, but its $10 dollars, and thats assuming it isnt on sale, which is usually $2.49.",57.4
"got killed by a watermelon 10/10 would get killed by watermelon again",49.5
"such a good game. has so much potential creativity, and trouble in terroist town: but dont forget to get counter strike source if u dont want to see errors everywhere for mostly everything in trouble in terroist town. but other than that it is good!",424.0
"this game is lol i like making ppl big on it and then killing them and stuffs likes thats",209.1
"best game for physics (i dont if its good for you)",109.0
"best sandbox game on steam ! just build things, destroy things , and have fun. awesome game !",59.9
"for the time that i have played garrys mod, i have definetely enjoyed it. it has been a fun game with many different gamemodes, so you will never get tired of playing this game. from riding cars, to a fun physics sandbox, to a military shooter, gmod has you covered. i havent played for too long at the moment, i am around the 60 hours mark. but for the time that i have played, it has been great.",186.9
"just amazing game, you can do whatever you want in this game. this game is worth more than its very cheap price and accomplished so much more than an average 60 dollar game does.",572.6
"life changing, would not give this game up for the world",56.6
"705 hours. best game to troll on, best game in general. must buy",865.4
"this is the kind of game that will entertain you for months+. i recommend this game all the way.",1715.8
"great game with so many possibilities. nothing beats endless gameplay!",16.8
"garrys mod is the prefect game! there are so many different and fun gamemodes like prop hunt, trouble in terrorist town, murder, sandbox, etc. you can also post your on content on the workshop and other people can download it! go gmod! :d",163.2
"garrys mod is a fun, muilti game. i like the whole thing because you can basically mess around in server[troll] also i recommened this game to anyone who dosent own this game!",624.2
"it is fun and i am not being held at gun point to say this (help)",374.8
