% Generated on Wednesday, 06. May 2015 09:35PM
% This ARFF file was generated with review data from the following game(s):
%     Grand_Theft_Auto_V
% It is useful only for trying out machine learning algorithms on the
% bag-of-words representation of the reviews only.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"game of the year simulator. if youre thinking about buying a game and you dont have gta5 you basically need this game. beware you need a pretty fast computer to keep up, the game is cheap in comparison to what you might need to spend to get it running but i can play it on a radeon hd 5870 1gb without much fuss so the fact that it can run on 2009 hardware is pretty impressive. no complaints in the optimization department. i must say, the pc options are fantastic. there is a lot of tweaking to do, especially in regards to the controller and keyboard settings in addition to the expansive performance tweaks. my favorite part is having a keyboard and mouse and gamepad in front of me and when the game gets to an intense shooting part i can put down my controller and use the keyboard/mouse and start shooting without having to go to a settings menu and change anything. it just works. its perfect. the gameplay itself needs no introduction. you can do pretty much anything. even online play is pretty good, first time i played two guys were in an airplane and nosedived right into me while on foot and everyone died. 10/10",27.8
"this review took me almost 2 years to write and was delayed 3 times.",56.0
"i walked 2 minutes in the rain.. and i actually get wet.. 10/10",59.7
"first thing i did was turned model detail all the way up and went to strip club 69/69",3.8
"ps3 & xbox360 thanks for alpha testing. xbox one & ps4 thanks for beta testing.",22.5
"rockstar told us the pc-version would be the ultimate version and they were right. i just love this game, the heists, the missions.. everything! 10/10 and its running smooth. :) pros: beautiful graphics and city 3 character switch smooth gameplay hours of fun gta online. cons: rockstar social club integration itself. taking a long time to load sometimes.",19.0
"well it is finally here and they were not lying when they said the were optimising it. they optimised it great! even if your pc meets minium requirements you can still run the game at 45-50 maybe 60 fps.",66.6
"*about to go to sleep* *lets just do one more heist/ job and then got to sleep* .... *completes job/heists* *how bout one more time* *completes job/heists* *maybe i can do one last one...* *cycle continues*  its 7am... 11/10",64.8
"i was happier when this game launched than when my first born child was born",45.4
"rockstar shows one more time how to build a masterpiece. gta v is not perfect but has everything youll ever dream in a sandbox game. san andreas is gorgeous and full of life, trevor, michael and franklin are a trio full of charisma and the game simply raises the bar in so many aspects. its worth your money, its worth your time.",37.0
"i was chasing a cat around the city... she got hit by a train... and survived... i got hit by a car... and died. 10/10 would chase the cat again and die. anyways.. this game works.. even on my potato laptop. i like it.",20.0
"i have a problem. my social life is now my second life.... well nvm back to gta..",66.7
"this version of the game serves as a glorious testament to the incredible power of the pc master race.",19.8
"played it for a few hours on pc. i have to say i definitely prefer it on the pc over the console version, it seems to run much smoother, looks nicer, the controls are easy, driving is definitely a huge improvement compared to gta iv where that was just awful all together. rockstar definitely proved me wrong, after the amount of rage i went through on gta iv and how much of a crappy pc port it was along with all the buggy video editor errors, all of that seems to be fixed in gta v pc with a tidier video editor and less buggy overall. oh and no more gfwl! yes! well done, rockstar. definitely worth buying.",15.9
"i couldnt enjoy this game on a console, but maybe its even better because i was familiarized for the first time with gta v on pc. the game is well optimized and polished, didnt notice many bugs yet, the graphics are stunning, even at medium settings. the gameplay is way more developed in comparison to gta iv and the story is promising to be very interesting. i dont regret any cent i spent for this game. totally worth it.",28.1
"another amazing grand theft auto game. ive been sticking with grand theft auto for 13 years or so now. still remember the day i ran to the store to get gta iii for my ps2 in early 2003. ive played all of them and now, including this one. even tho for some its just a game, for me. its become a tiny part of my past. not to sound like a obessed gamer of some kind lol. its just, if you follow a games developement for so long it becomes something special. good old grand theft auto :) 100/10",39.7
"franklin : hey babe! girl : yeah... whatever! the biech died! 10/10",26.9
"amazing game  take a dog out for a walk, play tennis, be a taxi driver and shareholder. i enjoy it so much. the story was great and funny in most of it =) make me keep following it. also the world look nice and beautiful, a lot of activities to do and a lot of thing that waiting us to find out ;) not a single problem i found. everything went fine for me. i loved and enjoy all of it.",59.8
"i play this at 720p, 24hz, and the lowest settings for the most cinematic experience.",17.7
"people who use xbox controllers get kicked from lobbys 10/10 would use keyboard and mouse again.",4.6
"at least it runs well on my pc. game itself is good. looks a lot better than it does on my nephews ps4. unlike the gta4, at least this one is not horribly optimized. this review would have been a positive had not a certain petty even occured. the moderators of this game are trolls. they ruined my perfect steam account with several bans. i was locked out of steam for a few days pending ban. i wrote a petty post stating too bad p!r*t3s are enjoying the game while we are just stuck with a preload. that comment resulted in ban. then i got in more trouble for contesting it resulting in a temporary lock out of my steam account. forget about steam support. they dont answer calls, and the ticket is a week old. maybe i should not have wrote it, but i dont think it was worthy of a ban of any sort. bottom line dont even say the word p!r*t3 or any other related word in any way. not even in the old definition before we had internet. you could say a racial slur, and nothing will happen to you, you say p*r*cy and bann. seriously though is steam becoming as evil as ea? ps. they keep deleting this review. so my truth must be getting to them. i keep rewording more carefully.",16.9
"we all know (or should know) that this game is excellent and probably the best gta of the series. so lets skip that! the forum is litterally filled with questions about if the game runs well without having a high end rig, so lets talk about that. i personally was worried as well about if i could run this game as i have a graphics card that doesnt even meet the minimum requirements, but i took the (expensive) gamble anyway. i was pleasantly surprised to see that the game ran fine right from the start! i could even go beyond the recommended settings and still have a very smooth and stable fps. so if you have a desktop similar or better then mine you should definitely be able to play the game! i5-3350p (@ 3.10ghz) 6 gb ram geforce gt-620 (2gb) 720p",42.8
"if you have friends, this is a great game to play with them. if you dont have any friends, this is a great game to play alone. if you dont have the game to play, get the money for it. if you dont have nice pc to play, get the money for it. if you dont have the money for it, get a job. if you dont have a job, rob the bank. if you get arrested robbing the bank, at least you tried.",20.2
"game is awesome. simple as. so much to do. so beautiful. an insta-purchase that will keep me busy for many hours to come.",61.4
"found a plane, and struggled with the pc controls. crashed into a building. 9/11. crashed a beach buggy into a park. was offered a hit of marijuana and ended up shooting aliens with a minigun. 10/11. went online in the most ridiculous game of capture the flag ever, which ended in a giant pile of at least 50 cars in an intersection trying to steal evidence. 11/11. tried to say hello to a guy in online and immediately got shot in the face. 12/11, goty.",38.2
"someone smashed me with a plane and screamed allahu akbar 10/10",58.8
"60 fps or higher does a brutal difference, now it has exclusive pc content such as rockstar editor and a great community overlay. you can also notice a huge difference between ps4 or xbox one on graphics, rockstar did a great job. if youre thinking about owning this game, you should do it right now! as our friend, gaben, would say; - worth the wait. good job rockstar, im 100% amused. filthy , aka carlos",28.6
"runs really smooth and graphics look very nice! (running on a gtx970) if youve been waiting for the pc release its definitely worth it. if you played it for the console, graphics will be night and day :). graphics: 9/10 compatibility: 9/10 multiplayer: 9/10 editor: 10/10 (make your own movies!) chop: 10/10 (chop does what chop does best :) ) other notes: you can max out most of settings then lower down the shadows and still maintain about 60-70fps which is pretty good :)",14.8
"steps to playing gtav: play with friends -> have fun -> kill them for no reason have no friends? -> make some -> kill them for no reason would shot people, have cops chase me across the city, get blown up and die all for 50 bucks 69/10",28.4
"this game ruined my life. after traveling far across the city of los santos in search of a car that would help me appear more appealing to the ladies, i found a truffade adder sitting on the side of the road and took it as my own. i then proceeded to flaunt my newly found ride in and around the pier. soon enough a young blonde woman (who i can only presume loved me for my car) called me over to her and offered to make my night. i believed that we were going to go out bonding at a coffee shop and talk about our feelings, but before i knew it she was  my . little did i know i had been led under the influence of the earthly equivalent of a siren, known by many as a street hooker. i now have an irrational fear of fish nets, red heels, and anything pertaining to leopard print. i miss the fishing trips with my family. i miss being able to take my son to the exotic plains of africa on a leopard hunting expedition. my life is over. i can not go on living in this way. i do not want to go on living in this way. every day i wake up wishing i hadnt. someone please put me out of this hell. i will do anything. please... 11/10",41.5
"gta v on pc is finally here (which was delayed for 1 year, 6 months, 28 days), but it can easily be forgiven. because the content is already awesome and its technically stunning. it feels like a new los santos. there is no open world game that can match that. and the rockstar editor offers such an easy access and so many possibilities in terms of clips/movies creation that we can only be sure that the pleasure will last for a long, long time. the game is well optimized for pc as well. excellent work rockstar!",56.8
"the best gta, ever! - good optimization - good graphic - very detailed",10.9
"thanks for beta testing filthy console peasants! #thegloriouspcmasterrace #kappa #jk #whysoserious #inb4butthurt",30.9
"gameplay: 8/10 the game is good, the graphics are well polished but still has a little of stuttering that can be fixed in the next patch. optimization is ok, not too much as max payne 3 but still is good in these days.",24.0
"no more need for friends, family, or pets. my virtual life has finally gone sentient. farewell outernet, you sucked anyway.",57.5
"10/10 review this is the third time buying this game bought it first on ps3 and 2nd time bought it on ps4 and know bought it on pc! this game is so fun! it was easy to install and has really good graphics! absolutely amazing game and plays even better on pc! #console 60 fps all ultra setting i7 4790k 2k gtx 980s sc 16 gb ram",43.7
"well, what can i say? grand theft auto iiiii is another installation for the infamous gta franchise developed by rockstar. first impression was immensively outstanding. the ability to immerse yourself in the online multiplayer is extremely corporeal. this has everything that i could ever possibly want from a video game, and delivers ten fold. there is simply not enough time in the day to spend playing grand theft auto five online. it is pretty enjoyable. kind of wish i pre-ordered, but that is pointless considering it is easy to accumulate cash, if youre not wasting it on tattoos, cheap suits, or car mods after you complete each and every job, which, in my case, i have a bad habit of indulging in all of the above. to make a long story short, its fun. there could be a few improvements, but you know how the old saying goes... you wish in one hand, and poop in the other; which one fills up first?",13.7
"my first playing gta v on the first task. i accidentally killed guard -> mission failed i tried killing/running enemies -> dead driving by car -> got stuck racing the car -> lost on the last place running againts girl -> lost swiming -> drowned flying by plane -> damaged yoging -> hurting helicopter landing on the ground -> damaged oh man, i love this game.",23.6
"its definitely worth buying this game. the game is great, theres a lot of activities, i encountered only 1-2 bugs. the game is perfect. 10/10 but the mp side has more bugs, but the game is playable. 9/10",39.6
"so i havent played any gta since gta 2 (1997), and that has been one of my favorite games from my teenage years. i skipped gta 3 and 4 mainly because i didnt care for the change from 2d top down to 3d third person. however seeing the total biscuit review for the game convinced me to give this game a try. honestly, im blown away in regards to how good this game actually is. the attention to detail and the grand scale of the world is really amazing. i have only a few hours in so far, but i am completely sold by how good the game actually is, and look forward to playing it for many hours more.",4.8
"imma let you finish but gta v is one the best ports of all time... one of the best ports of all time!! it was totally worth the wait for a better version after playing it on ps3. theres a huge jump in terms of visuals. besides, custom soundtracks, mods, first person mode, better graphics, smoother frame rates, higher resolution, more music and of course, the best thing ever; the amazing director mode. i love you rockstar!!!! 10000 out of 10!",22.3
"i became a cat and managed to float above the ground. 10/10",21.0
"it still has some technical issues, nonetheless the game itself is perfect! it runs smooth generally but there are occasional crashes and glitches.",78.7
"this game rocks so much that i wanna be straight again. 10/10",89.3
"i read on kotaku that its better than civilization 5 with the brave new world expansion pack",57.8
"was doing a heist with friends. two friends start beating up a car, other friend gets pissed and launches a rocket at them and kills them both. mission failed. 10/10 would reccomend.",70.7
"i was waiting this game for a years! finally, when ive bought it in january, i got extra gift gta san andreas + 1.000.000$ in cash for online, and 500.000$ in cash for offline mode. the best game ever, they can say what they want, but this game is absolutely the best. works perfectly on quad-core 3.4 ghz, 8gb ram and 1gb ddr5 pci-e 3.0 graphics. :)",45.9
"it should be the best game of the year ... thanks r*",28.7
"while playing online with friends, hey guys, lets play some missions to level up. 3 hours later while jumping off a building into a pool by the beach, i say, werent we going to do missions? yeah... continues jumping into the pool.",47.3
"i wanna thank all the console players for water cooling my pc with their tears. 1010",68.2
"the game only works for about half the people that bought it. wait for a patch.",21.9
"literally better than you could ever imagine! a way better than how i expected it to be. im proud of you rockstar!",65.0
"great sandbox game, works fine on older pcs and laptops, patch fixed all my problems with game",22.9
"thanks for beta testing console players. #pcmasterrace etc.",43.6
"4 hours on single player and 4 on multiplayer so far. fantastic entry into the gta series. stable performance (normal settings) with an nvidia 560, though planning to upgrade to shorten loading times. gameplay and controls are top notch, gta ivs floaty character controls and sloppy, boat-like slippery driving are gone. controls have been well made for both keyboard and controller alike (logitech f710), though flying is a bit rough on the keyboard. only issues i notice are: loading times (again, old video card), cpu dependent, with a rather nasty cpu intensive spike whenever one is viewing a cutscene or in an interior (i5 2500k sb 3.30ghz) an odd issue where the game minimized whenever i attempted to use full screen mode (this was after 8 solid hours of gameplay)",55.4
"amazing game!! so glad i waited for this ultimate version!!! im getting very smooth 45-60 fps at 1080p with fx-8320, 16 gb, gtx750ti edit: forgot to mention - im running all settings at high or very high - game looks amazing and runs great on my system!",35.6
"amazing game! characters,gameplay,atmosphere and everything is perfect!!! 10/10",31.9
"i fangirled so hard when this came out. 10/10 would again",46.6
"amazing port to pc i run solid 60fps on ultra , ive only played online so i cant speak for the campaign but if its like the console campaign then its glorious. easily one of the funniest games ive played with friends. oh btw strip club tiittys realistic af ,thats all you need to know.",55.5
"rockstar fix your ing game, the stuttering in this game is ridiculous, the way the textures are streamed is ed up, after 20-30 mins the game just starts eating more and more ram to the point that it starts using the page file memory instead.... there obviously a memory leaking issue, and alot of people are having the same problem no matter the brand or how powerful the rig is. based on multiple users configurations, i can safely without a doubt that your game is not optimized properly. 3 delays for more optimization my , release a patch that can fix this memory leak, after that then i might recommend this game, but for now. hurry up with a proper fixing patch.",40.9
"i figured the game might actually work on launch day.. or the day after..",34.7
"- proud owner of large fedora collection and meme expert. but for real its ok.",17.4
"~lf a girlfriend, message me details+hobbies. ~best game of its genre no doubt. if you enjoyed the other gtas then this is a must get (even tho its been out for a while now on console) but now its on pc!!!! bring in the mods!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ~ps: gta4 was kinda dumb except for its graphics and next gen physics and stuff for its time (in other words it didnt really have much content/things to do but storyline and such). gta5 is that but on roids and full of things to doooo!",46.6
"developer rockstar did a great job with grand theft auto v for pc. the game runs smooth like butter and reaches an average of over 60 frames per second. i cant recommend this game more, go get it!",59.3
"great game so far. some performce issues even though i have a good pc but only when i enter new places. hope that gets fixed and this is by far the best game that has come out 2015 on pc.",40.1
"best game ever !!! i do not have words to describe how chicly this game 1110",55.5
"you cant play online without having someone blow up your car... then screaming in their microphone ooooooooohhhhhhh kidd get rekt m8 your so bad *swear words* mom comes in saying what the heck did you say and that kid says have to go sorry *friend*! *hangs up and leaves* and im like what the heck. also sticky bombs... sticky bombs",37.8
