% Generated on Thursday, 07. May 2015 12:06AM
% This ARFF file was generated with review data from the following game(s): ['Grand Theft Auto V']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"got it day one could not play, one week and several patches after i still cannot play. this is the first time this happen to me.",6.9
"easily the best version of grand theft auto that has ever been made yet! pc master race!!!",20.1
"absolutly steller launch. ultra settings with no lag at all. online servers all worked out perfectly. no bugs as of yet. better launch on pc than any big studio game in quite a while.",38.0
"everyone already knows its brilliant. and its very well optimised. just get it",39.9
"wont load launcher at all. now that i got the launcher to load through the website version after having to completely uninstall my firewall it keeps asking for activation key... even though i entered it into the website instead of the launcher... apparently a big mistake.. still cant play the game edit: i got the game to work finally not sure what did it, moving rockstars downloader files over to the steam one, editting the registry values to the latest version value, etc. still not going to give gta 5 a better rating because the game isnt remotely good (i already played singleplayer on console) because the online isnt that amazingly fun at all.",45.8
"i saved up a lot of money, bought a really nice car, went indoors for a few, came out, and then a guy blew up me and my uninsured car with a sticky bomb. so yeah, great game. 10/10",30.9
"this is one of the most fun games ive played in a while!",24.6
"very long loading times, lot of crahes - no so far.",34.9
"launcher crashes on startup; 26 hours of troubleshooting solves nothing. this really shouldve been solved in the 2 year delayed release. disappointed.",0.5
"i havent got into grand theft auto since san andreas. this one is far superior to all the others, more activities, a huge map and vast story. the characters are very interesting as well as humorous. my only complaint about the game was/is getting used to the aiming.",47.1
"simple. if you havent played gtav then you should.",65.0
"im sure the game is great and all but on my system it runs like crap. i have to knock down the graphic settings quite a bit and turn my resolution to 720p just to get a smooth frame rate (even then the game will crash every so often). some of my friends are having a hard time just getting the game to launch. so far im pretty disappointed. gtx 770 intel i5- 4670k 8gb of ram (im the ram might be the problem but 8gb was the recommended amount on system requirements so i dont know whats up...) and yes nvidia drivers are up to date. i really want this game to work well but im just having too many problems.",44.2
"thank you so much. launcher stop working has been resolved! and i can play this game without turning off nvidia first! thank you so much!",18.4
"what can i do?? the game is not openig. always loading - loading. i have win 8,1",15.9
"can i run this game on ; 4g ram ddr2 + amd phenom 965 + geforce gtx 630 ? yes you can! fps type of missions run smoothly however driving type of missions may choke a little but the game in general runs fine.",66.0
"great game just got a lot of lagg issues at the moment damn cpu but great game",9.7
"i dont know what the  rockstar doing ? amd card can not play still today ! please respect people who used amd, suck.",5.3
"knock knock nig ga! ah ni gga sup? why do you like gta v ni gga? cause your bit ch as ss in there nig ga",50.3
"flawless victory. i feel bad for the people who couldnt get it started. seems to be user error to me, i went off without a hitch. my only complaint is that the resolution settings are glitchy. it takes some playing around to get it to stick with full screen.",66.9
"i bought the pre road and so i finished intalling the game and now after i made a id on the rockstart socail club when ever i click start a game it keep saying is loading the game but nothing start ........................ is this only me or is there anyone out there have same problem like me ?",8.3
"warning! do not buy this game at the moment! wait for patches! not worth getting a ing broken piece of  right now. now that ive vented ill be more detailed. this game is amazing truly is. some of the best graphics i have seen since alien isolation. the damn thunderstorms in this game alone make me cream my pants. however im getting crashes every god damn 15-20 minutes of play time. i can not see how after multiple delays this game is still not release ready. i trust rockstar that they will fix these issues in a good amount of time. but once again this game proves that 1 you should never pre-order a damn game and 2 that the launch of games nowadays means at least 1 month of patching will most likely fix things. buy the game a month from now when its actually finished. it sucks a lot because i really want to play the story which is the main reason i bought the game i love the storylines in all of the gta games and this one seems like the best so far. ill just have to wait a bit longer than i hoped to enjoy this game. release rating: ing poor as . expectation rating: classic...when its fixed.",15.1
"its great cause my modest rig can run this at 1080p 60 fps, the game is very well optmized",48.5
"list of bugs / issues for me: - cant complete first online heist because the screen gets white and i cant do anything after the preparation, if i wait some minutes it crashes. - after alt+tab the game starts to lag for the whole session stupid design choices: - very long ways when you die - imported characters from the console have a huge advantage over you which is unfair. everyone should start from scratch.",70.6
"i saw a dog humping another dog. i switched to trevor and he immediately gets chased by police. i roadkill pedestrians and the bystanders dont mind at all. i pick up random strangers in very awkward situations. and online, i shot a random person in the head, stole his money and drove away. the game stutters when you play it for a certain amount of time and it still randomly crashes. i hope they fix these lingering issues. but if youre looking for an alternate american playground that reacts to you, then welcome to los santos!",65.7
"suspect is traveling at 50 mph.... in a.. blimp... 11/10",63.3
"i bought an xbox to play gta v before gta v pc came out....  my life game is superb would recommend! 69/10",56.7
"i had this on xbox 360, and have just been waiting for the past 2 or so years for it to arrive on pc, and it was worth the wait! the graphics surpass the ps4 and xbo easily. they even designed it for weakerish rigs to be able to run it decently. i have several hours on it so far and just love what they have been doing. gets a little getting used to once youve played with a controller for quite a time! 10/10 love the game.",40.5
"game wont even launch. gj rockstar. ::update:: finally got it to work. turns out i just had to set gtavlauncher.exe to run in compatibility mode for windows 8. im still going to give this game a negative review, at least until rockstar fixes most of the problems people are having. i dont recommend buying the game until then, unless you want to spend 10+ hours trying to get the game to start.",32.9
"err_gfx_d3d_nod3d1x_4 this error.... this error makes me want to take a stick... and shove it up a woodcutter! but in all seriousness, this error wont let me play. it states that i either dont have directx 11 or my gpu is not compatible witth directx 11. this is absolutely not true. i have directx 11 and i have played so many games with it. this also means my r7 260x gpu is capable of handeling dx11. i really dont know what to do and rockstar wont even really attempt to help. i called, left threads on their forums, and nada. dont buy it untill they pull themselves together.",34.9
"ive been with gta v since it came out on xbox 360, then moved to xbox one, and finally pc. i can say from be a console beta tester that it is an amazing game. rockstar has polished this game so much, that it makes people blind. obviously there is no contest when comparing console v pc, but it definetly performed very well on all platforms. biggest improvements: load times. consoles on average take 15-30 seconds to load any sort mode or map. frames. consoles get 30fps, i want 60+ and i got it! servers. rockstar really learned how to manage the servers this time around. cons: there are no cons. gta v is perfect game. 420/10 ign",13.1
"the game is the same from all consoles. but the 60fps is what you are looking for. still the mods will be great. i have a pretty good computer. but when im trying to get 60fps its pretty hard. - 780 gtx - i-7 processor - 12 gb ram im getting 60fps on the outside of the map but it dips down to 45fps in the city.",30.2
"cant say much till now....after 3 days me and some other milion peeps still cant play that  game :|",1.4
"the best just got a whole lot better. 10/10 #masterrace.",21.0
"what can i say great game. but do not run this game with 4gb of ram...its a memory eater.",68.4
"i gave my girlfriend the controller; the first thing she did was smoke and drink copiously, and pimp women -- shes a feminist. 11/10 fun for feminists too.",6.6
"im sure the game is awesome tho its up to 130gbs now..but due to auto lockin accounts n lack of rockstar support im now sitting here 28 hours later with the worlds stupidest support tech. litterally told me to log in and out of the account im locked out of.......",34.3
"finaly. i had been waiting for it for 4 years. since the first trailer came out. the,ing,best. p.s never played it on console, or watched any letsplays. p.s.s #hachiko",39.0
"gta vs attention to detail and closeness to reality is extremely dizzying, not to mention the awesome graphics. i always end up just driving around los santos for hours.",27.2
"its literally the best game ever made. the largest physics sandbox ever created, coupled with an incredible story, deep multiplayer component and film quality performances from the actors. i cannot think of a finer game and ive been playing them for over two decades. this is the best selling piece of entertainment for a reason. it raises the bar in every capacity. optimization is phenomenal as well. get this game, take your time with it, play it slowly and enjoy the most solid and varied game mechanics weve ever seen in a single package. 10/10. nothing will take this games crown for a long, long time.",37.0
"everything was fine up until the mission where molly crashes and get sucked up into the airplane. it crashes literally everytime im on this mission. i think maybe 6 or 7 times ive had to replay this dumb . what do i do",25.8
"i love this game, even played in bottleneck laptop. thank you rockstar :)",49.5
"already played the ps3 version. the pc version has a lot more potential and additional features. the graphics are phenomenal! cant wait to finish the story once again and see what the online mode brings :)",30.3
"great game must have, verry good work exsept some wired bug when u launche it",30.3
"rip my life -- this game is: 10% luck 20% skill 15% concentrated power of will 5% pleasure 50% pain and 100% reason to purchase the game.",63.1
"having played hundreds of hours of this game, the pc version is just that much better that it feels like a whole new game entirely. 10/10",17.4
"amazing game; once you get it running. i do wish it didnt use social-club. and i wish it didnt take so much trial and error to get it installed the rockstar hot-fix didnt work. but the graphics are absolutely amazing, and this is one ofthe best ports i have seen so far, despite one or two fall through the world type things. what i did to fix the downloads is just disable short-cuts and windows start menu short-cuts and then you should be good, the thing is you just have to open it through steam.",35.2
"no no... its fine. i have wated years to join in the gta series. but after years and years. i cant ing launch the game. thats fine rockstar.",22.3
"thousands of accounts have been stolen due to improper security on rockstars end, mine included. until its fixed, theres no guarantee you wont lose a 60.00usd investment. their support is horribly slow in responding to it. if rockstar remedies the situation, ill be happy to change this review, but their response to such an event is just not sufficient. source:",11.0
"i have nothing to say about this perfect game. well optimized, great environment atmosphere. this game runs perfectly well on my gtx 880m. i dont really encounter launch issue so i dont know why thats even possible, and whats causing it. p.s.: dont be fooled by the review (by the time of the writing, its mostly positive [79%]). grab it when you have money, you wont regret it by paying the game for full price. if you encounter any issue, you can always ask the support guys whos much better than ea.",39.4
"yes. i played this on the xbox 360 on the day it came out. there was no online, so i played the single player, then i realised that the rendering of the game was just awful! then online came out, i tryed it, it didint work at all, when it did it was fun. i would give it a 8/10, but on pc it fixes everything. the online perfect, the singleplayer perfect, the rendering perfect. so in short note 0/10 ign - too much water",34.4
"a lot of bug herecant connect with windows live when i sign in, cant play online offlane bothcostumor service so bad",12.8
"the definitive gta:v experience which, for me, was the ultimate multi-player game of the last generation. granted, its been a bit of a wait for the pc crowd, and the online facet of the game is not without its glitches (abominable lag despite having a +100 mbps connection, jumping into a car and not being able to drive for some reason, weird vehicle damage modelling loops, just-killed enemies coming back to life due to disparity between local and server-side assets, etc.), but when you compare it to similar games in the genre, i still think its way ahead of the competition. yes, the delays should have meant a more stable launch, and i agree that the whole windows username thing, whilst not affecting me personally, is a pretty big oversight, but a quick patch or two later and it should all be rectified. then again, im one of the jerks whos been playing it on xb360 and ps4 for the last year and a half, so im probably a whole lot more forgiving than the average pc user. either way, its a 09/10 from me - now we just gotta wait for a pc remake/sequel to red dead redemption.",19.5
"if you can not log into the social club account that is linked to steam you can not activate this game. rockstar support wont help you. if you have this issue and buy this game, you wont be able to play.",0.3
"downloaded 70gb of game decrypted game unpacked game launched game game crashed twice because of low memory problems goes and buys another 8 gb of ram cant because canada computers closes at 7:30 pm buys tomorrow installs ram launches game graphics driver crashes launches again ??? profit! 11/10 would run out of ram again",6.5
"rockstar can suck my , absolutely no support for those who cannot play the game because of their  perma link to steam accounts... so if you bought the game on a different account not activated to steam rockstar will take outs its big willy and shuv it down your throat and make you wait 1 month to answer a ticket that will probably not help. because giving the power of unlinking your steam account to the customer is too much to handle and would give them a god complex.  you, ruined my day/week.",35.1
"from the minute i started playing i have not been disappointed. this game, as far as my experience goes, has been full of nothing but elation. this game is nothing but amazing right now. i have experienced no issues so far (do note, i only played up to the first reposession mission and no side questing, your experience may vary) and framerates have been very smooth. the graphics, or should i say the game, is amazing for what i have in terms of hardware (gtx 770 2gb, i7 3770k, 16gb ram) and i recommend it wholeheartedly at this point and time.",60.5
"first of all, let me start off by saying they never should have released a game as broken as this. i cant run it for 20 minutes without blue screening, but that doesnt change my opinion of this game. it is still one of the greatest games in the franchise, and of all time in my opinion. (vice city will always beat out the others for me). for the small time i could play it, the controls were incredibly fine tuned and responsive, and the controller support is phenomenal. the game is very well optimized, especially if you have the newly released amd/nvidia drivers. the level of detail is wonderful to have, and was nice to see coming from the ps3 version. even though its currently a broken piece of , i will still reccomend it.",13.2
"great game, the campaign is typical gta style if you are firmiliar with the other titles published in the genre, steal some drugs, do some heists yada yada... the online is where it picks up speed pretty heavily with many interactive missions, tasks, and even things such as golfing and tennis against other players! many hours of fun are easily capable of being put into this game!",31.0
"rockstar came into my room and touched my no no square. 10/10 would get molested by rockstar again. p.s. thanks for taking forever to remake a game and stealing our money.",32.8
"excellent game. i originally thought that the pc version is going to have some graphical issues but in the 2-3 hous ive played it so far i can say that it completely eclipses gta iv in every way.",55.8
"i wish they had included the option to sync my saves through steam to other computers.",53.5
"in america apparently the game doesnt work in europe everything works (except the singleplayer that sometimes crashes)",36.5
"10/10 best crashing and losing connection simulator",72.9
"great game, spent 2 days downloading and redownloading from bugs then when theres no bugs it doesnt load. 10/10",16.1
"thankfully, i was able to resolve the problem of being blocked. if any of you face the problem, reset your password on the social club website, and log into gta v. anyway, this game is a creative triumph. highly reccomended, and would download and unpack again... xd. finally, after 1 and a half years, my review is complete(also 3 delays). 11/10",22.7
"hands down, the best game ever created. 11/10 welldone rockstar.",54.9
"one of the best games of the decade. really fun with a great port. amazing story and singleplayer mode with a multiplayer mode that is not as good as single player but still really fun and has a lot of depth and things to do. great port but a lot of people have problems with it. (there are solutions for most of them). r* really did a great job with the port and i was really scared this game wouldnt run on my crap pc. glad it does! worth a purchase at full price.",28.9
"hey rockstar, thank you for all the hard work. im actually having fun playing a pc game again. woooo! seriously tho, great game, runs smooth. only had a couple of crashes, otherwise great.",24.4
"id never experienced such slow downloading speeds since everybody was downloading ios 8.... (and im on a 100mb connection). guess servers got pretty busy. game is awesome, i played the x360 version and have seen the ps4 from a friend, this certainly deserves a bow. looks stunning (playing it at very high settings). 60fps its a thrill. worth the wait!",40.3
"where is my pre order money ? :( i have the code but its already used and i dont get the pre-order money in game? i bought gta v yesterday 14th",46.7
"wow, trevors hands are the most disgusting thing to look at while driving in first-person. 10/10.",26.3
"what is with it always entering windowed mode and going to the lowest resolution.....",28.9
"oh boy,gta v on the pc the textures,the fps everything so perfect but the best thing about this game is that its actually fun driving around los santos mountains with your friends on an pick up truck driving around the city while your friends shoot out of the windows killing some noobs flying a plane across the map with your crew and jumping out to skydive robbing a bank to get some money to spend on hookers the list goes on and on baby",41.1
"no. i meet all of the requirements for this game, and when i try to play it takes forever to load, it lags extremely at the absolute lowest settings, giving me about 2-5 fps, and when you try to drive it just lags. my friend gets the same problems. you could also look at other reviews if you dont believe me. i wouldnt recommend getting this game until rockstar makes it more playable.",3.8
"im sure the game is fun, but besides the blatant oversight on not allowing windows usernames with non-alphanumeric characters (how is that a thing you can screw up?!) they also blatantly lie about system requirements. i am above the minimum requirements, have no hardware problems at all, and i can not play gta online. it straight up hitches/freezes constantly. i get 60 fps all the time, except for the freezes, too. its extremely obnoxious and beyond what i would consider unplayable. im sure its a good game, but being unable to play it, i couldnt possibly recommend this game. disgusting. when i reached out to rockstar support, i recieved no response. a week has passed with no reply, and i know i am not the only person experiencing this issue. if they cant deliver what they promise, i do not believe this is a game company worth supporting.",12.5
"it doesnt even start up ... i got all the drivers up to date and it doesnt want to work , i have a geforce gtx 760 m i7 intel",63.2
"thats it this is the best game ever cue the song and dance -jontron",29.5
"i cant seen to get my social club account to log in i have the correct user name and password",16.0
"people say the online part of the game is boring considering the story mode. let me say you this, after completing the prologue, i thought i wanted to check the online mode a bit and maybe create a charater just for fun. now i cant leave online mode! its great. even the worse part of the game is incredibly fun and addictive. man, this is going to be a long ride... regarding to the performance; i know that the game kind of buggy on some systems but i have faith in rockstar that they will fix it eventually (maybe not in a fast way, though). its running on my system beautifully. even i dont have a high-end rig and playing with ok graphic settings, its a nice game to look at. i can probably continue this for pages so im just gonna leave it like this...you get the idea anyways...",53.7
"worth every cent of those cs skins ive sold for it! :)) i really really love this game, basically you can do anything, even going to the  ladys  :)) like in real life, you just need money! online is awesome also! i can play counter strike if i want ... or i can race and feel like playing nfs ! :) what else do you want from a game ? + a cool story line .... definetly would buy it again and again! 100/10 :d thanks rockstar! best game this year :)",36.0
"now with most the bugs fixed, this game is superb. the game drops down to 20 fps time to time but other than that, the performance is great.",57.0
"excellent graphics, attention to small details, awesome gameplay, all running optimized as smooth as butter! was worried about gta 4 killing off this great series, but gta v is here now to seriously revive it. still needs a rockstar social account to signup and play, but apart from that slight setup annoyance, well worth it.",4.3
"i am having a good time with this game. i think its much better optimized for pc than gta iv. i am having some framedrops but i am damn happy to be in los santos. my hardware is a gtx 570 ,a phenom ii x4 965 be 3,4ghz and 8gb ram. its not the newest but still manage to get between 30-60fps at middle/high options. the story is nice, loads of sideactivitys, a lot of stuff to do and i am looking forward to gta online. but first i will play the story ofc. what i also like is that there is actually a graphic difference between the console versions and the pc. if you have a good pc you can make gta v really damn beautiful. will update the review soon... death to all pirates!",77.0
"if youre reading this youre already going to buy the game, so just do it :d",23.3
"fantastic port. also i think the fact that the online servers were working perfectly on day one is also a phenomenal job on rockstars part. anything else you need to know about the game, you can read anywhere else. all i know is that youll be playing the definitive version of this game if you play it on here.",25.8
"i love thus game but i can not figure out why windows keeps turning the app/task down.",23.3
"absolutely fantastic. runs like a dream, and is gorgeous.",77.3
"it was well worth the wait! smooth and well optimized, graphics are gorgeous and im finally able to go mental in 60+ fps. 11/10 would download 60 gb again",12.2
"a cop killed my black character without any reason. its so realistic!!! 11/10 would buy again",11.6
"this game is amazing! i would recomend it to anyone!!",26.4
"its fun playing with mates, tho the loading is too long.",73.8
"1010 gonna kill the  after using them in car again.",26.9
"so far game keeps crashing, cant even get to the main menu.",12.0
"10/10 awsome game.. i got myself in the wrong neighborhood and got shot by dozen of gang members -_-",37.8
"what can i say? ive bought been tricked into buying this game 3 times now, by rockstar. yet i find it just as enjoyable, again and again. want a good story with interesting characters and a bit of above-average humour? gta v is your game! want to just mess around and blow  up? gta v is your game! want fun online wiht lots of customization and fun gameplay? gta v is your game! then again... im a sucker that bought this game on three different occasions for three different platforms, so you probably shouldnt trust me and my views on this game...",21.5
"excellent! i have this on ps3 as well, but couldnt resist getting the game on pc! and the pc version is much better!",13.5
"after having alot of time in multiplayer im updating this review. what i can say is this. right from the start you see this game is very optimized!! runs like a damn dream and looks amazing. i run the game on all high and very high with advanced settings on and fxaa no smaa at 1080p with 60-70+ fps. runs very smooth. the single player i havent played much of but from what i did play it runs as good there. but the maltiplayer is where i have been addicted! heist is just awesome and a challenge for you and your friends. having to plan out youre attacks. survival mod where you fight waves of enemies is like any other game. its fun though and a good challenge also. heist is just awesome and a challendge for you and your friends. having to plan out youre attacks. survival mod where you fight waves of enemies is like any other game. its fun though and a good challendge also. pvp is pretty fun especially in first person only matches. i can finally kick s in the face in first person! 10/10",39.4
"not even lowest settings are as bad as xbox 360 lol",55.5
"great optimizision very additctive with execellent soundtrack!",23.3
"not good.. cant play.. activation code already used after paying for this game.. unhappy.",0.2
"10/10 would get account locked due to failed sign in attempts again (it lasts for 24 hours by the way)",67.2
"runs very good on gtx 660 / fx 6300 at high / very high settings never had problem with starting the game / activating it on rockstar social club, dunno why some people seem to have problems... anyway i r8 8/8 m8. see you in gta 8",51.4
"3 delays later the games comes out ruins my csgo inventory 10/10",50.5
"worth the wait! online works good, graphics are amazing, & fps keyboard + mouse flow is amazing! pc release really nailed it so far, been playing for 12 hours straight since launch! looking forward to making lots of great content with gta v and its editor! 420/10",33.2
"wow! runs amazing maxed out on my i5 4960k and g1 gaming 970!!!! theyve done a really good job with it!",22.8
"rockstar shows one more time how to build a masterpiece. gta v is not perfect but has everything youll ever dream in a sandbox game. san andreas is gorgeous and full of life, trevor, michael and franklin are a trio full of charisma and the game simply raises the bar in so many aspects. its worth your money, its worth your time.",37.0
"seeing i already clocked 50 hours on it i have the right to say that this game is the best gta ever!!!! i feel sad for console people!",86.8
"when i load the game, it all loads fine until the launch pannel comes up. right before the game opens the launcher crashes. the game is unplayable",10.4
"im not one for singleplayer games, so i cant tell you crap about the campaign. however, online is awesome!! it seems that some things coulda been cheaper...buyt its still good. there are the occaisional idiots and morons who make the experience unplayable at worst. for the most part ive only run into three people who just are morons who seek attention cause their parents didnt love them enough or maybe they really are mental. (o.o) get it if you like online games as well as singleplayer..but be warned again...i havent played campaign so look elsewhere for the singleplayer reviews. sorry! hope this helps!",22.0
"got online. only one other person online. bought a plane. crashed it twice. 10/10",28.6
"activation problem... social account problems ... im still waiting for play gta v.",3.9
"this game is like hiring a homeless man to take your children and drown them while you lather yourself in cement. doesnt work dont buy.",40.5
"first gameplay expirence: i got in my car and drove to my helicopter, then over a little while i picked two guys up. i took the heli to the stip club and got out for the atm. i come back outside and my helicopter has been stolen by one guy, the other shoots me. 11/10 great community",13.0
"nice work rockstar and take my money . 10/10 should buy this game !",43.1
"its just super fun to play this with your friends. i highly recommend it, mostly for gta online.",44.7
"everything i have done in my life up to this point has been to prepare my body for this lovely moment. took 1 hour to get into the game after release but it was worth every single second! 10/10",58.5
"i would love to play gta 5 for my pc. i purchased it for my birthday yesterday and windows 8.1 will not allow windows media player. gta 5 needs it to start. pls fix i need 2 play!!!!",45.2
"nice touch for fun gaming, gta v online, heist, etc like every single roleplay",57.1
