% Generated on Thursday, 07. May 2015 12:06AM
% This ARFF file was generated with review data from the following game(s): ['Sid Meiers Civilization 5']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"the best game from all civilizations, and this game have one shortage -it;s that you cant fly into space",352.0
"best civ in the row. settlers dont destroy tanks, victory can be achieved in several ways.",290.1
"this game allowed me to create a jewish-communistic america who, after developing the manhattan project during the time of the civil war , teamed up with sweeden and decemated all of the french empire with giant killer robots and battleships. 11/10 would conquest again",218.1
"it may be prettier, and the combat may be substantially better, but overall civ5 is several steps back from civ4. if i wanted to kill stuff in a turn-based strategy game, there are a lot of games that do it even better than this, and civ4 is better in almost all the non-combat areas of the game (aside from graphics, but whatever). disappointing. it does have potential though, and im hoping the expansions will eventually improve on the things that are lacking. it is significantly more approachable and easier to get into, at least. note that this is based on the base game only, and im somewhat unfairly comparing civ4 with all expansions to civ5 with no expansions.",28.5
"civilization v is a well balanced turn based game clearly focused on teh construction of a civilization. i would recommend it to annyone interested in teh ins and outs of running a nation. please enjoy.",481.1
"tried to befriend gandhi, he ends up betraying me and conquers all my cities 11/10 would play again",154.5
"great mechanics with lots of replay value. any strategy fan will enjoy what civ v has to offer. the expansions also add lots of content.",25.4
"my favorite turnbased strategy game, exept for xcom but thats a completely different kind of game, so it doesnt count.",337.1
"good, fun, thoughtful, intense. all words i would use to describe this great game.",6.5
"time blackhole. 9/10 real review. +great turn-based rts. +managing friendship between country. -expension pack are too priced for me.",16.1
"i dont get hooked onto many games but this is amazing!!!",18.7
"civ 5 was the main reason i dropped $900 on a hardcore gaming computer so yeah its got my recommendation",160.9
"this is definitely one of the best strategy games that i ever played. its dlcs expand the contents of the game dramatically and make the game worthy playing again and again to try different strategies. one thing still need to be improved is ai takes too much time every turn in late game, especially when aircraft comes out.",255.3
"amazing. needs the expansions to really shine in the endgame.",31.6
">implying that grinding every other civilization off the face of the earth then salting their lands as you suppress riots and famines in your homeland with armor rolling off the lines and pollution choking the skies isnt the best way to win every game.",209.7
"love this game! you will need both expansions to truly appreciate it. the gods and kings expansion added quite a bit to game play but with the latest expansion brave new world, more elements have been included such as trade routes, tourism, etc. that enhance the game even more. all that being said, diplomacy is still poorly executed in the game so beware of this negative aspect and enjoy what is a very good, if not excellent (4x) tbs game.",982.7
"good game, worth it. stays true to the civ legacy while also innovating itself! enjoying it a lot!",148.2
"if the vast options for gameplay is not already enough to keep you coming back, the excellent and active modding community will keep you cemented to your chair.",1046.7
"sid meier still get it, civ 5 is awesome ! with the first addon gods and kings it kicked civ4 from my favorite place of all civilization parts (played 1, net, 2, 3, 4 and 5). new tactics with a few changes like the hexagon fields on the map, only one military and only one civil unit on one field. great looking graphics and still one of the best gui i ever used in a strategie game. top !",524.2
"absolutly amazing game! probably my favourite. put in over 300 hrs and dont plan on stopping anytime soon haha havnt played many other 4x games but this one deffinetly a favourite for anyone who wants to try. highly recommended!! 10/10",346.1
"really, the best part about brave new world is that its finally addressed every victory condition in the game and made each one not only more equally viable, but also just as busy. weaponizing culture works to bring it more in line with the other conditionsits something you have to work towards and not something you just happen to achieve. on top of that, the diplomacy changes make this system more interesting as well, and it all comes down to one thing: if you have civilization v and want to play more, you owe it to yourself to get this expansion.",152.4
"never played any of the previous civilization games, but everyone kept telling me to give civilization v a try, so i did. at first i found it kind of confusing. a lot of things to keep an eye on, but after a couple of hours of play id figure it all out and i was hooked! great game! has provided me with many hours of great fun! just one more turn...",75.3
"great strategic gameplay. unfortunately the games seem to go on and on and on. still a good game. 7/10",6.6
"get friends to play this with. skype with each other. try to cooperate or murder each other, and watch the hillarity that ensures.",120.6
"one of my all time favourite games to play on steam",224.0
"the real game the best game the biggest game thumbs up",425.4
"i knew i was ment to rule the world. {evil laugh} this is a pretty laid back, turn based game. its fun :d",74.1
"if you have any interest in strategy games, you probably already have it and a couple of its predecessors. otherwise, buy it and your only regret will be that the wife left you, got the house and the kids. but hey, chances are you wont notice anyway.",914.8
"this steam mess and having to update to play a game that is installed on my pc is junk...this is ridiculous. i want to play against ai not online...let me play the game without having to wait 5 hours every month for updates...i am guessing these updates have nothing to do with game play...bad move brand civiliation! this is it...for me, that is.",347.7
"omg this game is amazing. i really havent played many of the other civilization games so i guess i can say this is my first. if youre the type of guy that likes to run an empire through different eras, then this is the game for you. i must say i had my doubts when i bought this game, but it is so addicting when you get into it. (if youre into these kind of games that is)",123.9
"i will always love civ games, but civ 5 kind of takes a step back. its not that challenging and its a lot the same as 4, but i liked 4 more. i do reccommend it though but if ur a civ fanatic like myself, its getting to be a lot of the same old.",104.7
"the game is crack. plain and simple. it will devour your life. stay away.",62.3
"if your lookingfor a strategy game with almost endless possibilites becasue of the steam workshop. your in luck!",85.2
"probably the best game iv ever played. granted im a bit biased because im practicly in love with city/society building games. i rate this game 5 nipples/strawberry.",416.5
"my definition of a perfect game! takes quite some time to get used to and learn, but once you do, there is no limit to how many hours you will want to play this game! spent 100+ hours on the campaign edition (not through steam)",133.3
"getting screwed by ghandi and maria theresa, the epiphany of gaming. great game and even better with friends.",300.8
"one of the most addicting games i have ever had the pleasure of playing. i dont know how many times ive started playing at 10pm or so and looked up at the clock to find it was 4 in the morning. so... i guess dont buy this if you really need your sleep, haha. otherwise you totally should if you like rtss, solo or with friends.",730.7
"this is one of the most amazing turned based strategy games ive evr played, althought the multiplayer disappointed me a little bit its still definitly worth the buy!",256.4
"its a great game, but only when you have the gods and kings or brave new world expansion.",173.3
"best game to play while doing other things. i have enjoyed this game since the first one came out (used floppy discs to install). play this while miniature painting. love turn based games.",124.6
"started a game to kill some time before starting my coursework that was 8 oclock now its 7 in the morning and ive got 4 hours to do my work before class on a scale of addicting i put it at x-com out of 10",71.7
"great mechanics with lots of replay value. any strategy fan will enjoy what civ v has to offer. the expansions also add lots of content.",25.4
"sid meiers civilization v is the best one yet. with many strategic victories, tons of civilizations to choose fun, and a lot of fun to play with friends, i would reccomend this game to anyone that likes a turn-based strategy game.",165.0
"very addictive and a different experience every game that you play.",113.6
"among all games ive ever played, this is the one with the greatest long-term motivation and replayability. last bought the gods and kings dlc. it invented the religion points and many more features. it brought some new aspects, units and buildings which are useful and interesting and let you play the game again and again. so ... this game is my all-time favorite!",118.2
"strange to not recommend this, given the countless hours spent playing it, but it has many annoyances that sid meier (or whoever) needs to address. the military aspect of the game remains tedious, as it was in all the previous versions. few of the systems make much sense. why, if you spend lots of resources building big ben but someone pips you to building it first, does your big ben disappear? why can a great artist do a culture bomb? why bother turning your generals into citadels, when opposing armies can just walk round them and you can only stack one unit inside? i could go on. suffice to say, civ needs some more competition.",256.4
"this is a great strategy game where you have to figure out how to efficiently allocate resources and balance needs.",574.7
"this is probably one of my favorite games. in my youth, i played axis & allies the board game. when i got older, i played the pc versions of a&a. civilization v, while different, brings back that nostalgia. i enjoy playing civilization v for hours on end.",287.8
"the joy this game has brought me is pretty much unlimited. i can say my grad work and home projects have been neglected mutliple times because i got knee deep in a new campaign. addicting game with lots of awesome game mechanics. i dont play as much anymore mainly because i dont have the time but whenever i get a spare moment, i hop on to play for as long as i possibly can. love this game!",5.6
"must-buy strategy game this game, when it has all the dlcs is way too addicting, and is a blast to play through your own alternate history. its way too easy to spent 8+ hours simply building up your own empire, and then several more in a devestating war for more land. only buy this game if it is with all the dlcs, particularly brave new world, because the dlcs add some great features that the base game missed. just buy the complete edition really. right now.",261.6
"this game is addicting. i love the strategy and the challenge of it.",54.0
"probably myfavorite fps. has a lot of the core elements in any good shooter.",43.2
"its a civ game. its not perfect - the ai is lacking, as always, and there are bugs - but its still good fun.",307.9
"civ is a fantastic game. turn based stratergy and very in depth. it looks complicated but once you get the hang of it its all fun. good and bad situtations, things can go either way. the endings fell a bit short but the expansion pack brave new world fixed that awesome game 9.5/10",227.4
"it is unbelievable how fun this game is, it has you working through the ages to grow and culture an empire to rule the world with.",69.7
"probably the most fun ive had in a game for 10 years. easy enough on the lower difficulties to get a hang for the game, and hard enough once raised to difficulty 6+ to continue challenging your strategies.",322.8
