% Generated on Thursday, 07. May 2015 12:06AM
% This ARFF file was generated with review data from the following game(s): ['Team Fortress 2']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"what is this game....? maybe the best team based game in the hole world.dont miss this opportunity and download it now.!",647.6
"there was a really dark time in my life where the persuit of fun hats was the only thing keeping me going. tf2 saved my life.",2464.5
"i recomend this game because of creativity and all of the wonderfull servers, and things you can do",820.3
"if you like hats and guns with taunting then this game will be the right choice for you, cause well you know gaben made it and gaben makes money off of that stuff",768.7
"great game... duh im not writing much cos theres 5 million gazillion reviews out there which says the same thing",103.4
"one of the easiest games to get into, you learn each class instantly once you play as them, and with the collectable items that you get randomnly, who doesnt like constant updatting? >_>",207.0
"its awesome multiplayer competitive game go and download it!!!!!!its freeeeeeeeeeeeee!!!!!!!",317.5
"one of the best multiplayer fps games ever. not pay-to-win, amazing community, tons of features and gamemodes. still lots of fun after years of playing.",785.3
"-cant break glass -dying is ing  100% of time -m1+w pyros can go  themselves -spies are  -heavy is ing op",2011.7
"team fortress 2 is an awsome fps (and tp) game, it has some weapons from the future, some of them are historical, someof them are existing today... and there are cool gamemodes too! like control points (cp_) payload (pl_) king of the hill (koth_) and sd_. let me explain one of them: control points is a team fortress gamemode, and the most popular c.p. maps are cp_gorge and cp_dustbowl. the gamemode is simple: the re team is defending, and the blu team is attacking. the blu teams goal is to stand on the control points for a time. the red teams job is to prevent the blu team for controlling a point. usually, control point maps have 2-3 control points, but there are c.p. maps which have 4-5 points too! the other gamemodes are good too, so go and check them out for yourself, in the great world of team fortress 2! ~by: =[o.w.n.]= kirito",1195.2
"its a hat simulator with a first person shooter minigame",935.4
"team fortress 2, a game with hats, funny quotes, very fun gameplay, a competitive game, and amazing art of work from valve.. thing is... this isnt a game anymore.. its more like hat-simulator 2014.. but i enjoy the game in anyway.. the maps is very fun i suggest play them.. the graphics isnt that good but dont care about the graphics at a multiplayer game.. care about the gameplay about team fortress 2.. i know ive been playing this not a lot, but this is very fun multiplayer game for everybody! no hate! dont tease the graphics of this game.. game on!~ also! team fortress 2 is a free-to-play game! yes free-to-play game so go get it now for free! no charge fee *except if you want to be premium* all updates are free aswell no payment!",2180.1
"this is the best game i ever played i also like this because of the mvm(mann. vs machine). it is also controller supported so also good for console gamers. download this game or i will find u and give u a slap :d.",917.7
"team fortress 2 its a pretty good first person shoter game of course its also f2p + there is a random chance to get items there is also trading if you like new items + hats + weapons and if you dont have any money this game is perfect for you just try it out",2010.2
"you know what class would be cool? what? a pyro. and what will it be used for? camping corners and totally destroying anyone that comes close to them with over powered weapons lets add it. team fortress 2 in a nutshell. 10/10",828.0
"if you havea working computer then why arent you playing this game? its free and ridiculously fun + addicting! get it now!!!",1384.3
"its free... until you get adddicted enough to buy premium! great game, try it",865.2
"well, i wasted 200 hours of my life on this. 25 hours as just one class, so thats a whole day gone of just being a pixelated avatar. so, i ask you, if i wasted 200 hours of my life on this- do you really think its a bad game?",688.9
"awesome game i play this for hours i mostly like the gamemode mann vs machine because of the concept that the worlds being taken over by robots, and team fortress classic being on the goldsource engine instead of team fortress 2s awesome new source engine with better graphics... more like portal 2.",157.4
"this is the best hat-simulator out there! it even has hats! you can let you characters wear hats! also, hats!",843.6
"this is a very fun game i like it and im very sure you will too",247.6
"lolz.... at first i hated this game with the upmost disatisfaction ever possible ask any of my friends who palyed with me.... coming back to this game a month or so later.... i actually enjoyed it playing... now its one of my top games that i enjoy and will continue to play through the dayzzzzz :) its such a fun game if you wanna pass the time, not be to serious, and watcth others explode, either by wrreches, rockets, or rurrets :) 8/10",11.5
"its very good game and funny,but free versieon...its nead will a full.",678.5
