% Generated on Thursday, 14. May 2015 05:06PM
% This ARFF file was generated with review data from the following game(s): ['The Elder Scrolls V']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"be a cat and empty everyones pockets, ben a man and defeat a dragon or be whatever you want to be and kick some as. done with the game, maybe try some mods?",62.8
"killed a chicken and now the whole town wants my head 10/10",144.4
"( i started playing skyrim on xbox, i have 1,000,000,000 hours gameplay ) to start, this is the best game that you will ever play! if you are like me and you started playing oblivion and started not exactly knowing whats going on this few months down the line you start to get it then you have brought this game and it feels like you have just had sex with asa akira. well if your new to tes then i would start playing previous games to get the understanding of the game but if not you dont nessercerly need to because every game is so amazing and has its own style, but this game completely took away my life... full of quests... you will never complete this game... main story line could have been longer but it is still my favourite story line of any game and just the general size of the map is just great! if you dont know what tes is about and you just want to use a bow and shoot someone in the face, or push someone off the edge of a mountain or try overcome your phobia of spiders then this is the game for you! you can do what you like when you like! its everything you imagine it to be! but please this taken away my school life and social life! this is really worth 10 its the best game in the world!",21.0
"this is a great game. you can add mods but even with out mods it has unlimted things to do.",18.1
"i had hundreds of hours of gameplay invested in skryim on my 360. now i have it for computer and im still playing strong. easily my favorite game so far. i dont see myself stopping anytime soon.",166.3
"never thought that there would be a game who can excite me as much as the elder scrolls iv oblivion, but bethesda did it again and made a much more awesome game. the game is nice itself, but you can get the most beatuy out oft it with mods. and because of the skyrim community there are more than enough out there for it.",597.1
"scrub game for scrub players. 0/10 would not bang.",29.0
"make waifus and husbandos and go hunt wolves and draugr in this epic tundra simulation.",1070.4
"this is a great game to play. if you dont have the game to play, get money for it. if you dont have the money for it, get a job. if you dont have a job, rob a bank. if you get arrested robbing the bank, at least you tried. #alduingetsrekt",406.1
"bethesda somehow just keeps making the elder scrolls series more and more amazing with each game. this is one series of game that i seriously pray will still be around far, far into the future.",173.3
"skyrim is a lovely game. i dont love it as much as i love fallout 3 (my favorite) but it has that wonderful open world feeling, and its a joy to grind through the game at your own pace taking on as many or as few side quests as you want. eventually your character is godlike, which is common in most games, and then the entire terrain takes on a new less threatening feeling, youre no longer a stranger exploring it, you are its owner and you are commanding skyrim. its beautiful, and crack rock addictive. a+ game.",60.6
"skyrim is a first/third person game in wich you can use a variety of weapons against hordes of powerful foes. think of any fps such as cod or blackops, then add tastefulness. dont get me wrong, im not saying theyre bad games, but they lack a true purpose or rich back story. skyrim has everything one could want. some nice features: no matter what race you play, you can be any class. the whole game is hand-drawn beautifully. you can play any combination of classes, change class mid play, play multiple classes. several long and detailed yet continually engaging questlines to follow and guilds to join. do whatever you want. a wide community is availabe to help you and discuss game topics. extensive mod support.",93.0
"skyrim is a great i can spend hours playing it lvling up and just romaing the towns. i like a lot of the mods that come out for the game as well makes playin a whole lot more fun and keeps me into the game.",38.4
"with nude-mod this game is great! without nude-mod its ok.",29.8
"this game will make you realize how tremendously boring it is to be a human being on the planet earth. purchase this game at any cost. everyone in real life is uninteresting. also, parthunax (sp?) reminds me of my grandfather but with less gas.",385.5
"this game can live up to every expectation you would ever have, even if there are a few bugs and glitches, skyrim is probably the best open world game i have ever played, an open world where you can explore cities, dungeons and learn to use magick, all i can say is well done bethesda.",360.6
"this game is amazing! not much time spent on it but still it is great i got it for sale on christmas and it was so worth it. i had it for xbox 360 but it is so much better on pc. awesome replay value and the mods will never stop being created best  evar!",41.2
"this is the first game that i completed while still naughty and decided that hard work deserves to be paid. every so often i uninstall this game thinking thats enough. no more skyrim for me. three weeks later ill re-install it and load up the million mods. its so relaxing to just wander throughout the province looking at and killing things. i keep buying new games and none of them grab me and pull me under as much as skyrim does.",829.5
"whats there to say about skyrim? it is, in my personal opinion, one of the best open-world rpgs ive ever played; the world truely feels alive. there are only a handful of other sandbox games i can think of that have had an open-world as alive as skyrim. you can wander about skyrim for hours, constantly discovering something new no matter where you go. ive played the game quite a bit on the 360 prior to getting skyrim on the pc, and am still finding new things i never encountered before. its easy to get lost taking in the sights of skyrim, and it is worth every cent it costs to play the game, given the huge amount of content.",103.6
"so i played this game for 300 hours on ps3. i stopped because the load times became unbearable. at times it took a full minute to go from inside of a house to the basement. playing this game again on pc remedies most of the problems i experienced on ps3 plus i get to play it in 1080p60+fps. i love this game. i love the fact that despite me doing my best to redo what i did in the last game i coming across new content in the same old places. if youre looking for a game thats long, dense, and filled with variety then this is the game for you.",173.7
"i had waited for about 4 years for this game to lower the prices and i saw he special for 20$ i was amazed.the gameplay is amazing gamemaking at its best 100000/10 i would recommend this to all best game cant wait for the next",146.6
"my most played game, must return to playing... and its dawn!!! i am the dragonborn!!!",63.9
"this is the best game ive ever played, by far. its so deep and theres so much you can do. 130 hours in, i ran out of big questlines to do and now ive been clearing all the dungeons i skipped over earlier in the game and redoing some old ones. with mods, the game can look like it was released last week, not over 3 years ago. also i hate the thalmor.",168.7
"played this on xbox. probably over 200 hours... yeah im a nerd. great game tho.",0.7
"when i first heard of skyrim i didnt think it was anything special. but i decided to try it to see what all the hype was about, and boy am i glad i did. it was just so revolutionary to me, i had never ever played anything like it. the open world, the awesome quests, the armor and crafting, everything was perfect. and when i thought i was done with the game, i found a beatiful thing by the name of steam workshop. skyrim has an insane amount of replay value and will be played by gamers for many years to come, even after elder scrolls vi is released. i could not recommend this game enough, it is just so damn great. i rank this game as my second all time favourite and i give it a 10/10.",154.3
"best game that i`ve ever bought , you never get bored of this game , i strongly recommend thsi game!",63.5
"this game is great. i got it on my ps3 a couple years ago and now i got it on my pc during the autumn sale, and my addiction has been revived. i have roughly 40 hours and i got it only 3 days ago.",110.7
"very immersive environments and story lines. especially great playing in 3d. very unique gameplay from one individual to another. highly recommend it.",22.9
"best game ive ever played this is a must for anyone rpg loving gamer",324.2
"this game is very very good i always loved the tes series but this is amazing. and it has a wide modding community ;d",55.5
"this game is amazing. i dont really need to sing its praises. since its 50% off today, i would entirely recommend picking it up if you can spare $30.",194.8
"killed a chicken and everybody in the town tried to kill me to revenge the chickens death. i died. 11/10, game of the century.",20.6
"i really enjoyed the pc version of skyrim, mainly because of the mods availabe on the workshop. even without mods, this game is still soooooo much fun to just mess around on. if youre looking for a game where you can spend hours upon hours on then skyrim is a good buy. it is also really great for its value, if you ever get bored (somehow) then visit the skyrim workshop for some mods to spice up your game. i hope this review helped :d",241.5
"skyrim is pretty amazing, but if you have a slow computer the experience is ruined. its a great game though, especially if youre into fantasy stuff.",4.1
"amazing rpg you can do basically anything and explore everywhere and mod support which means doing anything and going anywhere is literal",316.4
"great game. completed it originally on the console, and now got it cheap on a sale through steam for old-times sake. no doubt will enjoy ploughing hours into this again, especially with all the dlc i didnt have before. would echo some other reviews and comments that the engine they used is certainly dated now, and mechanics are a bit clunky, but who really cares if it plays good. i mean, fez is brilliant and that just a bunch of old-school pixels.",1.2
"this game is the bomb. 10/10 would buy this. kill dragons get money.",72.0
"anti-chicken abuse simulator 2014 10/10 would play again",51.0
"fantastic game, as to be expected from bethesdas elder scroll series. dont take my word on it, play it for yourself. i doubt you will regret it.",117.3
"i keep getting errors and cant play it.. i love this game so much but its just not working for me!",41.4
"i would play thousands of hours of this game. if i didnt keep corrupting my saves with 50+ mods.",272.3
"i just purchased this game for the p.c. i have spent a few hundred hours in it on the xbox 360. it is easily one of the best games ive ever played. it is also the best elder scrolls.",32.7
"i learned about pickpocketing and abused it until i maxed it. now all the guards are naked. 10/10",198.5
"a sickness is upon this game, dragon sickness this game is a sickness. its like dragon sickness. like the thrain. you become a monster with this game. you will play it like 5 hours , then you gonna say yourself, i want to drink a cofee. while drinking cofee, you will just think about skyrim. while going to school/work etc. you will only think about skyrim. skyrim will be everything to you. you gonna love it and at the same time you gonna hate it. its like the one ring . this is the one game to rule all gamers. it will destroy your real life. in real world, you gonna think, i dont belong here , i belong to skyrim. and also skyrim belongs to the nords, dont forget that. and one last think: if you want to live in real world, if you have a good social life and a happy family life, do not play this game! this game will make you crazy! you can do whatever you wanna do in skyrim. even you can make your own world. you can mod everyting.(until it crashes.d) anyway i spent too much time writing this , i must return to skyrim ,alduin must be waiting for me . have fun.",107.0
"great attempt. but, fail. ive spent more time trying to fix the issues i have with the game instead of playing it. game-breaker=micro stutter on a brand new asus rog g750. have tried hours and hours of research and changes, tweaks, mods.... conclusion, not worth your time. tons of better games out there with fewer bugs and problems.",85.5
