% Generated on Thursday, 14. May 2015 05:05PM
% This ARFF file was generated with review data from the following game(s): ['Warframe']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"vezzy vezzy good, nice physics, needs alot of friends 9.5/10",3.5
"i cut a robot in half, decapitated that half and cut his arms off. 10/10",6.5
"a very fun and addicting game with a fair and mostly balanced f2p microtransaction model. you can play this game entirely for free and experience all of its content for free. the only exception being that the only worthwhile things to obain using ereal money are slot for weapons and warframes.",660.5
"whats that, you dont have this game? oh no it isnt a probelm... :( 10/10 gobsmacking now wheres the removal of friendship button...",36.6
"this game, without a doubt, has the flaw of being a f2p game but without all the constraints that most games under the same genre have today. nearly every thing can be attainted without the need to prchase the in-game currency, aside from select cosmetic and certain event mods. the only gripe is how many warframes and weapons one person can hold in their arsinal at once, which is gained by using platinum. it can be pretty easy to earn the in-game currency once you get going, as people will always be seeking out rare mods and prime parts. you can even gain some platinum from the daily log in! the developers also seem to frown upon buying credits with platinum, as 90 platinum is only 30,000 credits, which will not last long what-so-ever, and they know this.",349.4
"quite possibly the best free to play game ive ever played. stunning visuals, smooth gameplay, excellent combat system and gear selection. i highly reccomend this.",103.9
"this game is one of the best out there and iam not just saying that. warframe is a freeto play game that you can earn everything that other people pay for with hard work no spending 20 bucks to get a little pony to ride and the game is not bout geting more monney for there community its fun and realy kick but.one of the frist thing i loved about this game was how you can move in and and the ways you look when doing it its just awsome and its a game that i think is realy out there and is only going to get more players in on it. well thats a nice little picce of what i think so i think its good so the lst thing to say is dont take my word or the words of tons and tons of players its free to play so there is nothing stoping you from trying warframe to day!!! so clike play game and see you later hopefully in game tenno.",141.2
"a very good games. it has a lot of potential but it is ruied by a none fluid gameplay and of course a pay to win systeme 6/10",1.7
"one of the best games ive ever played. perfect space ninja game. i give it 44 out of 6 space potatoes.",187.2
"by far and wide one of the greatest and best free games you can get right now, try it out! do it! you wont regret it!",128.4
"it is a alright game if you are ok with the repetetive farming",43.3
"not a bad third person shooter, considering its free its quite good. takes a long time to get things i.e. you have to get matierals and then wait real time for them to build(any where between 1 hour and 24 hours. none the less it has alot of content and is fairly good. 7/10",49.2
"best game ever , there are space ninjas in it 11/10",479.2
"extremely enjoyable coop experience. even being in beta, it offers more fun than a lot of other games. small amount of maps can make it a bit repetitive, but slicing enemies in half or punching them to the moon never gets old.",644.8
"this game is terrible. i really dont understand how people can even play this game, or why it has such a large following, becaue it is truly a gpos (giant piece of ). anyone who plays this game, and is on my friends list, please do me the favor of removing yourself from it.",0.8
