% Generated on Sunday, 10. May 2015 02:17AM
% This ARFF file was generated with review data from the following game(s): ['sample']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"do not buy this game!! check my games list, you will see that i once loved fm games, not anymore and never again will i buy one. this is the type of unfinished game that steam need to ban from being sold. certain key components dont even work at all, a small example is that there are no penalties from handballs right now. the game fails in every way it could, the me is a poor imitation of a crossing and set pieces simulator not a football simulator. it is worse than the last three years versions upon release and i can assure you that they all had bugs and issues, not this many or this bad. if you really need more just go to the forums and read, not many that will claim this game is anywhere near in a playable state, maybe in 7-8 months from the time i write this si will have released a patch that makes it something like a game. oh if that wasnt enough beware, si and sega are not co-operating and are in fact sending customers with issues back and forth between them. (not me, but check forum if you care) also be aware that si are deleting the vast majority of negative posts, claiming it will affect the way our customers play the game. which is of course true, they wouldnt play it because they would know whats wrong with it.",36.5
"until we get a fix for injuries, this game is unplayable. no matter what i do, all the players get injured for many months, it is impossible to play. the devs say it is low compared to real life, but its a lie, in real life we dont see so much injuries lasting for so many months so often, this is bull****. btw, ive prepared my players with a lot of conditioning training in pre-season and everything, but it doesnt matter, they still get injured almost every game and in between one another.",143.2
"ive bought this game for many years and think this might be my last. firstly im not keen on spending 30 a year on something that could be released as an update. the lack of competition in the manager genre has made si very lazy, to the point where they make one or two small changes and market it as a new game. here are some of the points where my problems lie -ridiculous injurys, in my first season there was not one point where i didnt have at least six players injured -how many times in real football does a team make all its subs then a player gets injured and they finish the game with 10 men? well in fm about one in three games but amazingly never to the computer opponent -its almost impossible to generate any momentum anymore in fm, you will be playing well then suddenly lose for no reason -football has always been in the headlines for footballers astronomical wages, thank god its not like fm, youth players who have never made a first team appearance asking for 40k! agents of average players asking for 5mill in fees! -instead of improving things like the ability to see how your players have performed in training during the week to help your decisions on who to play si add tunnel interviews?!? i can imagine the meeting at si so what have the fans on the forums been asking for well their all desperate for more press interviews in the game, they just dont feel theres enough as fans of the series we should treat si like an alchoholic relative and not hand over money to them to continue their bad habits, in this case their bad habits being treating fans like cash-cows that they can just make sub-standard games for and rely on fan loyalty",237.9
"i love the football manager series ,this game has potential but it has some serious teething issues and needs updated. the high score lines and players getting injured every game is very unrealistic and not up to usual standard. ive been playing fm since the start and was put off by the mix reviews on here but decided to try it for myself . i dont understand how people can honestly enjoy or reccommend this game in its current state? pros- looks good and performance is fast. new interface is good and easy to use once you get used to it. scouting has been improved. cons- far too many injuries ,at least one per game leading to a selection crisis. no matter what team or league i pick. far too many high score lines, 4-4, 6-4, 7-5 , 4-3 , even against lower league teams. goal keepers are slow to get up after a save. defending is poor/non existent no matter what team or tactics you deploy , i have yet to keep a clean sheet. far too many goals from long range against you. far too many goals conceded from crosses. one game with everton vs new england revelation i had 30 shots on target and scored 2 goals. they had 6 and they beat me 6-2! its not very realistic and what i expect from a football manager game . i can put up with the high scorelines, but the constant injuries is infuriating. no matter what team or league or the set up in training etc , even the reserves seem to pick up injuries . you shouldnt have a selection headache due to injury a few games into the season. it has potential but im only a few hours in and these issues have put me off. i expected to be lost in the game and have 20 plus hours gameplay by now! i simply cannot reccomend this until they address the issues.",38.8
"player asked to leave because he wasnt getting first team football. complained when i transfer listed him. 10/10",171.3
"such a disappointment. a step back, poor game engine, stupid scorelines, too many injuries, beta same as the main game? needs a major patch, all getting worse since fm2012. they need to get back to basics!",274.8
"oh boy... where to start? the pros? the game is so in-depth, detailed and looks great that at first glance you feel like you are in heaven. unfortunately, the absolutely ridiculous ai and randomness of the game ruins it for brand new players and seasoned veterans alike very quickly. i have played football manager games since the 1990s. i have bought every game in this football manager series. i have probably tens of thousands of hours of experience playing these, and have thoroughly enjoyed every fm yet. until this fiasco. i have only played this one with two teams, man united and sheffield united, but the experience has been identical. the game is so damn unrealistic, that it will suck the life out of you. these are actual situations that happened in my season with man united. a month into the season, i have lost nearly third of my team to long injuries. some players cannot put together two games in a row before returning to the injury list. not totally out of the question, but highly unlikely. queens park rangers finished 2nd in the epl in my first season, while tottenham and liverpool barely missed relegation. i finished 9th, and got fired. i kept beating the top teams repeatedly, while collapsing at home 0-5 to teams like qpr and swansea. i lost 5-0 to a 9-man manchester city, after winning the shots 14-5 and hitting the post/crossbar five times. frustrating, but not impossible. but scenarios like this unfold throughout the season; the likes of rooney and mata cannot score regardless of opposition or their position on the field while james wilson bangs out a 30-goal campaign, you can literally have a guy of van persies stature standing on the 6-yd line with an empty net and hit the post over and over again, and dont even get me started on these phantom goalies... you can be playing against a backup to the backup goalie 2 divisions below yours, and fail to score, while the opposition sinks 3 behind de gea on three shots. i scored 2 or 3 goals from direct free kicks all season, and maybe twice from a corner. my opponents? you got it, somewhere around dozens. now, it might sound like im making excuses and dont know how to manage. but as i said, i have enjoyed these types of games some 20 years, whether i win or lose. why? because the games have been as fair and realistic as a simulations sports game can be. sure, there will always be that crazy 7-5 home win against some world class team, but when it happens once every 150 games or so, thats pretty okay... there will always be that game where an underdog takes you down and leaves you extremely frustrated. but guess what, it actually happens... what doesnt happen are the scenarios i discussed above, and after some 150 hours into fm 2015, i feel like i have enough personal experience to call this game total garbage. fortunately, fm 2013 and fm 2014 are still installed on my computer, and still offer limitless hours of fun and entertainment. do not waste your money on this game, play the older installations and wait until sports interactive gets their crap straight. a major major disappointment.",148.7
"please release a game that works; you spend each year just updating - then charge us for it; stop taking our money for v. minor changes! other games would be laughed at. a few shocking points. - gks fly like reflexes? its insane! - no ones ever fit? - goal shy stirkers? - refs that never give fouls, ever! one of my players was hacked 4 times in the box in the same move. even the most free willing ref would crumble to that! not that we can see anyway because the graphic are so rubbish! - man utd never lose? - players just standing there with the ball turning in the spot? a year and you give us this, wow?? - wing backs that run past someone (overlap) then slow down to be overtaken again by defenders!? - the whole game runs v.slow. general animation is wack for the where were at in the world. - one (more) year and you offer us graphics and animation this bad? there not even an animation for shielding the ball! build a game on tactics, not buying a bunch of star players. and after all these years youve still not sorted training out lol, this is where teams build there style of play!! wow its good game but it very bad too!",287.2
"im a fifa manager guy. however, as it has been discontinued, i had to move to football manager. a friend taught me the ropes, and ive been playing for a while. i played with liverpool, ac milan, bayer leverkusen and atltico madrid. no game has gone to mid-season. i studied, researched and spent a lot of time talking with friends about this game. i wish i hadnt. this is just the worst manager game ive ever played for a simple reason: nothing you do matters. i bought marco reus and alex oxdale-chamberlain to play on the wings. might as well have kept the money for myself and used emile heskey and djimi traor there. the most skilled player cannot dribble past the worst defender. the best crosser of the ball cannot beat the first man. the tallest and best header cannot score 3 goals a season from crosses. every team play the exact same way, and most goals come from the same three things: shots from outside the box, defensive mistakes and free-kicks. in upwards of 300 hours spent in the game, i dont think i saw a single goal from a corner. however, three times i saw a goalkeeper handle the ball outside the box and get booked, and two of those free-kicks resulted in goals. players are so unbelievably stupid that its annoying. steven gerrard to take a free kick on the edge of the box. you think hes going for goal. no. hes going to pass it back to the left back, who will then try to dribble and lose it. you think asmir begovic is a good goalkeeper? well, hes not above handling the ball outside of the box when trying to boot it upfield. id always been told that football manager was all about the tactics, and that it is the hardest thing to manage. well, it is hard. specially because no matter how you set your team up to play, they will always play the same way. you can try to get the best passers of the game, but they will misplace at least 30% of their 6 yard passes. this is so frustrating im at a loss for words. injuries? well, hows this for a list. before the third match of the season, i had the following players injured: steven gerrard, jordan henderson, alex oxdale-chamberlain, alberto moreno, john flanagan, marco reus, adam lallana, daniel sturridge, asmir begovic and mario balotelli. thats before the third match! all of those players (bar lallana and reus, who are injured at the start of the season) got injured during pre season! seriously? unless this game is heavily patched to fix everything thats not just wrong, but plain dumb, ill be forced to stop playing a genre i really enjoy because ea were not competent enough to keep fifa manager going, and because sega apparently have no clue what a football match looks like. ill wait and see. but i will not hope for much.",641.2
"its decent installment again but nothing much is new. i paid 35 bucks for this and just upgraded from the beta to the full game and i dont notice a single difference... everything still is as shady as in the beta :( this just wont stand... it means theyve probably had this game ready for ages since the changes are just graphical mostly and want to hussle us as much as they can. of course the engine / card / injury system is messed up on launch as usual too ffs why do i keep falling for their scummy tricks... i cant recommend anyone buying this now, get it for 15-20 bucks and after a few patches and maybe then its a decent update. (had to choose thumbsdown until the state of the game changes, then my review might change too) edit: just got a crash dump error for the second time as well, im done with this till they patch it, back to fm14 it is sigh :( edit #2: the only thing fixed are the crash dumps, i no longer get crashes but the match engine is still so random and terrible that i dont even want to play no more. edit 3: 20/12/2014: almost winter and this game is still a mess, you can lose to the number 18 of the league with your best eleven and then 3 days later win against a stronger opponent with your b-squad for no reason at all. si should be ashamed of themselves.",443.5
